GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_00972	0.8969	0.1049	0.7796	0.4514	0.7510	0.4957	0.4880	1.1192	0.6524	0.2634	1.3240	0.9211	0.7389	0.8643	1.1170	0.4190	0.0000	0.7835	0.7758	0.5966	0.7535	0.7403	0.0739	0.2590	0.7986	0.5168	0.7963
G232_00973	1.0803	2.1119	0.5618	0.9066	0.8154	1.0435	0.3193	1.6225	0.8466	1.6344	1.0926	0.5658	0.7282	0.9536	1.3012	0.1143	1.5564	1.4137	0.3697	0.7647	0.4658	1.1948	1.0197	0.6043	0.8314	0.7536	0.8450
G232_00974	1.1586	0.9860	0.9194	1.2296	0.7386	0.3652	0.7711	0.3709	0.6388	0.7688	1.4823	0.5965	0.8004	0.9893	1.1959	0.4381	0.9572	0.6039	0.9333	0.6050	0.6477	0.7110	0.6158	1.2734	0.6903	0.8672	0.7768
G232_00975	0.6838	2.2797	1.0376	0.6109	1.1473	0.6609	0.7169	1.0265	0.9049	0.9382	1.5518	0.5877	1.0934	0.9429	1.3977	0.6857	1.6965	1.1989	1.2848	1.0168	0.8387	1.2273	2.2759	0.5540	0.7079	1.1040	0.9814
G232_00976	0.6551	3.7552	0.7056	0.7160	1.0581	1.2957	1.1446	0.4834	0.4621	3.6075	1.3934	0.6579	0.9936	0.9000	1.2018	1.2000	5.5019	0.8926	0.8909	0.9328	0.8568	0.6526	4.8227	0.6259	0.8406	1.0112	0.8450
G232_00977	0.7126	0.3147	1.1048	1.2257	0.7635	0.3565	0.2651	0.3775	0.9029	0.1935	0.0000	0.4386	0.4586	1.1179	0.0000	0.5143	0.0000	0.7958	0.6121	1.2353	0.8361	0.5130	0.0000	0.6403	0.7879	0.7424	0.9690
G232_00978	1.1338	0.6154	1.1237	1.0311	1.0145	0.8957	0.9217	1.0596	0.9573	0.5161	1.2716	0.7193	1.0446	1.1214	1.3363	1.4476	0.5331	0.7430	0.7636	0.9496	1.1355	1.0942	0.4680	0.7554	1.0603	1.0192	0.9681
G232_00979	0.9187	0.0140	1.0202	1.0428	0.9357	0.5826	0.6867	0.8543	0.9689	0.7688	1.3752	0.8421	0.9299	0.7250	1.3977	0.5143	0.0389	0.9947	0.7091	1.2689	0.8581	0.8409	0.0985	0.7194	0.9199	0.5456	0.7130
G232_00980	0.7919	1.0979	0.7245	0.5914	0.6992	0.9000	0.8072	0.8675	0.7417	1.0780	1.3532	0.7544	0.8280	1.0786	1.2368	0.9238	1.1284	0.9577	0.5273	0.8151	0.8129	0.9091	1.1133	0.6619	0.7681	0.9888	0.9212
G232_00981	0.9485	0.2028	0.7675	0.7782	0.6660	0.7565	0.6566	1.0000	0.8039	0.4489	1.3094	0.9342	0.7686	0.9821	1.3099	0.6762	0.1089	0.7342	0.9515	1.0840	0.6826	0.8279	0.1773	0.6978	0.9123	0.8736	0.8335
G232_00982	0.7225	2.7413	0.7702	0.9767	0.5519	0.9435	1.0120	0.8013	0.7087	1.9005	1.6127	1.0351	0.9830	0.8857	1.2164	1.4381	2.2607	1.3468	0.6364	0.8908	0.9290	1.0032	2.6601	1.6331	0.9260	0.7680	1.0664
G232_00983	1.1219	0.0000	0.9879	0.5837	1.0000	0.7565	0.6506	0.7351	0.7767	0.6075	1.3143	0.4254	0.5987	0.4893	1.2105	1.0476	0.0000	0.8292	0.7879	0.7311	0.8671	1.0032	0.0542	0.4173	0.9649	0.7824	0.9787
G232_00984	0.8969	0.8531	0.7366	0.5292	0.9046	0.5957	0.7108	0.6556	0.9146	0.9113	1.5932	0.7281	0.6454	0.7643	1.7398	1.6571	1.1712	0.8187	0.3939	0.3613	0.5613	0.7143	0.9901	0.5971	0.6720	0.6368	0.7936
G232_00985	0.9217	1.4965	0.7298	0.7626	0.7573	1.2435	0.8916	1.3974	0.8078	1.6478	1.5384	0.9474	0.8301	0.9250	1.5556	0.7714	1.8444	1.0423	0.8970	0.7311	0.9600	0.9610	1.3990	1.0000	0.9832	1.2192	0.8928
G232_00986	0.6383	1.8531	0.9597	0.8093	0.8008	1.0478	1.5482	1.2252	0.5942	1.8817	1.2314	0.9605	0.6178	0.7286	1.0731	0.8571	1.5409	1.1919	0.7758	0.6975	0.7574	0.6201	1.9310	0.3453	0.7445	0.8560	0.8202
G232_00987	0.6234	0.1049	0.6156	0.7121	0.7759	0.8087	0.3976	0.8411	0.7748	0.2984	0.6650	0.8596	0.9193	0.6071	0.6784	0.7905	0.0195	0.7535	0.8606	0.6555	1.0219	0.6721	0.0542	0.7770	0.8902	0.8352	0.7369
G232_00988	0.7909	1.2308	0.8952	0.7237	0.6037	0.9565	0.8012	0.5894	0.7728	1.3952	1.2022	0.6842	0.6858	1.2000	1.2953	0.6476	0.6848	1.1232	1.3455	0.6387	1.0065	1.0519	0.9507	0.6835	0.8650	0.9744	0.7919
G232_00989	0.7869	5.7063	0.9556	0.9339	0.8423	1.4130	1.2349	0.8675	0.8311	3.9704	1.6322	1.1447	0.6348	1.0214	1.5936	0.8762	8.2374	1.2782	0.6424	1.2353	0.7200	1.0617	7.7783	0.6331	0.9748	0.8816	0.6661
G232_00990	0.9177	0.0839	0.8817	1.1984	0.8880	0.6304	0.6024	1.0265	0.9592	0.5027	1.2278	0.8509	0.8089	0.7607	1.3918	0.6952	0.0467	0.9313	0.8364	0.5126	0.6477	0.8929	0.0148	0.7050	0.8177	0.8240	0.8353
G232_00991	0.8454	1.3706	0.6263	1.0156	0.7573	1.2609	1.3795	0.8742	0.9320	2.2581	1.3167	1.0219	0.8450	0.9250	0.8509	1.2762	2.8054	0.9278	0.8545	0.1092	0.9187	0.8019	2.4286	0.5180	0.8658	0.7696	0.9309
G232_00992	0.7830	0.0000	1.0000	0.5370	0.4917	1.2043	0.2229	0.8079	0.5650	0.4570	0.7576	0.9123	0.7558	0.7036	0.5497	0.9524	0.0000	0.4982	1.3697	0.6134	0.5806	1.2078	0.0099	0.5540	0.8040	0.9664	1.0106
G232_00993	0.5778	0.2727	0.9731	0.9805	0.7178	1.1000	0.8554	0.9934	0.5981	0.2769	1.2083	1.1404	0.7410	0.6286	0.7807	0.8286	0.0389	0.7588	0.8121	1.4370	1.1910	0.8896	0.2118	1.3453	0.9565	1.0000	0.8096
G232_00994	0.8662	4.0839	0.9194	0.8949	0.7988	1.3870	1.3434	1.2914	0.7359	2.9247	1.3849	0.9167	1.0106	1.0821	1.0117	1.1238	5.6537	0.9859	1.4121	0.9076	0.8800	0.6136	5.2906	0.9353	0.9405	0.7520	0.9353
G232_00995	1.0505	0.0559	0.9126	1.0506	0.9876	0.5130	0.8253	1.2384	0.7553	0.4946	1.2521	0.8333	0.9257	0.8250	1.1959	1.0286	0.2062	0.7852	0.4061	0.3109	0.5432	1.0422	0.1084	0.4173	0.6987	0.5952	0.7183
G232_00996	0.7770	0.2098	0.9180	0.7782	0.8382	0.8957	0.6928	0.8013	0.6796	0.3414	1.0475	0.5921	0.7558	0.9000	0.9708	0.9524	0.1089	0.8310	0.7273	1.0084	0.8219	0.5390	0.2365	1.5971	0.9764	0.6592	0.7750
G232_00997	0.7294	0.8881	0.9220	0.8833	0.8216	0.6826	0.8434	1.2980	0.6524	0.7984	1.2168	0.7851	0.8132	0.9464	0.9620	0.7714	0.7938	1.0035	1.1697	0.6387	0.7961	0.8052	0.9015	0.3165	0.8131	0.7216	0.8565
G232_00998	0.9495	0.3706	0.9395	1.0156	0.8008	0.7957	0.6265	0.9073	0.5204	0.5081	1.2460	0.4605	1.0764	0.7607	1.0848	0.3238	0.3619	0.6778	1.2970	0.8824	0.8542	0.9383	0.3596	1.5180	0.8726	0.7568	0.7697
G232_00999	0.8503	1.0140	0.8306	0.7432	1.0353	0.6043	0.9398	0.9404	1.0524	0.9382	1.1425	0.6404	0.8577	0.8964	0.7749	0.6571	0.9961	1.0299	0.7697	1.2857	0.7548	0.7305	0.8177	0.7050	0.8680	0.7488	0.9345
G232_01000	0.7968	0.3916	0.8965	0.7782	0.7054	0.8217	0.5422	0.8411	0.8194	0.8468	1.1340	0.8421	0.8047	1.2893	1.1316	0.9619	0.2685	0.6778	0.7636	0.3697	0.9110	0.4610	0.5123	0.3669	1.0542	0.6784	0.8264
