GENE	COVERAGE	STRAIN	GROUP
G232_05599	0.9584	Rstd	R
G232_05599	0.0420	SM102	S
G232_05599	1.0000	SM104	S
G232_05599	0.6770	SM105	S
G232_05599	0.7095	SM108	S
G232_05599	0.6087	SM109	S
G232_05599	0.6687	SM11	S
G232_05599	0.7285	SM122	S
G232_05599	0.7631	SM13	S
G232_05599	0.1425	SM14	S
G232_05599	0.0000	SM18	S
G232_05599	0.4035	SM24	S
G232_05599	0.8323	SM27	S
G232_05599	0.5607	SM28	S
G232_05599	1.8041	SM29	S
G232_05599	0.9810	SM35	S
G232_05599	0.0467	SM36	S
G232_05599	0.9577	SM42	S
G232_05599	1.6485	SM48	S
G232_05599	0.5126	SM57	S
G232_05599	0.7161	SM66	S
G232_05599	0.8929	SM67	S
G232_05599	0.0000	SM72	S
G232_05599	0.7194	SM74	S
G232_05599	0.9748	SM84	S
G232_05599	0.7648	SM9	S
G232_05599	0.9070	SM91	S
G232_05600	0.9534	Rstd	R
G232_05600	1.8462	SM102	S
G232_05600	0.6774	SM104	S
G232_05600	0.5409	SM105	S
G232_05600	0.6909	SM108	S
G232_05600	1.3478	SM109	S
G232_05600	1.0181	SM11	S
G232_05600	0.6689	SM122	S
G232_05600	0.8602	SM13	S
G232_05600	1.3575	SM14	S
G232_05600	1.1693	SM18	S
G232_05600	0.8026	SM24	S
G232_05600	0.6263	SM27	S
G232_05600	0.9179	SM28	S
G232_05600	0.8684	SM29	S
G232_05600	0.5333	SM35	S
G232_05600	2.1946	SM36	S
G232_05600	0.9261	SM42	S
G232_05600	1.7152	SM48	S
G232_05600	1.3613	SM57	S
G232_05600	0.6039	SM66	S
G232_05600	1.0455	SM67	S
G232_05600	2.1921	SM72	S
G232_05600	2.0647	SM74	S
G232_05600	0.6819	SM84	S
G232_05600	0.5776	SM9	S
G232_05600	0.7148	SM91	S
G232_05601	0.9594	Rstd	R
G232_05601	0.3636	SM102	S
G232_05601	0.9153	SM104	S
G232_05601	1.0000	SM105	S
G232_05601	0.8651	SM108	S
G232_05601	0.7174	SM109	S
G232_05601	0.5723	SM11	S
G232_05601	0.9404	SM122	S
G232_05601	0.9379	SM13	S
G232_05601	0.5376	SM14	S
G232_05601	1.5384	SM18	S
G232_05601	0.9518	SM24	S
G232_05601	0.8301	SM27	S
G232_05601	1.0143	SM28	S
G232_05601	1.0263	SM29	S
G232_05601	1.3143	SM35	S
G232_05601	0.2140	SM36	S
G232_05601	0.8275	SM42	S
G232_05601	0.6667	SM48	S
G232_05601	0.9328	SM57	S
G232_05601	0.9381	SM66	S
G232_05601	1.0097	SM67	S
G232_05601	0.3202	SM72	S
G232_05601	0.7770	SM74	S
G232_05601	0.8002	SM84	S
G232_05601	0.8896	SM9	S
G232_05601	0.8609	SM91	S
G232_05602	0.5570	Rstd	R
G232_05602	0.0000	SM102	S
G232_05602	0.7030	SM104	S
G232_05602	1.2918	SM105	S
G232_05602	0.6598	SM108	S
G232_05602	0.9565	SM109	S
G232_05602	0.3554	SM11	S
G232_05602	0.8675	SM122	S
G232_05602	0.3029	SM13	S
G232_05602	0.2769	SM14	S
G232_05602	1.7759	SM18	S
G232_05602	0.6447	SM24	S
G232_05602	0.6157	SM27	S
G232_05602	0.4357	SM28	S
G232_05602	1.2076	SM29	S
G232_05602	0.5810	SM35	S
G232_05602	0.0000	SM36	S
G232_05602	0.5440	SM42	S
G232_05602	0.3212	SM48	S
G232_05602	0.9496	SM57	S
G232_05602	1.0581	SM66	S
G232_05602	1.1136	SM67	S
G232_05602	0.0000	SM72	S
G232_05602	0.5252	SM74	S
G232_05602	0.7384	SM84	S
G232_05602	0.6512	SM9	S
G232_05602	0.7803	SM91	S
G232_05603	1.1110	Rstd	R
G232_05603	0.0559	SM102	S
G232_05603	0.8911	SM104	S
G232_05603	0.5953	SM105	S
G232_05603	0.7593	SM108	S
G232_05603	0.7174	SM109	S
G232_05603	0.8133	SM11	S
G232_05603	1.1722	SM122	S
G232_05603	0.6291	SM13	S
G232_05603	0.5134	SM14	S
G232_05603	1.2655	SM18	S
G232_05603	0.5395	SM24	S
G232_05603	0.7367	SM27	S
G232_05603	0.7071	SM28	S
G232_05603	1.1871	SM29	S
G232_05603	1.2762	SM35	S
G232_05603	0.0233	SM36	S
G232_05603	0.6796	SM42	S
G232_05603	0.6424	SM48	S
G232_05603	0.7563	SM57	S
G232_05603	0.7419	SM66	S
G232_05603	0.7305	SM67	S
G232_05603	0.1379	SM72	S
G232_05603	1.0360	SM74	S
G232_05603	0.9359	SM84	S
G232_05603	0.7552	SM9	S
G232_05603	0.8645	SM91	S
G232_05604	0.7909	Rstd	R
G232_05604	0.3217	SM102	S
G232_05604	0.8495	SM104	S
G232_05604	0.6887	SM105	S
G232_05604	0.8983	SM108	S
G232_05604	0.8783	SM109	S
