GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_01907	10.15	0.12	9.14	3.77	6.29	2.29	1.22	2.61	8.75	1.19	0.00	3.21	6.33	4.96	3.74	0.49	0.24	5.84	1.93	1.59	8.62	2.89	0.00	0.76	15.87	7.47	13.98
G232_01908	8.06	2.07	6.14	2.05	4.43	1.36	1.21	2.24	2.87	3.70	14.08	1.68	3.82	1.63	3.86	0.44	4.39	3.97	0.69	1.12	6.62	1.45	3.18	0.98	9.91	4.68	9.82
G232_01909	8.28	0.12	6.46	2.07	4.48	2.06	1.91	1.52	3.93	2.48	11.27	2.08	3.22	2.06	3.58	0.40	0.00	3.04	1.32	1.18	10.85	3.68	0.25	1.36	13.21	5.87	12.59
G232_01910	9.57	0.47	5.77	2.14	4.19	1.30	1.15	0.89	3.79	1.78	12.70	1.53	3.51	2.69	3.06	0.96	0.23	6.54	0.92	0.75	5.70	1.50	0.42	0.71	11.08	3.33	10.42
G232_01911	6.83	1.41	6.58	2.21	4.78	1.65	1.34	1.02	5.72	2.93	12.26	2.85	4.02	3.32	2.65	0.78	2.56	6.13	1.12	0.47	7.39	2.76	1.98	1.25	9.50	6.20	10.22
G232_01912	9.20	0.00	5.60	1.63	4.67	1.36	0.45	1.17	5.24	2.66	12.53	2.76	4.65	2.91	2.62	0.83	0.07	5.53	1.96	0.77	6.55	4.17	0.02	1.11	12.18	5.64	10.69
G232_01913	11.71	0.25	5.99	2.11	3.39	0.99	0.38	1.01	7.18	2.63	18.15	3.84	5.17	3.43	5.10	0.11	0.00	7.09	0.77	1.18	6.98	2.84	0.13	1.72	10.47	5.76	12.46
G232_01914	11.00	0.31	8.31	1.92	3.56	2.44	0.85	1.51	4.29	2.63	9.65	1.82	3.22	2.98	3.74	0.36	0.72	5.68	1.19	0.86	5.06	2.32	0.46	0.82	10.90	3.90	12.33
G232_01915	8.81	1.32	3.70	1.88	2.19	2.19	2.53	1.83	4.29	1.77	12.16	2.46	4.92	2.38	3.96	0.78	0.47	4.95	1.61	1.34	6.72	1.43	0.79	0.95	11.59	5.18	11.73
G232_01916	9.37	2.10	5.30	2.52	3.69	1.75	1.50	0.99	4.11	2.34	10.51	2.04	3.22	2.47	3.16	0.74	0.64	4.53	1.39	0.83	6.09	2.63	0.87	0.49	10.02	5.51	9.27
G232_01917	6.34	0.92	4.76	1.94	4.26	1.60	1.95	1.49	5.35	2.98	12.73	1.56	4.27	2.39	4.56	0.94	3.19	7.69	0.98	0.58	5.99	3.43	1.77	1.38	9.87	6.18	11.17
G232_01918	8.35	0.82	5.96	2.12	3.80	2.02	1.20	1.29	4.41	2.61	11.46	1.63	3.50	2.42	3.87	1.05	1.00	4.05	1.77	1.03	6.31	2.29	0.97	0.82	12.28	4.05	9.47
G232_01919	8.58	1.06	7.00	1.34	3.35	2.15	1.19	1.12	4.07	3.20	9.31	1.96	3.43	2.42	2.51	0.88	1.16	5.23	0.61	1.02	6.32	3.18	1.60	0.73	12.91	3.98	7.82
G232_01920	7.29	0.00	3.24	0.97	2.21	0.58	0.73	1.06	3.62	1.67	17.75	1.21	4.64	2.43	3.36	1.23	0.00	4.72	0.53	0.55	6.62	1.97	0.00	0.84	8.14	3.82	10.49
G232_01921	6.55	0.48	4.61	1.60	4.30	2.30	2.01	1.93	5.56	2.09	12.51	2.82	3.52	3.85	3.66	0.43	0.00	5.26	0.98	0.92	6.13	2.11	0.41	1.09	10.61	6.31	14.24
G232_01922	5.65	1.13	5.50	1.66	4.18	1.86	1.45	2.10	2.96	4.37	12.11	1.45	3.50	2.76	4.77	1.20	3.02	5.49	1.12	1.38	5.13	2.12	2.85	0.73	13.09	2.94	9.72
