GENE	COVERAGE	STRAIN	GROUP
G232_05167	0.9058	Rstd	R
G232_05167	0.0280	SM102	S
G232_05167	0.6169	SM104	S
G232_05167	0.7043	SM105	S
G232_05167	1.0249	SM108	S
G232_05167	0.4783	SM109	S
G232_05167	0.6747	SM11	S
G232_05167	1.1722	SM122	S
G232_05167	0.9398	SM13	S
G232_05167	0.4758	SM14	S
G232_05167	1.2156	SM18	S
G232_05167	0.6491	SM24	S
G232_05167	0.7813	SM27	S
G232_05167	1.1357	SM28	S
G232_05167	1.2018	SM29	S
G232_05167	0.8381	SM35	S
G232_05167	0.0000	SM36	S
G232_05167	0.6444	SM42	S
G232_05167	0.5636	SM48	S
G232_05167	0.8151	SM57	S
G232_05167	0.7716	SM66	S
G232_05167	0.7987	SM67	S
G232_05167	0.0000	SM72	S
G232_05167	0.6691	SM74	S
G232_05167	0.8406	SM84	S
G232_05167	0.6944	SM9	S
G232_05167	0.8450	SM91	S
G232_05168	0.8067	Rstd	R
G232_05168	0.9650	SM102	S
G232_05168	0.9099	SM104	S
G232_05168	0.6615	SM105	S
G232_05168	0.9876	SM108	S
G232_05168	0.7478	SM109	S
G232_05168	0.9096	SM11	S
G232_05168	0.6225	SM122	S
G232_05168	1.1631	SM13	S
G232_05168	1.3629	SM14	S
G232_05168	1.4933	SM18	S
G232_05168	1.0921	SM24	S
G232_05168	1.0318	SM27	S
G232_05168	0.9143	SM28	S
G232_05168	1.2573	SM29	S
G232_05168	1.0952	SM35	S
G232_05168	1.0039	SM36	S
G232_05168	1.1356	SM42	S
G232_05168	0.6970	SM48	S
G232_05168	0.4622	SM57	S
G232_05168	0.7819	SM66	S
G232_05168	0.8766	SM67	S
G232_05168	1.0837	SM72	S
G232_05168	0.5108	SM74	S
G232_05168	0.8375	SM84	S
G232_05168	0.8336	SM9	S
G232_05168	1.0655	SM91	S
G232_05169	0.6323	Rstd	R
G232_05169	4.0490	SM102	S
G232_05169	0.9126	SM104	S
G232_05169	0.8016	SM105	S
G232_05169	0.8444	SM108	S
G232_05169	1.3609	SM109	S
G232_05169	1.1687	SM11	S
G232_05169	0.4305	SM122	S
G232_05169	0.8350	SM13	S
G232_05169	2.8145	SM14	S
G232_05169	1.1060	SM18	S
G232_05169	0.7632	SM24	S
G232_05169	0.6921	SM27	S
G232_05169	1.3250	SM28	S
G232_05169	1.2807	SM29	S
G232_05169	0.6095	SM35	S
G232_05169	5.1167	SM36	S
G232_05169	0.8486	SM42	S
G232_05169	0.9697	SM48	S
G232_05169	1.1597	SM57	S
G232_05169	1.0155	SM66	S
G232_05169	0.8669	SM67	S
G232_05169	5.5369	SM72	S
G232_05169	0.7554	SM74	S
G232_05169	0.7910	SM84	S
G232_05169	0.7584	SM9	S
G232_05169	0.9017	SM91	S
G232_05170	0.9098	Rstd	R
G232_05170	0.3287	SM102	S
G232_05170	1.0497	SM104	S
G232_05170	0.8482	SM105	S
G232_05170	0.9232	SM108	S
G232_05170	1.0391	SM109	S
G232_05170	0.2831	SM11	S
G232_05170	0.9801	SM122	S
G232_05170	1.1515	SM13	S
G232_05170	0.4328	SM14	S
G232_05170	1.1133	SM18	S
G232_05170	0.8509	SM24	S
G232_05170	0.7261	SM27	S
G232_05170	0.7393	SM28	S
G232_05170	0.6462	SM29	S
G232_05170	0.9333	SM35	S
G232_05170	0.6693	SM36	S
G232_05170	1.0194	SM42	S
G232_05170	1.1697	SM48	S
G232_05170	1.4118	SM57	S
G232_05170	0.8994	SM66	S
G232_05170	0.7500	SM67	S
G232_05170	0.6847	SM72	S
G232_05170	0.5612	SM74	S
G232_05170	0.9252	SM84	S
G232_05170	0.8816	SM9	S
G232_05170	0.9336	SM91	S
G232_05171	0.7691	Rstd	R
G232_05171	1.6713	SM102	S
G232_05171	1.1398	SM104	S
G232_05171	1.1012	SM105	S
G232_05171	0.7780	SM108	S
G232_05171	0.7652	SM109	S
G232_05171	0.8735	SM11	S
G232_05171	1.2384	SM122	S
G232_05171	0.7903	SM13	S
G232_05171	1.6210	SM14	S
G232_05171	1.2192	SM18	S
G232_05171	0.3158	SM24	S
G232_05171	0.6369	SM27	S
G232_05171	0.8821	SM28	S
G232_05171	1.1667	SM29	S
G232_05171	0.7238	SM35	S
G232_05171	2.0350	SM36	S
G232_05171	0.7623	SM42	S
G232_05171	0.6424	SM48	S
G232_05171	0.5462	SM57	S
G232_05171	0.7858	SM66	S
G232_05171	0.8506	SM67	S
G232_05171	1.8276	SM72	S
G232_05171	0.4029	SM74	S
G232_05171	0.8719	SM84	S
G232_05171	0.9344	SM9	S
G232_05171	0.9593	SM91	S
G232_05172	0.7830	Rstd	R
G232_05172	2.6643	SM102	S
G232_05172	0.8293	SM104	S
G232_05172	0.7821	SM105	S
G232_05172	0.7822	SM108	S
G232_05172	1.0870	SM109	S
G232_05172	1.0542	SM11	S
G232_05172	0.8079	SM122	S
G232_05172	1.0874	SM13	S
G232_05172	2.6640	SM14	S
G232_05172	1.6784	SM18	S
G232_05172	0.7544	SM24	S
G232_05172	0.8238	SM27	S
G232_05172	0.9786	SM28	S
G232_05172	1.1930	SM29	S
G232_05172	0.4000	SM35	S
G232_05172	3.1907	SM36	S
G232_05172	1.0669	SM42	S
G232_05172	1.1455	SM48	S
G232_05172	1.2185	SM57	S
G232_05172	0.8000	SM66	S
G232_05172	0.7792	SM67	S
G232_05172	2.7980	SM72	S
G232_05172	0.4029	SM74	S
G232_05172	0.8970	SM84	S
