GENE	COVERAGE	STRAIN	GROUP
G232_01812	0.8216	Rstd	R
G232_01812	0.1329	SM102	S
G232_01812	0.7352	SM104	S
G232_01812	0.8482	SM105	S
G232_01812	0.8755	SM108	S
G232_01812	0.8261	SM109	S
G232_01812	0.6265	SM11	S
G232_01812	0.8212	SM122	S
G232_01812	0.9417	SM13	S
G232_01812	0.5269	SM14	S
G232_01812	1.2412	SM18	S
G232_01812	1.1360	SM24	S
G232_01812	0.8875	SM27	S
G232_01812	1.0214	SM28	S
G232_01812	1.3509	SM29	S
G232_01812	0.5143	SM35	S
G232_01812	0.1907	SM36	S
G232_01812	0.9824	SM42	S
G232_01812	0.8303	SM48	S
G232_01812	0.7059	SM57	S
G232_01812	0.8348	SM66	S
G232_01812	0.7987	SM67	S
G232_01812	0.1724	SM72	S
G232_01812	0.6619	SM74	S
G232_01812	0.8307	SM84	S
G232_01812	0.7712	SM9	S
G232_01812	0.8530	SM91	S
