GENE	COVERAGE	STRAIN	GROUP
G232_00221	0.4242	Rstd	R
G232_00221	0.0000	SM102	S
G232_00221	0.3468	SM104	S
G232_00221	0.1946	SM105	S
G232_00221	0.2158	SM108	S
G232_00221	0.3043	SM109	S
G232_00221	0.2530	SM11	S
G232_00221	0.3510	SM122	S
G232_00221	0.3301	SM13	S
G232_00221	0.0000	SM14	S
G232_00221	0.4190	SM18	S
G232_00221	0.3684	SM24	S
G232_00221	0.2335	SM27	S
G232_00221	0.2964	SM28	S
G232_00221	0.0000	SM29	S
G232_00221	0.1048	SM35	S
G232_00221	0.0000	SM36	S
G232_00221	0.4384	SM42	S
G232_00221	0.3212	SM48	S
G232_00221	0.4118	SM57	S
G232_00221	0.4168	SM66	S
G232_00221	0.2532	SM67	S
G232_00221	0.0000	SM72	S
G232_00221	0.5899	SM74	S
G232_00221	0.3371	SM84	S
G232_00221	0.3552	SM9	S
G232_00221	0.3747	SM91	S
G232_00222	1.0109	Rstd	R
G232_00222	0.0420	SM102	S
G232_00222	0.8320	SM104	S
G232_00222	0.8911	SM105	S
G232_00222	0.9979	SM108	S
G232_00222	0.7304	SM109	S
G232_00222	0.6687	SM11	S
G232_00222	0.9669	SM122	S
G232_00222	0.8583	SM13	S
G232_00222	0.4462	SM14	S
G232_00222	0.8672	SM18	S
G232_00222	0.7632	SM24	S
G232_00222	1.0064	SM27	S
G232_00222	0.6714	SM28	S
G232_00222	0.6111	SM29	S
G232_00222	0.8286	SM35	S
G232_00222	0.0000	SM36	S
G232_00222	0.9560	SM42	S
G232_00222	1.0909	SM48	S
G232_00222	0.5798	SM57	S
G232_00222	0.8542	SM66	S
G232_00222	1.0292	SM67	S
G232_00222	0.0542	SM72	S
G232_00222	0.5899	SM74	S
G232_00222	0.9504	SM84	S
G232_00222	0.9216	SM9	S
G232_00222	0.8964	SM91	S
G232_00223	1.0188	Rstd	R
G232_00223	0.0769	SM102	S
G232_00223	0.7755	SM104	S
G232_00223	0.6381	SM105	S
G232_00223	0.7116	SM108	S
G232_00223	0.8000	SM109	S
G232_00223	0.5301	SM11	S
G232_00223	0.8013	SM122	S
G232_00223	0.9087	SM13	S
G232_00223	0.3091	SM14	S
G232_00223	0.6127	SM18	S
G232_00223	0.5877	SM24	S
G232_00223	0.8365	SM27	S
G232_00223	0.6929	SM28	S
G232_00223	0.4444	SM29	S
G232_00223	1.0190	SM35	S
G232_00223	0.0195	SM36	S
G232_00223	0.6426	SM42	S
G232_00223	0.9333	SM48	S
G232_00223	0.9748	SM57	S
G232_00223	0.7406	SM66	S
G232_00223	0.9773	SM67	S
G232_00223	0.0246	SM72	S
G232_00223	0.4317	SM74	S
G232_00223	0.8780	SM84	S
G232_00223	0.6832	SM9	S
G232_00223	0.8503	SM91	S
G232_00224	0.5808	Rstd	R
G232_00224	0.2657	SM102	S
G232_00224	0.9005	SM104	S
G232_00224	0.6848	SM105	S
G232_00224	0.8776	SM108	S
G232_00224	0.8826	SM109	S
G232_00224	0.4096	SM11	S
G232_00224	0.5762	SM122	S
G232_00224	1.0311	SM13	S
G232_00224	0.3602	SM14	S
G232_00224	0.0000	SM18	S
G232_00224	0.8553	SM24	S
G232_00224	1.0382	SM27	S
G232_00224	0.7107	SM28	S
G232_00224	0.1374	SM29	S
