GENE	COVERAGE	STRAIN	GROUP
G232_06277	0.9802	Rstd	R
G232_06277	0.7273	SM102	S
G232_06277	0.8911	SM104	S
G232_06277	0.5253	SM105	S
G232_06277	0.8610	SM108	S
G232_06277	0.7087	SM109	S
G232_06277	0.5663	SM11	S
G232_06277	0.7417	SM122	S
G232_06277	0.8602	SM13	S
G232_06277	0.8522	SM14	S
G232_06277	1.0146	SM18	S
G232_06277	0.7149	SM24	S
G232_06277	0.6561	SM27	S
G232_06277	0.6750	SM28	S
G232_06277	0.8626	SM29	S
G232_06277	0.8000	SM35	S
G232_06277	0.5486	SM36	S
G232_06277	0.6549	SM42	S
G232_06277	0.8909	SM48	S
G232_06277	0.7059	SM57	S
G232_06277	0.5871	SM66	S
G232_06277	1.2078	SM67	S
G232_06277	0.6847	SM72	S
G232_06277	0.6691	SM74	S
G232_06277	0.8970	SM84	S
G232_06277	0.7088	SM9	S
G232_06277	0.7405	SM91	S
G232_06278	0.7939	Rstd	R
G232_06278	1.0490	SM102	S
G232_06278	0.7043	SM104	S
G232_06278	0.5019	SM105	S
G232_06278	0.7241	SM108	S
G232_06278	0.8261	SM109	S
G232_06278	0.5120	SM11	S
G232_06278	0.5099	SM122	S
G232_06278	0.8155	SM13	S
G232_06278	0.9516	SM14	S
G232_06278	1.3959	SM18	S
G232_06278	0.9167	SM24	S
G232_06278	0.7240	SM27	S
G232_06278	0.7071	SM28	S
G232_06278	1.2164	SM29	S
G232_06278	0.5048	SM35	S
G232_06278	0.9105	SM36	S
G232_06278	0.9771	SM42	S
G232_06278	0.5818	SM48	S
G232_06278	1.0588	SM57	S
G232_06278	0.7665	SM66	S
G232_06278	0.4773	SM67	S
G232_06278	0.7192	SM72	S
G232_06278	0.9928	SM74	S
G232_06278	0.7422	SM84	S
G232_06278	0.5296	SM9	S
G232_06278	0.7520	SM91	S
G232_06279	0.7998	Rstd	R
G232_06279	0.1608	SM102	S
G232_06279	0.8038	SM104	S
G232_06279	0.8366	SM105	S
G232_06279	0.9357	SM108	S
G232_06279	0.5739	SM109	S
G232_06279	0.4759	SM11	S
G232_06279	0.8411	SM122	S
G232_06279	0.7049	SM13	S
G232_06279	0.3441	SM14	S
G232_06279	1.1072	SM18	S
G232_06279	0.7325	SM24	S
G232_06279	0.7113	SM27	S
G232_06279	0.6250	SM28	S
G232_06279	0.9532	SM29	S
G232_06279	1.0571	SM35	S
G232_06279	0.0506	SM36	S
G232_06279	0.7975	SM42	S
G232_06279	0.6727	SM48	S
G232_06279	0.5378	SM57	S
G232_06279	0.6219	SM66	S
G232_06279	0.9351	SM67	S
G232_06279	0.0542	SM72	S
G232_06279	0.4388	SM74	S
G232_06279	0.8902	SM84	S
G232_06279	0.6640	SM9	S
G232_06279	0.8087	SM91	S
G232_06280	0.7701	Rstd	R
G232_06280	1.5664	SM102	S
G232_06280	0.7702	SM104	S
G232_06280	0.5837	SM105	S
G232_06280	0.8071	SM108	S
G232_06280	1.3130	SM109	S
G232_06280	0.8554	SM11	S
G232_06280	0.6490	SM122	S
G232_06280	0.7592	SM13	S
G232_06280	1.4247	SM14	S
G232_06280	0.9537	SM18	S
G232_06280	0.8070	SM24	S
G232_06280	0.9278	SM27	S
G232_06280	0.8750	SM28	S
G232_06280	1.0906	SM29	S
G232_06280	1.2190	SM35	S
G232_06280	1.5058	SM36	S
G232_06280	0.6461	SM42	S
G232_06280	1.1152	SM48	S
G232_06280	0.9580	SM57	S
G232_06280	0.8968	SM66	S
G232_06280	0.8539	SM67	S
G232_06280	1.2562	SM72	S
G232_06280	0.9424	SM74	S
G232_06280	0.7086	SM84	S
G232_06280	0.7488	SM9	S
G232_06280	0.7263	SM91	S
G232_06281	0.7413	Rstd	R
G232_06281	1.1399	SM102	S
G232_06281	0.6976	SM104	S
G232_06281	0.6848	SM105	S
G232_06281	0.9959	SM108	S
G232_06281	0.8913	SM109	S
G232_06281	0.8735	SM11	S
G232_06281	0.6093	SM122	S
G232_06281	0.5592	SM13	S
G232_06281	0.7500	SM14	S
G232_06281	1.1523	SM18	S
G232_06281	1.0000	SM24	S
G232_06281	0.7113	SM27	S
G232_06281	0.6000	SM28	S
G232_06281	0.9152	SM29	S
G232_06281	0.6381	SM35	S
G232_06281	0.8210	SM36	S
G232_06281	0.9067	SM42	S
G232_06281	0.8545	SM48	S
G232_06281	0.7563	SM57	S
G232_06281	1.0219	SM66	S
G232_06281	0.9253	SM67	S
G232_06281	0.9458	SM72	S
G232_06281	0.8201	SM74	S
G232_06281	0.8207	SM84	S
G232_06281	0.8880	SM9	S
G232_06281	0.7476	SM91	S
G232_06282	0.7086	Rstd	R
G232_06282	0.1678	SM102	S
G232_06282	0.7231	SM104	S
G232_06282	0.7432	SM105	S
G232_06282	0.7012	SM108	S
G232_06282	0.6261	SM109	S
G232_06282	0.6205	SM11	S
G232_06282	0.6954	SM122	S
G232_06282	0.8388	SM13	S
G232_06282	0.4032	SM14	S
G232_06282	1.1328	SM18	S
G232_06282	0.6754	SM24	S
G232_06282	0.9278	SM27	S
G232_06282	0.7179	SM28	S
G232_06282	1.0702	SM29	S
G232_06282	0.9714	SM35	S
G232_06282	0.0506	SM36	S
G232_06282	0.8204	SM42	S
G232_06282	0.7697	SM48	S
G232_06282	0.4790	SM57	S
G232_06282	0.6981	SM66	S
G232_06282	0.6331	SM67	S
G232_06282	0.0246	SM72	S
G232_06282	0.7626	SM74	S
G232_06282	0.8047	SM84	S
G232_06282	0.8512	SM9	S
G232_06282	0.8264	SM91	S
G232_06283	0.7403	Rstd	R
G232_06283	0.7552	SM102	S
G232_06283	0.9892	SM104	S
G232_06283	0.7977	SM105	S
G232_06283	1.1743	SM108	S
G232_06283	0.7304	SM109	S
G232_06283	0.7229	SM11	S
G232_06283	0.7219	SM122	S
G232_06283	0.5495	SM13	S
G232_06283	0.8226	SM14	S
G232_06283	1.2460	SM18	S
G232_06283	1.0482	SM24	S
G232_06283	0.8280	SM27	S
G232_06283	0.4750	SM28	S
G232_06283	0.7836	SM29	S
G232_06283	1.0571	SM35	S
G232_06283	0.6615	SM36	S
G232_06283	0.6725	SM42	S
G232_06283	0.7091	SM48	S
G232_06283	0.8655	SM57	S
G232_06283	1.0606	SM66	S
G232_06283	1.0552	SM67	S
G232_06283	0.5271	SM72	S
G232_06283	0.3597	SM74	S
G232_06283	0.8818	SM84	S
G232_06283	0.7392	SM9	S
G232_06283	0.8317	SM91	S
G232_06284	0.9792	Rstd	R
G232_06284	0.2448	SM102	S
G232_06284	0.9597	SM104	S
G232_06284	0.6848	SM105	S
G232_06284	0.8382	SM108	S
G232_06284	0.5261	SM109	S
G232_06284	0.5542	SM11	S
G232_06284	1.2119	SM122	S
G232_06284	0.7670	SM13	S
G232_06284	0.5753	SM14	S
G232_06284	1.3788	SM18	S
G232_06284	0.8991	SM24	S
G232_06284	0.8514	SM27	S
G232_06284	0.8536	SM28	S
G232_06284	1.0819	SM29	S
G232_06284	0.7714	SM35	S
G232_06284	0.3230	SM36	S
G232_06284	0.7535	SM42	S
G232_06284	0.8000	SM48	S
G232_06284	0.6471	SM57	S
G232_06284	0.8581	SM66	S
G232_06284	1.0292	SM67	S
G232_06284	0.2808	SM72	S
G232_06284	0.6403	SM74	S
G232_06284	0.8787	SM84	S
G232_06284	0.7088	SM9	S
G232_06284	0.8335	SM91	S
G232_06285	0.7988	Rstd	R
G232_06285	1.4266	SM102	S
G232_06285	0.6358	SM104	S
G232_06285	0.5525	SM105	S
G232_06285	0.7012	SM108	S
G232_06285	1.0522	SM109	S
G232_06285	0.8313	SM11	S
G232_06285	0.7616	SM122	S
G232_06285	0.8078	SM13	S
G232_06285	1.3978	SM14	S
G232_06285	1.6151	SM18	S
G232_06285	0.6623	SM24	S
G232_06285	0.6709	SM27	S
G232_06285	0.8821	SM28	S
G232_06285	1.0906	SM29	S
G232_06285	0.8190	SM35	S
G232_06285	1.5058	SM36	S
G232_06285	1.0898	SM42	S
G232_06285	0.7515	SM48	S
G232_06285	1.1597	SM57	S
G232_06285	0.7265	SM66	S
G232_06285	0.8636	SM67	S
G232_06285	1.9704	SM72	S
G232_06285	0.3525	SM74	S
G232_06285	0.6712	SM84	S
G232_06285	0.6720	SM9	S
G232_06285	0.9885	SM91	S
G232_06286	0.7552	Rstd	R
G232_06286	0.3706	SM102	S
G232_06286	0.7890	SM104	S
G232_06286	0.5292	SM105	S
G232_06286	0.7967	SM108	S
G232_06286	0.7522	SM109	S
G232_06286	0.5361	SM11	S
G232_06286	0.5033	SM122	S
G232_06286	0.9612	SM13	S
G232_06286	0.6075	SM14	S
G232_06286	1.4848	SM18	S
G232_06286	0.8421	SM24	S
G232_06286	1.1486	SM27	S
G232_06286	0.8750	SM28	S
G232_06286	0.7368	SM29	S
G232_06286	0.5143	SM35	S
G232_06286	0.2607	SM36	S
G232_06286	0.8556	SM42	S
G232_06286	0.5515	SM48	S
G232_06286	0.5378	SM57	S
G232_06286	0.8877	SM66	S
G232_06286	0.6136	SM67	S
G232_06286	0.4532	SM72	S
G232_06286	0.5468	SM74	S
G232_06286	1.0168	SM84	S
G232_06286	1.0608	SM9	S
G232_06286	0.8423	SM91	S
G232_06287	0.5758	Rstd	R
G232_06287	1.0280	SM102	S
G232_06287	0.9315	SM104	S
G232_06287	0.4591	SM105	S
G232_06287	0.3963	SM108	S
G232_06287	0.9826	SM109	S
G232_06287	0.6566	SM11	S
G232_06287	1.0927	SM122	S
G232_06287	0.8893	SM13	S
G232_06287	1.0403	SM14	S
G232_06287	1.5688	SM18	S
G232_06287	0.6316	SM24	S
G232_06287	0.5541	SM27	S
G232_06287	0.9357	SM28	S
G232_06287	0.9123	SM29	S
G232_06287	0.7524	SM35	S
G232_06287	0.8405	SM36	S
G232_06287	0.8275	SM42	S
G232_06287	0.4182	SM48	S
G232_06287	0.8403	SM57	S
G232_06287	0.9755	SM66	S
G232_06287	0.5877	SM67	S
G232_06287	0.6207	SM72	S
G232_06287	0.5612	SM74	S
G232_06287	1.0931	SM84	S
G232_06287	0.6608	SM9	S
G232_06287	0.8299	SM91	S
G232_06288	1.0010	Rstd	R
G232_06288	1.6434	SM102	S
G232_06288	0.7258	SM104	S
G232_06288	0.8911	SM105	S
G232_06288	0.9896	SM108	S
G232_06288	1.2000	SM109	S
G232_06288	0.8133	SM11	S
G232_06288	0.8212	SM122	S
G232_06288	0.7534	SM13	S
G232_06288	1.6532	SM14	S
G232_06288	1.1474	SM18	S
G232_06288	1.0439	SM24	S
G232_06288	0.5881	SM27	S
G232_06288	0.9036	SM28	S
G232_06288	0.8889	SM29	S
G232_06288	0.6857	SM35	S
G232_06288	2.4319	SM36	S
G232_06288	0.7940	SM42	S
G232_06288	0.9939	SM48	S
G232_06288	0.6723	SM57	S
G232_06288	0.8632	SM66	S
G232_06288	1.0812	SM67	S
G232_06288	2.4138	SM72	S
G232_06288	1.1079	SM74	S
G232_06288	0.8299	SM84	S
G232_06288	0.7296	SM9	S
G232_06288	0.8069	SM91	S
G232_06289	0.7393	Rstd	R
G232_06289	1.6783	SM102	S
G232_06289	0.8898	SM104	S
G232_06289	0.7977	SM105	S
G232_06289	0.9129	SM108	S
G232_06289	1.0957	SM109	S
G232_06289	1.2349	SM11	S
G232_06289	0.6358	SM122	S
G232_06289	0.8485	SM13	S
G232_06289	0.8468	SM14	S
G232_06289	1.2400	SM18	S
G232_06289	1.1140	SM24	S
G232_06289	0.7389	SM27	S
G232_06289	0.9321	SM28	S
G232_06289	0.8509	SM29	S
G232_06289	1.0286	SM35	S
G232_06289	1.1245	SM36	S
G232_06289	0.9560	SM42	S
G232_06289	1.1636	SM48	S
G232_06289	0.7647	SM57	S
G232_06289	1.0103	SM66	S
G232_06289	0.7922	SM67	S
G232_06289	1.4138	SM72	S
G232_06289	0.8417	SM74	S
G232_06289	0.8307	SM84	S
G232_06289	0.8720	SM9	S
G232_06289	0.8122	SM91	S
G232_06290	0.7175	Rstd	R
G232_06290	0.2448	SM102	S
G232_06290	0.8387	SM104	S
G232_06290	0.5175	SM105	S
G232_06290	0.8983	SM108	S
G232_06290	0.5391	SM109	S
G232_06290	0.4639	SM11	S
G232_06290	0.8212	SM122	S
G232_06290	0.8039	SM13	S
G232_06290	0.4543	SM14	S
G232_06290	1.1888	SM18	S
G232_06290	0.8947	SM24	S
G232_06290	0.7155	SM27	S
G232_06290	1.0107	SM28	S
G232_06290	1.0292	SM29	S
G232_06290	0.5905	SM35	S
G232_06290	0.0311	SM36	S
G232_06290	0.8292	SM42	S
G232_06290	0.7758	SM48	S
G232_06290	0.3782	SM57	S
G232_06290	0.7252	SM66	S
G232_06290	0.7468	SM67	S
G232_06290	0.0690	SM72	S
G232_06290	0.8489	SM74	S
G232_06290	0.6026	SM84	S
G232_06290	0.6560	SM9	S
G232_06290	0.8202	SM91	S
