GENE	COVERAGE	STRAIN	GROUP
G232_03910	0.8315	Rstd	R
G232_03910	2.1678	SM102	S
G232_03910	0.6398	SM104	S
G232_03910	0.6070	SM105	S
G232_03910	0.8838	SM108	S
G232_03910	0.6391	SM109	S
G232_03910	1.3434	SM11	S
G232_03910	0.9868	SM122	S
G232_03910	0.7223	SM13	S
G232_03910	1.9624	SM14	S
G232_03910	0.9525	SM18	S
G232_03910	0.9649	SM24	S
G232_03910	0.4883	SM27	S
G232_03910	0.9821	SM28	S
G232_03910	1.0000	SM29	S
G232_03910	1.0381	SM35	S
G232_03910	2.2802	SM36	S
G232_03910	0.8574	SM42	S
G232_03910	1.1818	SM48	S
G232_03910	0.9496	SM57	S
G232_03910	0.6232	SM66	S
G232_03910	0.8669	SM67	S
G232_03910	2.2709	SM72	S
G232_03910	0.3237	SM74	S
G232_03910	0.8421	SM84	S
G232_03910	0.8144	SM9	S
G232_03910	0.8246	SM91	S
G232_03911	0.8474	Rstd	R
G232_03911	0.7552	SM102	S
G232_03911	0.8777	SM104	S
G232_03911	0.7743	SM105	S
G232_03911	1.0581	SM108	S
G232_03911	0.9000	SM109	S
G232_03911	0.9578	SM11	S
G232_03911	0.9139	SM122	S
G232_03911	0.7146	SM13	S
G232_03911	0.7957	SM14	S
G232_03911	1.2241	SM18	S
G232_03911	0.4956	SM24	S
G232_03911	0.8238	SM27	S
G232_03911	0.7679	SM28	S
G232_03911	0.9006	SM29	S
G232_03911	0.3524	SM35	S
G232_03911	0.9572	SM36	S
G232_03911	0.8768	SM42	S
G232_03911	0.5091	SM48	S
G232_03911	0.5714	SM57	S
G232_03911	0.8194	SM66	S
G232_03911	0.9870	SM67	S
G232_03911	0.6158	SM72	S
G232_03911	0.6331	SM74	S
G232_03911	0.9977	SM84	S
G232_03911	0.9232	SM9	S
G232_03911	0.9221	SM91	S
G232_03912	0.6333	Rstd	R
G232_03912	0.0490	SM102	S
G232_03912	0.7500	SM104	S
G232_03912	0.8054	SM105	S
G232_03912	0.7614	SM108	S
G232_03912	0.7783	SM109	S
G232_03912	0.3313	SM11	S
G232_03912	1.2980	SM122	S
G232_03912	0.8738	SM13	S
G232_03912	0.6452	SM14	S
G232_03912	1.3203	SM18	S
G232_03912	0.7807	SM24	S
G232_03912	0.7537	SM27	S
G232_03912	1.0429	SM28	S
G232_03912	1.4240	SM29	S
G232_03912	0.6381	SM35	S
G232_03912	0.0000	SM36	S
G232_03912	0.8521	SM42	S
G232_03912	0.4000	SM48	S
G232_03912	0.7227	SM57	S
G232_03912	0.8361	SM66	S
G232_03912	1.2630	SM67	S
G232_03912	0.0000	SM72	S
G232_03912	1.0144	SM74	S
G232_03912	0.8703	SM84	S
G232_03912	0.8048	SM9	S
G232_03912	0.7609	SM91	S
G232_03913	0.7284	Rstd	R
G232_03913	1.5524	SM102	S
G232_03913	0.7124	SM104	S
G232_03913	0.9650	SM105	S
G232_03913	0.7676	SM108	S
G232_03913	0.9261	SM109	S
G232_03913	1.4639	SM11	S
G232_03913	0.7682	SM122	S
G232_03913	0.6951	SM13	S
G232_03913	1.0699	SM14	S
G232_03913	1.2558	SM18	S
G232_03913	0.8684	SM24	S
G232_03913	0.7834	SM27	S
G232_03913	0.8964	SM28	S
G232_03913	1.0848	SM29	S
G232_03913	0.9524	SM35	S
G232_03913	1.2101	SM36	S
G232_03913	1.0141	SM42	S
G232_03913	0.9939	SM48	S
G232_03913	0.9076	SM57	S
G232_03913	0.8503	SM66	S
G232_03913	0.7208	SM67	S
G232_03913	1.4680	SM72	S
G232_03913	0.5827	SM74	S
G232_03913	0.8352	SM84	S
G232_03913	0.7408	SM9	S
G232_03913	0.8246	SM91	S
G232_03914	0.9851	Rstd	R
G232_03914	0.7133	SM102	S
G232_03914	0.6720	SM104	S
G232_03914	0.9805	SM105	S
G232_03914	0.7552	SM108	S
G232_03914	0.9261	SM109	S
G232_03914	0.6386	SM11	S
G232_03914	0.9735	SM122	S
G232_03914	0.8311	SM13	S
G232_03914	1.0161	SM14	S
G232_03914	1.1864	SM18	S
G232_03914	0.4825	SM24	S
G232_03914	0.9066	SM27	S
G232_03914	0.6393	SM28	S
