GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_10253	1.0139	0.8462	0.8804	0.8171	0.9959	0.8913	1.3253	1.1656	0.8311	1.0968	1.3532	0.8728	0.6900	0.8821	1.4094	1.6190	0.9689	0.9842	0.6303	1.1597	1.0852	0.8864	1.1084	0.7266	0.9786	0.7632	0.8787
G232_10254	0.8999	0.0629	0.7769	0.8521	0.8942	0.6130	0.3916	0.7351	0.9379	0.5753	1.1218	0.5351	0.6645	0.8107	1.2193	0.7143	0.0000	0.7007	0.6303	0.7647	0.6026	0.6851	0.0099	0.5899	0.8543	0.6496	0.8423
G232_10255	0.9395	0.1678	0.7917	1.2023	0.6660	1.0000	0.5723	1.5033	0.6388	0.6667	1.5189	0.8026	0.8110	0.8607	1.5409	0.6190	0.1556	0.9225	1.2061	0.5462	0.8800	1.0649	0.2217	0.7842	0.7849	0.7424	0.9593
G232_10256	1.0000	0.9860	0.7379	0.6187	0.8651	0.7957	0.4337	0.8675	0.7282	0.5780	1.3021	0.9868	0.4862	1.0107	1.1345	1.1048	0.8872	0.7729	0.6667	0.7143	0.7329	0.6981	0.9951	0.9856	0.7689	0.8320	0.9362
G232_10257	0.9841	0.2238	0.8683	0.4358	1.1390	0.7391	1.0482	1.0662	1.1417	0.6075	1.1839	0.7588	0.8153	0.8643	1.2953	1.2857	0.1868	0.8363	0.8788	0.9664	0.9819	0.8701	0.4138	1.0288	0.8093	0.6976	0.8751
G232_10258	0.9277	2.0350	0.6478	0.7549	0.6639	0.7304	0.5783	0.7152	0.8291	1.7957	1.4056	0.5570	0.7516	0.8214	1.3450	0.9333	2.6654	0.9507	0.8909	0.3950	0.4697	0.7370	2.6059	0.3885	0.9245	0.9840	0.8379
G232_10259	0.9722	2.8182	0.7876	0.7198	0.8693	0.9478	0.8916	0.9868	0.6990	1.8522	1.0378	0.6579	0.9660	0.4607	0.7339	0.8571	3.1673	0.7870	1.5697	0.4706	0.5703	0.9318	2.3695	0.4460	0.9466	0.6928	0.7555
G232_10260	0.7364	0.1818	0.9180	0.7782	0.7303	0.5739	0.5602	0.8146	0.6680	0.6102	1.2363	0.8991	0.8599	0.7607	0.9883	0.7333	0.0661	0.8996	0.4606	0.7815	0.5535	0.5812	0.1724	0.2950	0.8299	0.6112	0.8096
G232_10261	0.8642	0.5734	0.7970	0.7160	0.4564	0.7348	0.5904	0.3046	0.6000	0.9247	0.8270	0.8114	0.5202	0.4679	1.4240	0.6667	1.0895	0.4630	0.4242	0.9496	0.5277	0.6883	0.9901	1.1655	0.7429	0.6928	0.6856
G232_10262	0.9822	1.1399	0.6989	0.6420	0.6494	0.6174	1.1867	0.7086	0.6291	1.0108	1.2887	0.6711	0.5244	0.9286	1.2515	0.6952	1.1479	0.8539	0.5333	0.8824	0.6232	0.8117	0.8424	0.8705	0.8314	0.6928	0.7945
G232_10263	0.7681	0.2098	0.7890	0.6226	0.6120	0.6435	0.2289	0.7550	0.6214	0.3145	0.0061	0.3289	0.5180	0.9357	0.4269	1.1810	0.0506	0.6849	0.9636	0.7059	0.6258	1.0260	0.0690	0.7698	0.6934	0.4928	0.8468
G232_10264	0.9257	0.7413	0.6801	0.7121	0.6971	0.6391	0.6265	0.9272	0.6796	0.9409	1.1072	0.8070	0.7197	0.7464	0.8889	0.6571	0.8482	0.7799	0.6788	0.8403	0.6387	0.8506	0.6601	0.7122	0.8352	0.7696	0.9699
