GENE	COVERAGE	STRAIN	GROUP
G232_01897	0.7919	Rstd	R
G232_01897	0.3636	SM102	S
G232_01897	0.7460	SM104	S
G232_01897	0.8638	SM105	S
G232_01897	0.5373	SM108	S
G232_01897	0.6174	SM109	S
G232_01897	0.5542	SM11	S
G232_01897	0.7020	SM122	S
G232_01897	0.8699	SM13	S
G232_01897	0.5726	SM14	S
G232_01897	1.3130	SM18	S
G232_01897	0.8158	SM24	S
G232_01897	0.8153	SM27	S
G232_01897	0.5000	SM28	S
G232_01897	1.2982	SM29	S
G232_01897	0.3714	SM35	S
G232_01897	0.1323	SM36	S
G232_01897	0.9842	SM42	S
G232_01897	0.6848	SM48	S
G232_01897	0.4874	SM57	S
G232_01897	0.6374	SM66	S
G232_01897	0.4383	SM67	S
G232_01897	0.1527	SM72	S
G232_01897	0.8058	SM74	S
G232_01897	0.8909	SM84	S
G232_01897	0.9168	SM9	S
G232_01897	0.8317	SM91	S
G232_01898	0.9039	Rstd	R
G232_01898	0.1259	SM102	S
G232_01898	1.0134	SM104	S
G232_01898	0.6693	SM105	S
G232_01898	0.8672	SM108	S
G232_01898	0.7913	SM109	S
G232_01898	0.7349	SM11	S
G232_01898	0.6490	SM122	S
G232_01898	0.7456	SM13	S
G232_01898	0.3468	SM14	S
G232_01898	1.3313	SM18	S
G232_01898	0.8114	SM24	S
G232_01898	0.9087	SM27	S
G232_01898	0.9143	SM28	S
G232_01898	1.1491	SM29	S
G232_01898	0.9238	SM35	S
G232_01898	0.0311	SM36	S
G232_01898	0.7271	SM42	S
G232_01898	0.7333	SM48	S
G232_01898	0.7647	SM57	S
G232_01898	0.7742	SM66	S
G232_01898	0.5844	SM67	S
G232_01898	0.0394	SM72	S
G232_01898	0.6331	SM74	S
G232_01898	0.8703	SM84	S
G232_01898	0.7456	SM9	S
G232_01898	0.8539	SM91	S
G232_01899	0.7671	Rstd	R
G232_01899	2.0350	SM102	S
G232_01899	0.6519	SM104	S
G232_01899	0.6887	SM105	S
G232_01899	0.7490	SM108	S
G232_01899	1.3739	SM109	S
G232_01899	0.7349	SM11	S
G232_01899	0.8212	SM122	S
G232_01899	0.8990	SM13	S
G232_01899	1.7204	SM14	S
G232_01899	1.2363	SM18	S
G232_01899	0.6667	SM24	S
G232_01899	0.8450	SM27	S
G232_01899	0.8821	SM28	S
G232_01899	1.1667	SM29	S
G232_01899	0.8000	SM35	S
G232_01899	3.0195	SM36	S
G232_01899	0.7518	SM42	S
G232_01899	1.1939	SM48	S
G232_01899	0.7983	SM57	S
G232_01899	0.8065	SM66	S
G232_01899	0.5227	SM67	S
G232_01899	2.8621	SM72	S
G232_01899	1.1007	SM74	S
G232_01899	0.7399	SM84	S
G232_01899	0.9840	SM9	S
G232_01899	0.8264	SM91	S
