GENE	COVERAGE	STRAIN	GROUP
G232_00706	0.6472	Rstd	R
G232_00706	0.7133	SM102	S
G232_00706	0.8468	SM104	S
G232_00706	0.4436	SM105	S
G232_00706	0.8091	SM108	S
G232_00706	0.6913	SM109	S
G232_00706	0.6687	SM11	S
G232_00706	0.9669	SM122	S
G232_00706	0.4777	SM13	S
G232_00706	0.6371	SM14	S
G232_00706	1.1328	SM18	S
G232_00706	0.7105	SM24	S
G232_00706	0.4034	SM27	S
G232_00706	0.5500	SM28	S
G232_00706	0.9240	SM29	S
G232_00706	1.6000	SM35	S
G232_00706	0.4747	SM36	S
G232_00706	0.5968	SM42	S
G232_00706	0.7758	SM48	S
G232_00706	0.7059	SM57	S
G232_00706	0.6568	SM66	S
G232_00706	0.8377	SM67	S
G232_00706	0.6946	SM72	S
G232_00706	0.8849	SM74	S
G232_00706	0.6102	SM84	S
G232_00706	0.4064	SM9	S
G232_00706	0.4579	SM91	S
