GENE	COVERAGE	STRAIN	GROUP
G232_00969	0.9435	Rstd	R
G232_00969	0.0000	SM102	S
G232_00969	0.5484	SM104	S
G232_00969	0.1518	SM105	S
G232_00969	1.4689	SM108	S
G232_00969	0.2348	SM109	S
G232_00969	0.6265	SM11	S
G232_00969	0.1788	SM122	S
G232_00969	0.7010	SM13	S
G232_00969	0.3306	SM14	S
G232_00969	0.0000	SM18	S
G232_00969	0.8289	SM24	S
G232_00969	0.1168	SM27	S
G232_00969	0.5429	SM28	S
G232_00969	0.0468	SM29	S
G232_00969	0.5143	SM35	S
G232_00969	0.0000	SM36	S
G232_00969	0.6461	SM42	S
G232_00969	1.3091	SM48	S
G232_00969	1.0000	SM57	S
G232_00969	1.0581	SM66	S
G232_00969	0.7662	SM67	S
G232_00969	0.0000	SM72	S
G232_00969	0.0216	SM74	S
G232_00969	1.0656	SM84	S
G232_00969	0.1760	SM9	S
G232_00969	1.0487	SM91	S
G232_00970	0.6056	Rstd	R
G232_00970	0.9790	SM102	S
G232_00970	0.4892	SM104	S
G232_00970	0.4047	SM105	S
G232_00970	0.6203	SM108	S
G232_00970	0.2652	SM109	S
G232_00970	0.6084	SM11	S
G232_00970	0.4503	SM122	S
G232_00970	0.7146	SM13	S
G232_00970	0.4435	SM14	S
G232_00970	0.0037	SM18	S
G232_00970	0.5877	SM24	S
G232_00970	0.4331	SM27	S
G232_00970	0.7786	SM28	S
G232_00970	0.0292	SM29	S
G232_00970	0.3905	SM35	S
G232_00970	0.6615	SM36	S
G232_00970	0.8961	SM42	S
G232_00970	0.5333	SM48	S
G232_00970	0.2101	SM57	S
G232_00970	0.6090	SM66	S
G232_00970	0.4610	SM67	S
G232_00970	0.7635	SM72	S
G232_00970	0.2086	SM74	S
G232_00970	0.6545	SM84	S
G232_00970	0.3984	SM9	S
G232_00970	0.7174	SM91	S
