GENE	COVERAGE	STRAIN	GROUP
G232_02385	0.9554	Rstd	R
G232_02385	0.4126	SM102	S
G232_02385	0.5874	SM104	S
G232_02385	0.4942	SM105	S
G232_02385	0.7199	SM108	S
G232_02385	0.8565	SM109	S
G232_02385	0.6205	SM11	S
G232_02385	1.2185	SM122	S
G232_02385	0.6602	SM13	S
G232_02385	0.3199	SM14	S
G232_02385	1.4762	SM18	S
G232_02385	0.8202	SM24	S
G232_02385	0.7495	SM27	S
G232_02385	0.6107	SM28	S
G232_02385	1.3450	SM29	S
G232_02385	0.2952	SM35	S
G232_02385	0.5642	SM36	S
G232_02385	1.1320	SM42	S
G232_02385	0.9212	SM48	S
G232_02385	0.9244	SM57	S
G232_02385	0.7406	SM66	S
G232_02385	0.8766	SM67	S
G232_02385	0.6355	SM72	S
G232_02385	0.3094	SM74	S
G232_02385	1.0290	SM84	S
G232_02385	0.7728	SM9	S
G232_02385	1.0576	SM91	S
G232_02386	1.0069	Rstd	R
G232_02386	0.7972	SM102	S
G232_02386	0.9395	SM104	S
G232_02386	0.7899	SM105	S
G232_02386	0.7801	SM108	S
G232_02386	0.9565	SM109	S
G232_02386	0.5301	SM11	S
G232_02386	0.9205	SM122	S
G232_02386	0.7476	SM13	S
G232_02386	0.8629	SM14	S
G232_02386	1.2850	SM18	S
G232_02386	0.4693	SM24	S
G232_02386	0.7049	SM27	S
G232_02386	0.8250	SM28	S
G232_02386	1.0439	SM29	S
G232_02386	1.2571	SM35	S
G232_02386	1.1128	SM36	S
G232_02386	0.8715	SM42	S
G232_02386	0.6303	SM48	S
G232_02386	0.3950	SM57	S
G232_02386	0.7342	SM66	S
G232_02386	0.7370	SM67	S
G232_02386	1.1675	SM72	S
G232_02386	0.4101	SM74	S
G232_02386	0.6690	SM84	S
G232_02386	0.6656	SM9	S
G232_02386	0.6856	SM91	S
G232_02387	1.2398	Rstd	R
G232_02387	1.9860	SM102	S
G232_02387	0.7809	SM104	S
G232_02387	0.7860	SM105	S
G232_02387	0.7116	SM108	S
G232_02387	0.9130	SM109	S
G232_02387	1.3795	SM11	S
G232_02387	0.6887	SM122	S
G232_02387	1.1301	SM13	S
G232_02387	1.1559	SM14	S
G232_02387	1.2984	SM18	S
G232_02387	0.9561	SM24	S
G232_02387	1.0870	SM27	S
G232_02387	1.1464	SM28	S
G232_02387	1.7368	SM29	S
G232_02387	0.7905	SM35	S
G232_02387	1.8093	SM36	S
G232_02387	1.6197	SM42	S
G232_02387	0.9455	SM48	S
G232_02387	0.4622	SM57	S
G232_02387	0.7819	SM66	S
G232_02387	1.6364	SM67	S
G232_02387	1.7241	SM72	S
G232_02387	0.3597	SM74	S
G232_02387	0.7551	SM84	S
G232_02387	0.8704	SM9	S
G232_02387	0.8308	SM91	S
G232_02388	1.2656	Rstd	R
G232_02388	0.4615	SM102	S
G232_02388	0.9946	SM104	S
G232_02388	1.4825	SM105	S
G232_02388	0.5892	SM108	S
G232_02388	0.7348	SM109	S
G232_02388	0.7470	SM11	S
G232_02388	0.4238	SM122	S
G232_02388	0.9476	SM13	S
G232_02388	0.6962	SM14	S
G232_02388	1.6663	SM18	S
G232_02388	1.5307	SM24	S
G232_02388	1.4607	SM27	S
G232_02388	1.5571	SM28	S
G232_02388	1.2164	SM29	S
G232_02388	1.1619	SM35	S
G232_02388	0.8288	SM36	S
G232_02388	1.3592	SM42	S
G232_02388	0.3152	SM48	S
G232_02388	0.8235	SM57	S
G232_02388	1.0710	SM66	S
G232_02388	0.6299	SM67	S
G232_02388	0.5813	SM72	S
G232_02388	1.0935	SM74	S
G232_02388	0.6987	SM84	S
G232_02388	0.7872	SM9	S
G232_02388	0.8990	SM91	S
G232_02389	0.8523	Rstd	R
G232_02389	0.1818	SM102	S
G232_02389	0.9126	SM104	S
G232_02389	0.8327	SM105	S
G232_02389	1.1224	SM108	S
G232_02389	0.7000	SM109	S
G232_02389	0.5120	SM11	S
G232_02389	1.3444	SM122	S
G232_02389	0.8039	SM13	S
G232_02389	0.5349	SM14	S
G232_02389	1.3788	SM18	S
G232_02389	0.8728	SM24	S
G232_02389	0.8599	SM27	S
