GENE	COVERAGE	STRAIN	GROUP
G232_06783	0.3380	Rstd	R
G232_06783	0.0000	SM102	S
G232_06783	0.5578	SM104	S
G232_06783	0.2568	SM105	S
G232_06783	0.3257	SM108	S
G232_06783	0.3304	SM109	S
G232_06783	0.5301	SM11	S
G232_06783	0.4702	SM122	S
G232_06783	0.3573	SM13	S
G232_06783	0.2016	SM14	S
G232_06783	0.5530	SM18	S
G232_06783	0.3333	SM24	S
G232_06783	0.3248	SM27	S
G232_06783	0.1964	SM28	S
G232_06783	0.4474	SM29	S
G232_06783	0.4000	SM35	S
G232_06783	0.0000	SM36	S
G232_06783	0.2870	SM42	S
G232_06783	0.3030	SM48	S
G232_06783	0.3782	SM57	S
G232_06783	0.3110	SM66	S
G232_06783	0.4610	SM67	S
G232_06783	0.0000	SM72	S
G232_06783	0.4748	SM74	S
G232_06783	0.3013	SM84	S
G232_06783	0.3424	SM9	S
G232_06783	0.4074	SM91	S
