GENE	COVERAGE	STRAIN	GROUP
G232_05054	1.0218	Rstd	R
G232_05054	0.9510	SM102	S
G232_05054	1.0954	SM104	S
G232_05054	1.5953	SM105	S
G232_05054	0.5332	SM108	S
G232_05054	1.5565	SM109	S
G232_05054	0.6687	SM11	S
G232_05054	0.7285	SM122	S
G232_05054	1.8583	SM13	S
G232_05054	0.4140	SM14	S
G232_05054	0.0268	SM18	S
G232_05054	1.0351	SM24	S
G232_05054	1.9682	SM27	S
G232_05054	0.7929	SM28	S
G232_05054	0.0000	SM29	S
G232_05054	1.3429	SM35	S
G232_05054	0.9883	SM36	S
G232_05054	0.9261	SM42	S
G232_05054	1.5212	SM48	S
G232_05054	1.4706	SM57	S
G232_05054	0.8723	SM66	S
G232_05054	1.9968	SM67	S
G232_05054	0.5764	SM72	S
G232_05054	1.4892	SM74	S
G232_05054	1.6873	SM84	S
G232_05054	1.6544	SM9	S
G232_05054	1.0204	SM91	S
