GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_00944	6.02	0.48	4.67	2.97	2.53	1.55	0.74	1.48	4.28	1.21	10.64	2.11	3.17	2.48	3.02	0.90	0.25	4.11	1.53	0.77	6.14	2.26	0.06	1.19	10.68	4.49	8.01
G232_00945	9.03	11.37	6.43	1.70	3.32	4.02	2.28	1.03	4.54	21.06	13.63	2.00	3.43	2.57	4.64	1.10	21.29	6.17	1.56	1.44	4.29	3.10	16.27	0.85	14.48	4.42	9.37
G232_00946	4.09	0.92	6.97	1.26	2.49	2.28	1.22	2.39	4.28	1.85	11.32	1.47	2.64	3.41	4.58	0.98	0.44	4.01	1.20	0.32	4.89	2.29	0.97	2.18	12.23	2.98	7.52
G232_00947	7.87	2.76	5.75	1.74	3.13	2.24	1.15	0.91	3.69	3.61	11.85	1.60	2.51	1.88	3.83	0.92	4.37	5.19	1.56	0.44	6.00	2.63	3.42	1.24	9.20	4.89	10.84
G232_00948	6.20	1.68	6.05	1.91	3.29	1.47	1.74	1.28	3.85	3.42	6.97	0.94	2.84	2.03	1.34	0.63	2.22	3.19	1.71	0.85	6.72	2.44	2.06	1.22	11.23	3.15	8.11
G232_00949	8.01	0.15	5.68	1.89	3.43	1.12	1.03	1.44	3.61	1.16	10.42	1.80	4.96	2.27	4.53	0.49	0.91	5.63	1.31	1.09	5.33	3.10	0.54	0.64	9.56	3.80	10.85
G232_00950	6.99	0.22	5.83	2.21	3.02	1.40	2.18	1.19	4.23	2.10	11.42	0.73	2.72	2.24	3.30	0.61	0.16	5.46	1.02	0.89	5.48	1.75	0.19	0.67	10.17	4.61	9.52
G232_00951	9.89	0.18	5.56	1.75	3.44	1.22	0.71	1.03	3.83	2.42	12.03	0.91	4.50	1.47	5.31	0.41	0.25	4.81	1.32	0.48	4.39	2.95	0.31	1.15	12.09	5.53	9.56
G232_00952	9.46	0.74	5.47	1.04	3.49	2.12	0.37	1.72	4.64	2.71	10.72	3.12	3.90	1.96	4.26	0.34	0.27	5.52	1.23	0.63	5.57	3.74	0.68	1.11	10.69	4.62	7.84
G232_00953	4.95	0.05	4.12	0.46	3.18	1.27	0.92	1.02	6.21	1.39	14.53	2.29	5.62	3.73	4.01	0.42	0.10	6.12	2.35	1.29	5.87	2.07	0.10	2.10	9.50	7.19	10.33
G232_00954	7.33	4.28	6.34	1.78	2.40	3.16	1.70	1.82	3.82	10.20	11.94	1.59	3.50	2.46	4.69	1.27	11.29	6.91	1.67	1.09	6.51	2.41	8.74	1.29	9.67	4.33	8.03
G232_00955	9.73	1.52	5.63	2.01	3.87	1.82	0.98	1.15	4.57	3.24	10.31	1.58	2.60	2.34	5.17	0.71	2.48	5.27	1.41	0.78	5.77	2.44	1.72	0.85	12.18	4.68	10.08
G232_00956	7.75	1.51	4.83	2.63	2.23	3.74	2.21	2.06	3.47	3.78	12.09	2.40	1.94	3.58	4.32	0.59	3.83	5.26	1.97	1.71	7.09	2.38	1.64	0.81	9.96	4.48	10.64
G232_00957	7.86	0.19	6.21	1.72	3.03	1.83	0.91	0.91	4.36	2.03	11.12	1.91	3.92	2.46	4.30	0.94	0.00	4.79	1.40	0.75	6.19	1.75	0.47	0.87	12.15	4.13	8.11
G232_00958	7.54	0.80	5.55	1.70	4.35	3.05	1.71	1.49	4.65	3.11	14.58	1.21	3.89	2.38	3.84	1.13	3.07	4.05	1.13	2.03	6.35	1.30	1.57	1.17	12.07	4.44	8.30
G232_00959	11.01	0.13	6.73	2.65	4.53	1.36	1.64	1.53	4.09	2.37	10.34	1.54	4.49	2.32	4.69	0.68	0.06	4.10	1.62	0.64	7.43	3.24	0.16	0.76	11.10	5.30	10.51
G232_00960	9.83	1.43	5.41	2.04	2.56	2.27	1.23	0.39	4.24	2.70	12.80	2.78	4.69	2.39	3.75	1.67	1.93	6.02	1.18	1.68	4.55	1.59	1.71	0.86	11.02	6.20	13.44
G232_00961	10.26	1.81	4.63	1.38	3.87	2.01	1.14	0.60	5.40	5.42	12.63	1.44	4.64	2.78	6.29	0.52	3.01	4.90	0.94	0.77	4.21	1.35	1.40	0.35	10.07	6.15	9.05
G232_00962	10.95	0.00	7.39	1.75	3.65	2.22	0.94	1.35	3.07	2.95	10.58	1.34	5.52	2.55	4.49	1.03	0.17	3.44	1.20	0.80	5.05	2.56	0.14	0.36	12.89	4.86	9.41
G232_00963	5.79	11.14	7.87	1.37	1.49	2.73	5.83	1.63	4.53	13.90	11.19	1.53	3.77	1.89	2.60	0.60	21.68	5.63	1.74	1.21	6.74	5.53	12.62	0.74	11.04	7.06	8.72
G232_00964	9.97	0.15	9.72	3.02	5.18	0.98	1.34	1.25	3.70	2.04	14.23	1.96	3.35	1.75	2.80	0.97	0.07	4.06	1.08	0.97	4.73	2.45	0.19	0.52	10.16	4.21	9.39
G232_00965	6.54	2.71	4.61	2.33	4.16	2.76	1.86	1.22	3.85	5.18	11.57	1.32	4.12	2.30	3.23	1.23	5.42	4.26	1.70	1.01	6.94	1.95	4.09	0.75	9.61	5.92	9.21
G232_00966	8.22	0.00	4.71	1.53	3.41	1.56	1.17	0.79	4.40	1.83	11.36	1.54	3.94	3.25	4.64	0.68	0.04	5.27	0.70	0.57	5.93	2.37	0.28	1.07	9.54	4.50	8.56
G232_00967	7.96	0.90	6.02	1.79	3.82	2.00	1.42	1.07	3.45	2.31	9.03	1.53	4.46	2.30	3.80	0.80	0.73	3.88	1.10	1.01	7.18	2.38	1.02	1.60	10.31	5.02	10.30
