GENE	COVERAGE	STRAIN	GROUP
G232_09727	1.7007	Rstd	R
G232_09727	7.3007	SM102	S
G232_09727	1.3293	SM104	S
G232_09727	1.1284	SM105	S
G232_09727	1.5892	SM108	S
G232_09727	2.3609	SM109	S
G232_09727	1.3795	SM11	S
G232_09727	1.1656	SM122	S
G232_09727	1.2408	SM13	S
G232_09727	2.1559	SM14	S
G232_09727	1.6431	SM18	S
G232_09727	0.9605	SM24	S
G232_09727	1.0085	SM27	S
G232_09727	1.0786	SM28	S
G232_09727	1.0994	SM29	S
G232_09727	1.7524	SM35	S
G232_09727	2.0817	SM36	S
G232_09727	1.0458	SM42	S
G232_09727	1.2788	SM48	S
G232_09727	2.1008	SM57	S
G232_09727	1.0865	SM66	S
G232_09727	1.3799	SM67	S
G232_09727	5.6552	SM72	S
G232_09727	2.1367	SM74	S
G232_09727	0.8215	SM84	S
G232_09727	1.2656	SM9	S
G232_09727	1.1603	SM91	S
G232_09728	0.9158	Rstd	R
G232_09728	0.5315	SM102	S
G232_09728	0.8065	SM104	S
G232_09728	1.0506	SM105	S
G232_09728	1.0270	SM108	S
G232_09728	0.5957	SM109	S
G232_09728	0.6325	SM11	S
G232_09728	0.8940	SM122	S
G232_09728	0.6524	SM13	S
G232_09728	0.5726	SM14	S
G232_09728	1.3752	SM18	S
G232_09728	0.6491	SM24	S
G232_09728	0.7070	SM27	S
G232_09728	0.5571	SM28	S
G232_09728	1.3041	SM29	S
G232_09728	0.8095	SM35	S
G232_09728	0.4553	SM36	S
G232_09728	0.8116	SM42	S
G232_09728	0.8909	SM48	S
G232_09728	0.7143	SM57	S
G232_09728	0.6890	SM66	S
G232_09728	1.0974	SM67	S
G232_09728	0.3547	SM72	S
G232_09728	0.6475	SM74	S
G232_09728	0.8627	SM84	S
G232_09728	0.6608	SM9	S
G232_09728	0.8663	SM91	S
G232_09729	0.7988	Rstd	R
G232_09729	0.1818	SM102	S
G232_09729	1.2191	SM104	S
G232_09729	1.0078	SM105	S
G232_09729	1.0290	SM108	S
G232_09729	0.4261	SM109	S
G232_09729	0.7771	SM11	S
G232_09729	1.1457	SM122	S
G232_09729	0.4816	SM13	S
G232_09729	0.4597	SM14	S
G232_09729	1.3398	SM18	S
G232_09729	0.9079	SM24	S
G232_09729	0.8641	SM27	S
G232_09729	1.1964	SM28	S
G232_09729	0.9942	SM29	S
G232_09729	0.1714	SM35	S
G232_09729	0.3541	SM36	S
G232_09729	0.6215	SM42	S
G232_09729	0.8606	SM48	S
G232_09729	1.2269	SM57	S
G232_09729	1.0800	SM66	S
G232_09729	0.6753	SM67	S
G232_09729	0.3498	SM72	S
G232_09729	0.7410	SM74	S
G232_09729	0.8879	SM84	S
G232_09729	0.7488	SM9	S
G232_09729	0.8592	SM91	S
