GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_09558	0.9108	0.0210	1.0094	0.5447	0.7656	0.6261	0.3735	0.9404	0.7650	0.5672	1.0597	0.5877	0.6964	0.9071	1.2281	0.7619	0.0078	0.7852	0.7758	0.7479	0.7884	1.0617	0.0000	1.1223	0.9016	0.7920	0.7387
G232_09559	0.7215	0.8462	0.7325	0.6537	0.8506	0.7522	0.7410	0.8742	0.7806	0.7984	1.2132	0.8860	0.6348	0.7357	0.8216	0.9429	0.6420	0.7254	1.0061	0.5630	0.7484	0.7435	0.7833	0.4173	0.7529	0.7200	0.7679
G232_09560	0.9405	0.0140	0.8051	0.8482	0.7386	0.5913	0.5482	0.9338	0.7845	0.4651	1.3423	0.7895	0.8875	0.5679	1.0497	0.6381	0.0428	0.4454	0.7091	0.4202	1.1097	1.4481	0.1084	1.3165	0.8436	0.7104	1.0691
G232_09561	1.0268	0.8112	1.0887	0.7004	0.9564	1.4130	1.4578	1.0331	0.8194	1.2957	1.3082	0.7675	1.1614	0.4429	0.8450	1.4476	0.9650	0.7535	0.5455	0.2353	0.8787	1.1299	0.7635	0.6115	0.9375	0.8480	0.7848
G232_09562	1.0823	5.9021	0.8454	0.7004	0.8589	1.4087	1.3373	0.6358	0.7049	3.8091	1.1218	1.0000	0.7134	0.8357	0.9971	1.1810	8.0078	0.7993	0.9091	0.8824	0.5729	1.1461	5.3251	0.4317	0.8413	0.6512	0.8069
G232_09563	0.7384	1.4056	0.8253	0.6537	0.8133	1.1174	0.7771	0.5695	0.7165	1.1478	2.4227	0.7193	0.8832	1.0500	0.7485	0.4000	1.8093	0.8451	0.8970	0.8235	0.7742	0.7597	2.0887	0.6835	0.8116	0.8304	1.1523
G232_09564	0.9049	1.0629	0.8978	0.8521	0.9751	0.9261	0.4458	0.8609	0.9553	1.0000	1.4032	0.7368	0.9384	0.8000	1.1287	0.9524	0.7899	0.8169	0.7455	1.1092	0.7419	1.0357	1.4680	0.3381	0.8520	0.7728	0.8043
G232_09565	0.8979	0.9161	0.7500	0.7549	0.8278	0.6478	0.8614	0.7550	0.5981	1.3844	1.4190	0.9518	1.0234	0.7286	1.1959	0.2952	1.5175	0.8644	0.8606	0.4118	0.7729	0.8896	1.5764	0.5755	0.8192	0.6560	0.8282
G232_09566	0.8494	0.3217	0.7137	0.7899	0.7490	0.4609	0.4096	0.6424	0.6350	0.5887	1.1340	0.5965	0.6900	0.6179	1.2427	0.8667	0.4202	0.8046	0.7879	0.7143	0.7652	1.0065	0.4286	0.4892	0.7902	0.8320	0.8379
G232_09567	1.2230	6.4545	1.3374	1.2685	1.1079	2.2130	2.2048	1.6821	1.3417	4.6586	2.1973	1.3158	1.2611	1.4929	2.7398	1.2476	6.7471	1.7606	1.4667	1.6891	1.3148	1.5000	6.1379	0.8561	1.4889	1.2768	1.3339
G232_09568	0.8692	6.7692	0.6156	0.8093	0.8174	1.4783	1.9759	0.6358	0.8078	6.4758	1.4519	0.9561	0.7941	0.9071	1.5936	0.3333	9.2607	1.0687	1.3818	1.3025	0.6852	0.5422	6.9163	0.5683	0.8932	0.8240	0.7768
G232_09569	1.3181	0.0769	0.8602	0.6265	0.8361	0.6870	0.9699	0.5033	1.0718	0.8145	1.5274	1.2412	0.9066	1.0000	1.8655	0.2762	0.0000	0.9595	1.1818	0.2437	1.2142	0.6234	0.1429	0.4173	0.6140	0.8816	0.5137
G232_09570	0.8137	2.7622	0.5941	0.3541	1.0851	0.7478	1.3735	0.2649	0.6427	1.4570	1.3130	0.6184	0.6072	1.3821	1.3304	0.3143	1.1206	0.6303	0.6667	0.2101	0.7161	0.9805	1.5567	0.8129	0.8108	0.8352	0.7166
G232_09571	0.8454	0.1748	0.8454	1.0350	1.0664	0.5913	0.4337	0.9536	1.0369	0.4704	1.3252	0.7018	0.9724	0.9750	1.1520	0.6857	0.1362	0.9472	0.8970	0.5546	0.8284	0.8636	0.1527	0.7266	0.8032	0.8032	0.8291
