GENE	COVERAGE	STRAIN	GROUP
G232_01735	0.8989	Rstd	R
G232_01735	0.8601	SM102	S
G232_01735	0.7312	SM104	S
G232_01735	0.6304	SM105	S
G232_01735	0.6971	SM108	S
G232_01735	0.9565	SM109	S
G232_01735	0.7289	SM11	S
G232_01735	0.7616	SM122	S
G232_01735	0.6233	SM13	S
G232_01735	0.7876	SM14	S
G232_01735	1.2302	SM18	S
G232_01735	0.4781	SM24	S
G232_01735	0.5648	SM27	S
G232_01735	0.7464	SM28	S
G232_01735	1.2018	SM29	S
G232_01735	1.1333	SM35	S
G232_01735	0.8988	SM36	S
G232_01735	0.7130	SM42	S
G232_01735	0.6121	SM48	S
G232_01735	0.4706	SM57	S
G232_01735	0.7006	SM66	S
G232_01735	0.7987	SM67	S
G232_01735	0.9803	SM72	S
G232_01735	0.3381	SM74	S
G232_01735	0.7544	SM84	S
G232_01735	0.7872	SM9	S
G232_01735	0.7741	SM91	S
G232_01736	1.1378	Rstd	R
G232_01736	0.6224	SM102	S
G232_01736	0.7903	SM104	S
G232_01736	0.7977	SM105	S
G232_01736	0.8734	SM108	S
G232_01736	0.5957	SM109	S
G232_01736	0.2410	SM11	S
G232_01736	0.8808	SM122	S
G232_01736	0.7864	SM13	S
G232_01736	0.9274	SM14	S
G232_01736	1.6760	SM18	S
G232_01736	1.0702	SM24	S
G232_01736	1.0361	SM27	S
G232_01736	1.2571	SM28	S
G232_01736	1.4064	SM29	S
G232_01736	0.8667	SM35	S
G232_01736	0.6654	SM36	S
G232_01736	1.1338	SM42	S
G232_01736	0.9273	SM48	S
G232_01736	0.1933	SM57	S
G232_01736	0.7213	SM66	S
G232_01736	0.7078	SM67	S
G232_01736	0.4926	SM72	S
G232_01736	0.6835	SM74	S
G232_01736	0.8955	SM84	S
G232_01736	1.3360	SM9	S
G232_01736	1.0514	SM91	S
G232_01737	0.6452	Rstd	R
G232_01737	2.1608	SM102	S
G232_01737	0.7366	SM104	S
G232_01737	0.7782	SM105	S
G232_01737	0.5705	SM108	S
G232_01737	0.5609	SM109	S
G232_01737	0.6928	SM11	S
G232_01737	0.6887	SM122	S
G232_01737	0.6485	SM13	S
G232_01737	1.4382	SM14	S
G232_01737	1.3167	SM18	S
G232_01737	0.6974	SM24	S
G232_01737	0.7219	SM27	S
G232_01737	0.8607	SM28	S
G232_01737	0.9474	SM29	S
G232_01737	0.5143	SM35	S
G232_01737	1.9572	SM36	S
G232_01737	0.6144	SM42	S
G232_01737	0.6424	SM48	S
G232_01737	0.8487	SM57	S
G232_01737	0.8723	SM66	S
G232_01737	0.4708	SM67	S
G232_01737	1.9064	SM72	S
G232_01737	0.7122	SM74	S
G232_01737	0.7918	SM84	S
G232_01737	0.9488	SM9	S
G232_01737	0.6926	SM91	S
G232_01738	0.9138	Rstd	R
G232_01738	0.9720	SM102	S
G232_01738	0.9261	SM104	S
G232_01738	0.8911	SM105	S
G232_01738	0.7469	SM108	S
G232_01738	0.8391	SM109	S
G232_01738	0.9940	SM11	S
G232_01738	0.9073	SM122	S
G232_01738	0.7670	SM13	S
G232_01738	0.8952	SM14	S
G232_01738	1.1961	SM18	S
G232_01738	0.8246	SM24	S
G232_01738	0.7792	SM27	S
G232_01738	0.7429	SM28	S
G232_01738	1.1199	SM29	S
G232_01738	0.6762	SM35	S
G232_01738	0.8288	SM36	S
G232_01738	0.8486	SM42	S
G232_01738	0.7273	SM48	S
G232_01738	0.6807	SM57	S
G232_01738	0.7587	SM66	S
G232_01738	0.8961	SM67	S
G232_01738	0.8325	SM72	S
G232_01738	0.6619	SM74	S
G232_01738	0.8764	SM84	S
G232_01738	0.6896	SM9	S
G232_01738	0.8866	SM91	S
G232_01739	0.5798	Rstd	R
G232_01739	2.6154	SM102	S
G232_01739	0.9167	SM104	S
G232_01739	0.2685	SM105	S
G232_01739	0.6971	SM108	S
G232_01739	0.8609	SM109	S
G232_01739	1.1205	SM11	S
G232_01739	1.4503	SM122	S
G232_01739	0.8602	SM13	S
G232_01739	1.8118	SM14	S
G232_01739	1.9233	SM18	S
G232_01739	0.7851	SM24	S
G232_01739	0.9172	SM27	S
G232_01739	0.6821	SM28	S
G232_01739	1.5029	SM29	S
G232_01739	0.3619	SM35	S
G232_01739	3.3735	SM36	S
G232_01739	1.3803	SM42	S
G232_01739	1.0727	SM48	S
G232_01739	1.1513	SM57	S
G232_01739	0.9561	SM66	S
G232_01739	0.5812	SM67	S
G232_01739	2.5961	SM72	S
G232_01739	0.5612	SM74	S
G232_01739	0.7346	SM84	S
G232_01739	1.1040	SM9	S
G232_01739	0.8902	SM91	S
G232_01740	1.0178	Rstd	R
G232_01740	0.6364	SM102	S
G232_01740	0.6371	SM104	S
G232_01740	0.6926	SM105	S
G232_01740	0.8859	SM108	S
G232_01740	0.5130	SM109	S
G232_01740	0.6867	SM11	S
G232_01740	0.6291	SM122	S
G232_01740	0.8757	SM13	S
G232_01740	0.9086	SM14	S
G232_01740	1.4909	SM18	S
G232_01740	0.4649	SM24	S
G232_01740	0.7728	SM27	S
G232_01740	0.7286	SM28	S
G232_01740	1.2310	SM29	S
G232_01740	0.8571	SM35	S
G232_01740	0.4397	SM36	S
G232_01740	0.6989	SM42	S
G232_01740	0.7273	SM48	S
G232_01740	0.5630	SM57	S
G232_01740	0.5484	SM66	S
G232_01740	0.5942	SM67	S
G232_01740	0.3103	SM72	S
G232_01740	0.4892	SM74	S
G232_01740	0.8627	SM84	S
G232_01740	0.9104	SM9	S
G232_01740	0.8246	SM91	S
G232_01741	0.7156	Rstd	R
G232_01741	0.4336	SM102	S
G232_01741	1.0376	SM104	S
G232_01741	0.8327	SM105	S
G232_01741	0.8817	SM108	S
G232_01741	0.8304	SM109	S
G232_01741	0.6687	SM11	S
G232_01741	0.8278	SM122	S
G232_01741	0.7650	SM13	S
G232_01741	0.4543	SM14	S
G232_01741	1.3959	SM18	S
G232_01741	0.8465	SM24	S
G232_01741	0.6582	SM27	S
G232_01741	0.8464	SM28	S
G232_01741	1.2690	SM29	S
G232_01741	0.8286	SM35	S
G232_01741	0.2724	SM36	S
G232_01741	0.7130	SM42	S
G232_01741	0.8909	SM48	S
G232_01741	0.7899	SM57	S
G232_01741	0.7626	SM66	S
G232_01741	0.9253	SM67	S
G232_01741	0.4631	SM72	S
G232_01741	0.9281	SM74	S
G232_01741	0.9222	SM84	S
G232_01741	1.2464	SM9	S
G232_01741	0.9309	SM91	S
