GENE	COVERAGE	STRAIN	GROUP
G232_09664	2.9098	Rstd	R
G232_09664	0.0490	SM102	S
G232_09664	2.4355	SM104	S
G232_09664	1.9494	SM105	S
G232_09664	3.5394	SM108	S
G232_09664	1.2478	SM109	S
G232_09664	3.4880	SM11	S
G232_09664	5.3046	SM122	S
G232_09664	2.1942	SM13	S
G232_09664	1.3575	SM14	S
G232_09664	0.6395	SM18	S
G232_09664	1.2105	SM24	S
G232_09664	1.0594	SM27	S
G232_09664	1.7571	SM28	S
G232_09664	1.2865	SM29	S
G232_09664	1.3333	SM35	S
G232_09664	0.1089	SM36	S
G232_09664	3.4701	SM42	S
G232_09664	1.2909	SM48	S
G232_09664	2.4958	SM57	S
G232_09664	2.1626	SM66	S
G232_09664	0.8571	SM67	S
G232_09664	0.1773	SM72	S
G232_09664	1.9424	SM74	S
G232_09664	0.6003	SM84	S
G232_09664	0.6592	SM9	S
G232_09664	3.2631	SM91	S
