GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_03647	8.46	1.64	6.02	3.16	3.55	1.66	1.83	1.82	4.49	5.08	11.84	1.49	2.57	2.41	3.66	1.01	1.46	3.94	1.40	0.74	5.72	3.44	1.78	1.05	13.81	3.16	10.46
G232_03648	9.04	0.79	5.99	2.28	3.72	1.82	1.16	1.16	4.11	2.14	7.37	1.83	2.85	1.97	1.81	0.57	1.02	4.79	0.97	1.02	6.23	2.88	1.20	1.02	8.56	4.23	9.75
G232_03649	9.34	9.60	6.13	0.88	3.03	3.89	2.46	0.92	4.00	18.43	9.77	2.48	4.48	1.50	6.28	0.85	22.65	8.89	1.27	1.29	5.21	2.69	16.00	0.00	10.28	4.47	10.31
G232_03650	6.87	0.78	6.53	1.85	3.58	1.79	0.92	1.54	3.08	1.88	9.35	1.30	2.90	2.00	3.65	0.71	1.25	4.31	1.17	0.84	5.78	2.29	0.58	0.95	9.57	3.79	8.11
G232_03651	8.53	0.50	5.98	1.64	5.16	1.23	1.38	1.26	3.08	3.55	11.86	1.95	2.61	2.52	3.83	0.64	0.06	3.78	0.49	1.33	5.78	2.45	0.27	1.27	10.58	4.17	9.27
G232_03652	7.41	2.17	5.59	1.95	2.88	2.31	1.22	0.59	3.50	3.10	11.71	2.53	2.34	2.62	3.53	0.76	1.88	5.33	0.49	0.83	5.02	2.04	2.24	1.06	10.35	5.17	7.97
G232_03653	9.69	0.14	5.85	2.57	5.41	1.95	1.15	1.29	4.79	1.83	11.36	2.26	3.31	2.32	4.27	0.71	0.39	4.24	1.41	0.72	6.61	2.61	0.28	1.17	11.33	5.00	11.26
G232_03654	10.97	0.87	5.86	1.62	3.47	2.16	1.23	1.05	4.25	3.89	11.08	1.51	4.33	1.71	3.44	0.83	2.15	4.27	0.98	1.17	5.84	2.48	1.26	0.64	13.84	5.00	8.81
G232_03655	9.10	0.41	5.78	2.55	4.90	1.66	1.10	1.52	5.80	3.84	13.06	2.61	4.81	3.46	4.83	0.71	2.11	6.81	0.72	0.50	5.63	2.42	1.84	1.00	11.57	5.82	8.76
G232_03656	5.52	7.45	3.62	2.29	3.66	2.73	1.51	0.88	4.13	10.67	4.16	1.83	3.56	3.02	6.68	0.31	14.61	5.86	0.57	0.37	5.46	3.18	9.40	0.26	10.35	4.46	10.76
G232_03657	8.85	0.33	5.88	2.71	3.55	0.71	0.89	1.35	5.34	1.39	12.33	1.40	2.86	2.76	3.68	1.37	0.22	4.08	1.14	0.76	7.82	1.54	0.14	1.58	12.55	5.82	10.08
G232_03658	9.94	0.32	5.34	1.94	3.91	1.59	0.61	1.24	4.32	1.37	11.94	1.53	4.03	2.54	4.59	1.15	0.36	4.04	1.40	0.59	7.81	2.85	0.17	1.27	10.83	4.49	10.20
G232_03659	7.48	0.61	6.00	2.00	3.75	1.71	1.17	1.17	3.71	2.41	10.14	1.47	3.66	2.31	2.99	0.73	0.53	4.93	0.95	0.93	6.19	2.86	0.71	1.00	9.81	3.69	8.87
G232_03660	8.57	1.75	7.03	2.33	4.40	2.13	1.48	1.48	3.83	4.40	9.29	1.38	4.18	2.52	3.88	0.99	3.65	4.60	1.50	1.22	7.79	3.12	2.70	1.13	11.94	5.37	9.94
G232_03661	8.06	0.34	5.06	1.98	3.02	1.00	1.20	0.92	4.08	2.23	10.29	1.48	2.69	1.72	4.44	0.58	0.27	4.52	1.29	1.01	6.19	2.00	0.21	0.89	11.33	4.28	8.86
G232_03662	9.08	0.18	7.10	1.61	4.60	2.03	1.73	1.52	3.67	1.62	8.68	1.68	3.18	2.05	4.99	0.61	0.09	5.06	0.85	1.01	6.99	2.90	0.21	1.70	8.90	6.04	10.34
G232_03663	8.39	1.82	3.74	2.72	2.54	1.59	2.04	1.89	4.83	2.84	12.33	1.73	3.24	2.23	3.02	0.87	5.05	5.39	1.96	0.92	5.63	2.05	2.30	1.31	10.48	5.21	10.68
G232_03664	9.53	0.96	5.80	1.85	3.47	1.66	0.64	1.10	4.74	3.53	11.71	1.81	4.09	3.17	3.20	0.69	2.18	4.79	1.40	0.70	7.38	2.86	1.19	0.66	12.77	4.95	9.85
G232_03665	5.99	0.05	5.52	2.55	3.57	1.12	0.72	0.20	5.04	2.27	10.40	1.26	4.21	3.65	3.77	0.75	0.29	5.36	1.11	1.16	4.63	1.45	0.15	0.63	11.12	4.11	9.85
G232_03666	6.93	3.28	6.26	1.68	3.01	2.33	1.41	1.25	4.08	6.16	9.87	1.23	4.29	2.98	3.32	1.06	6.44	5.61	2.00	0.89	7.24	2.00	5.15	0.95	10.99	4.74	8.12
G232_03667	9.95	0.21	6.51	2.01	4.74	1.29	1.04	1.15	3.20	1.36	11.39	1.59	3.41	2.54	4.93	0.51	0.40	4.74	1.08	0.63	5.91	2.45	0.51	1.15	12.43	3.93	8.69
G232_03668	11.08	0.12	6.05	1.53	4.80	1.30	1.06	1.09	2.46	1.48	11.23	1.54	4.14	2.23	3.83	1.06	0.00	4.24	1.44	1.61	6.78	3.76	0.00	1.39	10.76	5.59	9.51
G232_03669	8.70	0.08	6.18	1.38	3.28	1.82	1.21	1.29	2.94	2.41	12.62	1.96	4.46	1.99	3.64	0.60	0.39	5.68	0.94	0.85	7.61	2.39	0.11	0.59	10.33	5.48	9.16
G232_03670	9.08	0.87	8.11	3.33	5.55	2.44	1.78	1.60	5.00	2.22	5.35	2.45	5.72	2.40	1.62	1.11	1.23	6.17	1.71	1.01	7.81	3.19	1.19	1.30	14.04	6.69	11.80
G232_03671	7.45	0.10	6.55	2.03	4.51	1.55	0.42	1.04	4.31	2.14	10.60	1.22	4.70	2.23	3.35	0.90	0.16	4.84	1.07	0.80	5.35	2.36	0.17	0.36	10.23	4.77	9.63
G232_03672	9.30	2.07	6.34	1.87	3.75	1.86	1.58	1.43	3.20	5.80	10.57	1.62	3.26	3.07	4.86	1.13	5.90	5.43	1.09	1.02	5.89	3.34	4.34	0.95	10.85	4.26	8.45
G232_03673	6.54	1.56	5.33	0.69	3.63	1.38	0.71	1.35	2.54	4.14	8.48	0.69	2.26	2.49	4.86	0.12	3.27	4.46	0.93	0.31	6.77	2.17	1.95	1.09	7.64	3.19	7.55
G232_03674	7.88	0.00	8.09	1.47	3.53	1.42	2.21	1.80	4.47	1.80	9.84	1.17	3.97	2.35	3.88	0.85	0.24	5.50	1.20	0.51	6.98	3.49	0.00	0.57	10.14	4.13	9.22
G232_03675	7.06	3.54	7.95	1.19	4.82	1.13	2.26	0.91	3.63	5.13	11.74	1.60	1.82	2.92	5.23	1.25	6.77	5.03	0.78	1.08	5.86	2.46	6.20	0.97	8.55	3.64	8.93
G232_03676	6.47	0.58	6.77	1.69	3.39	1.86	1.89	1.00	3.29	1.82	10.86	1.51	4.11	3.64	4.85	0.31	0.82	3.31	1.36	1.04	5.34	2.95	0.51	1.30	9.91	5.34	9.31
G232_03677	8.28	1.47	6.44	2.82	4.18	1.66	1.29	0.68	3.35	5.21	10.55	1.80	4.53	2.00	4.03	0.90	3.22	4.14	1.70	0.95	5.47	2.83	3.10	0.37	10.69	4.55	7.96
G232_03678	8.30	0.12	7.44	1.07	3.61	2.83	1.73	1.18	3.33	1.14	9.56	1.76	3.74	2.63	2.91	0.35	0.21	3.28	0.35	0.74	5.01	3.24	0.21	0.76	11.42	5.09	8.33
G232_03679	5.63	0.87	3.72	2.53	3.72	1.78	0.72	1.23	4.38	1.80	12.94	2.18	3.95	3.16	4.70	0.62	1.12	5.55	1.09	0.89	4.71	1.67	0.54	0.82	10.72	5.26	11.05
G232_03680	5.45	0.48	4.03	1.69	2.38	1.24	0.66	0.81	2.48	1.20	5.83	1.02	2.17	1.62	2.41	0.39	1.05	2.96	0.96	0.46	3.03	1.06	0.54	0.55	6.08	2.58	6.09
