GENE	COVERAGE	STRAIN	GROUP
G232_06276	0.7364	Rstd	R
G232_06276	1.5734	SM102	S
G232_06276	1.0538	SM104	S
G232_06276	0.7510	SM105	S
G232_06276	0.6826	SM108	S
G232_06276	0.8957	SM109	S
G232_06276	0.7831	SM11	S
G232_06276	1.2185	SM122	S
G232_06276	0.7534	SM13	S
G232_06276	1.4005	SM14	S
G232_06276	1.4580	SM18	S
G232_06276	0.8289	SM24	S
G232_06276	0.7028	SM27	S
G232_06276	0.7429	SM28	S
G232_06276	0.8187	SM29	S
G232_06276	0.6286	SM35	S
G232_06276	1.7704	SM36	S
G232_06276	0.6989	SM42	S
G232_06276	1.0606	SM48	S
G232_06276	0.9076	SM57	S
G232_06276	0.9277	SM66	S
G232_06276	0.9318	SM67	S
G232_06276	1.6404	SM72	S
G232_06276	0.8058	SM74	S
G232_06276	0.9207	SM84	S
G232_06276	0.7152	SM9	S
G232_06276	0.8636	SM91	S
