GENE	COVERAGE	STRAIN	GROUP
G232_05106	0.5808	Rstd	R
G232_05106	0.0909	SM102	S
G232_05106	0.8280	SM104	S
G232_05106	0.3541	SM105	S
G232_05106	0.6577	SM108	S
G232_05106	0.6391	SM109	S
G232_05106	0.2711	SM11	S
G232_05106	0.9934	SM122	S
G232_05106	0.6796	SM13	S
G232_05106	0.1935	SM14	S
G232_05106	0.1133	SM18	S
G232_05106	0.7632	SM24	S
G232_05106	0.7728	SM27	S
G232_05106	1.1821	SM28	S
G232_05106	1.2193	SM29	S
G232_05106	0.0857	SM35	S
G232_05106	0.0000	SM36	S
G232_05106	0.5158	SM42	S
G232_05106	0.9818	SM48	S
G232_05106	1.0756	SM57	S
G232_05106	0.4671	SM66	S
G232_05106	0.5357	SM67	S
G232_05106	0.0000	SM72	S
G232_05106	0.1079	SM74	S
G232_05106	0.7536	SM84	S
G232_05106	0.5520	SM9	S
G232_05106	0.5757	SM91	S
