GENE	COVERAGE	STRAIN	GROUP
G232_01491	0.8256	Rstd	R
G232_01491	0.4545	SM102	S
G232_01491	0.9019	SM104	S
G232_01491	0.5486	SM105	S
G232_01491	0.5311	SM108	S
G232_01491	0.8261	SM109	S
G232_01491	0.3434	SM11	S
G232_01491	1.1987	SM122	S
G232_01491	0.7825	SM13	S
G232_01491	0.6828	SM14	S
G232_01491	0.8916	SM18	S
G232_01491	0.5351	SM24	S
G232_01491	0.5499	SM27	S
G232_01491	0.8429	SM28	S
G232_01491	0.7339	SM29	S
G232_01491	0.8286	SM35	S
G232_01491	0.4280	SM36	S
G232_01491	0.6690	SM42	S
G232_01491	0.8909	SM48	S
G232_01491	0.7479	SM57	S
G232_01491	0.9019	SM66	S
G232_01491	0.7208	SM67	S
G232_01491	0.5172	SM72	S
G232_01491	0.5899	SM74	S
G232_01491	0.7963	SM84	S
G232_01491	0.6656	SM9	S
G232_01491	0.6882	SM91	S
G232_01492	0.7681	Rstd	R
G232_01492	0.1608	SM102	S
G232_01492	0.7177	SM104	S
G232_01492	0.7121	SM105	S
G232_01492	0.9606	SM108	S
G232_01492	0.9739	SM109	S
G232_01492	0.8313	SM11	S
G232_01492	0.8411	SM122	S
G232_01492	0.7942	SM13	S
G232_01492	0.3199	SM14	S
G232_01492	1.1766	SM18	S
G232_01492	0.8202	SM24	S
G232_01492	1.0616	SM27	S
G232_01492	1.1357	SM28	S
G232_01492	1.1345	SM29	S
G232_01492	0.5048	SM35	S
G232_01492	0.0000	SM36	S
G232_01492	1.1479	SM42	S
G232_01492	0.9576	SM48	S
G232_01492	0.6134	SM57	S
G232_01492	0.9200	SM66	S
G232_01492	0.7695	SM67	S
G232_01492	0.0246	SM72	S
G232_01492	0.4892	SM74	S
G232_01492	0.8589	SM84	S
G232_01492	0.9520	SM9	S
G232_01492	0.8344	SM91	S
G232_01493	1.0436	Rstd	R
G232_01493	1.2168	SM102	S
G232_01493	0.9556	SM104	S
G232_01493	0.9728	SM105	S
G232_01493	0.8734	SM108	S
G232_01493	0.5739	SM109	S
G232_01493	0.7590	SM11	S
G232_01493	0.7020	SM122	S
G232_01493	1.1456	SM13	S
G232_01493	1.4973	SM14	S
G232_01493	1.5554	SM18	S
G232_01493	0.8991	SM24	S
G232_01493	0.7941	SM27	S
G232_01493	0.8964	SM28	S
G232_01493	1.3684	SM29	S
G232_01493	1.1905	SM35	S
G232_01493	1.7004	SM36	S
G232_01493	1.1004	SM42	S
G232_01493	1.0000	SM48	S
G232_01493	0.5042	SM57	S
G232_01493	1.0581	SM66	S
G232_01493	0.9221	SM67	S
G232_01493	1.4729	SM72	S
G232_01493	0.6835	SM74	S
G232_01493	1.0061	SM84	S
G232_01493	1.0432	SM9	S
G232_01493	0.8556	SM91	S
G232_01494	1.1100	Rstd	R
G232_01494	2.7972	SM102	S
G232_01494	0.9906	SM104	S
G232_01494	0.6070	SM105	S
G232_01494	0.6494	SM108	S
G232_01494	1.1870	SM109	S
G232_01494	1.2952	SM11	S
G232_01494	1.1325	SM122	S
G232_01494	0.8602	SM13	S
G232_01494	2.1371	SM14	S
G232_01494	1.1998	SM18	S
G232_01494	1.0570	SM24	S
G232_01494	0.8726	SM27	S
G232_01494	0.7179	SM28	S
G232_01494	1.1257	SM29	S
G232_01494	1.1524	SM35	S
G232_01494	3.6887	SM36	S
G232_01494	1.2359	SM42	S
G232_01494	1.1333	SM48	S
G232_01494	0.6723	SM57	S
G232_01494	0.9510	SM66	S
G232_01494	0.6429	SM67	S
G232_01494	3.8079	SM72	S
G232_01494	0.8633	SM74	S
G232_01494	0.9565	SM84	S
G232_01494	0.8816	SM9	S
G232_01494	0.8539	SM91	S
G232_01495	0.5273	Rstd	R
G232_01495	0.8322	SM102	S
G232_01495	0.7487	SM104	S
G232_01495	0.7160	SM105	S
G232_01495	0.5685	SM108	S
G232_01495	0.6261	SM109	S
G232_01495	0.6084	SM11	S
G232_01495	0.8079	SM122	S
G232_01495	1.0039	SM13	S
G232_01495	0.6720	SM14	S
G232_01495	1.2168	SM18	S
G232_01495	1.1184	SM24	S
G232_01495	0.8238	SM27	S
G232_01495	0.9857	SM28	S
G232_01495	1.1667	SM29	S
G232_01495	1.6476	SM35	S
G232_01495	0.4630	SM36	S
G232_01495	0.9137	SM42	S
G232_01495	0.7758	SM48	S
G232_01495	0.7143	SM57	S
G232_01495	0.7948	SM66	S
G232_01495	1.0779	SM67	S
G232_01495	0.9261	SM72	S
G232_01495	0.4748	SM74	S
G232_01495	0.8063	SM84	S
G232_01495	0.8480	SM9	S
G232_01495	0.8778	SM91	S
G232_01496	0.6848	Rstd	R
G232_01496	0.4685	SM102	S
G232_01496	0.8629	SM104	S
G232_01496	1.0039	SM105	S
G232_01496	0.7531	SM108	S
G232_01496	0.8870	SM109	S
G232_01496	0.5301	SM11	S
G232_01496	0.7682	SM122	S
G232_01496	0.8738	SM13	S
G232_01496	0.4812	SM14	S
G232_01496	1.1608	SM18	S
G232_01496	0.8246	SM24	S
G232_01496	0.6858	SM27	S
G232_01496	1.0393	SM28	S
G232_01496	0.8012	SM29	S
G232_01496	0.9905	SM35	S
G232_01496	0.7704	SM36	S
G232_01496	0.9085	SM42	S
G232_01496	0.7879	SM48	S
G232_01496	0.8824	SM57	S
G232_01496	0.9987	SM66	S
G232_01496	0.8117	SM67	S
G232_01496	0.7882	SM72	S
G232_01496	0.6547	SM74	S
G232_01496	0.8604	SM84	S
G232_01496	0.8032	SM9	S
G232_01496	0.9371	SM91	S
G232_01497	0.6264	Rstd	R
G232_01497	0.1329	SM102	S
G232_01497	0.9839	SM104	S
G232_01497	0.5564	SM105	S
G232_01497	0.8506	SM108	S
G232_01497	0.8087	SM109	S
G232_01497	0.4458	SM11	S
G232_01497	1.0795	SM122	S
G232_01497	0.8524	SM13	S
G232_01497	0.5833	SM14	S
G232_01497	0.9513	SM18	S
G232_01497	0.4430	SM24	S
G232_01497	0.7282	SM27	S
G232_01497	0.8464	SM28	S
G232_01497	0.8684	SM29	S
G232_01497	0.7524	SM35	S
G232_01497	0.0000	SM36	S
G232_01497	0.9859	SM42	S
G232_01497	0.8909	SM48	S
G232_01497	0.3109	SM57	S
G232_01497	1.0103	SM66	S
G232_01497	0.7143	SM67	S
G232_01497	0.1527	SM72	S
G232_01497	0.3165	SM74	S
G232_01497	0.7079	SM84	S
G232_01497	0.4944	SM9	S
G232_01497	0.9079	SM91	S
G232_01498	0.8355	Rstd	R
G232_01498	5.7133	SM102	S
G232_01498	0.8226	SM104	S
G232_01498	0.5370	SM105	S
G232_01498	0.7261	SM108	S
G232_01498	1.1000	SM109	S
G232_01498	1.2651	SM11	S
G232_01498	0.3709	SM122	S
G232_01498	0.7767	SM13	S
G232_01498	4.6694	SM14	S
G232_01498	1.8039	SM18	S
G232_01498	0.2982	SM24	S
G232_01498	0.7558	SM27	S
G232_01498	0.5000	SM28	S
