GENE	COVERAGE	STRAIN	GROUP
G232_05500	0.6581	Rstd	R
G232_05500	3.3916	SM102	S
G232_05500	0.5242	SM104	S
G232_05500	0.5837	SM105	S
G232_05500	0.8776	SM108	S
G232_05500	0.7565	SM109	S
G232_05500	0.6928	SM11	S
G232_05500	0.3311	SM122	S
G232_05500	0.6233	SM13	S
G232_05500	2.3414	SM14	S
G232_05500	0.8039	SM18	S
G232_05500	0.3947	SM24	S
G232_05500	0.6030	SM27	S
G232_05500	0.4429	SM28	S
G232_05500	0.6959	SM29	S
G232_05500	0.3429	SM35	S
G232_05500	3.7743	SM36	S
G232_05500	0.8169	SM42	S
G232_05500	0.6424	SM48	S
G232_05500	0.7563	SM57	S
G232_05500	0.5381	SM66	S
G232_05500	0.4026	SM67	S
G232_05500	3.2709	SM72	S
G232_05500	0.9137	SM74	S
G232_05500	0.7559	SM84	S
G232_05500	0.6560	SM9	S
G232_05500	0.5952	SM91	S
G232_05501	0.8028	Rstd	R
G232_05501	7.6503	SM102	S
G232_05501	0.7043	SM104	S
G232_05501	0.5253	SM105	S
G232_05501	0.6100	SM108	S
G232_05501	1.4478	SM109	S
G232_05501	1.0301	SM11	S
G232_05501	0.4503	SM122	S
G232_05501	0.6447	SM13	S
G232_05501	5.2124	SM14	S
G232_05501	1.5030	SM18	S
G232_05501	0.8114	SM24	S
G232_05501	0.8259	SM27	S
G232_05501	1.0429	SM28	S
G232_05501	1.6170	SM29	S
G232_05501	0.8095	SM35	S
G232_05501	10.1401	SM36	S
G232_05501	0.9595	SM42	S
G232_05501	0.6848	SM48	S
G232_05501	0.8487	SM57	S
G232_05501	0.5484	SM66	S
G232_05501	0.6981	SM67	S
G232_05501	7.7537	SM72	S
G232_05501	0.4388	SM74	S
G232_05501	0.8932	SM84	S
G232_05501	0.9376	SM9	S
G232_05501	0.8096	SM91	S
