GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_01645	7.02	6.16	4.84	1.82	2.46	4.06	2.25	0.99	5.55	10.37	10.75	2.58	2.65	2.21	4.99	1.76	13.57	5.55	1.74	1.22	5.97	1.56	9.81	1.40	9.53	5.01	9.91
G232_01646	9.04	0.30	7.50	1.97	4.00	1.05	0.78	1.46	3.97	1.82	10.39	1.67	3.34	1.90	3.72	1.05	0.21	4.09	1.33	1.11	5.43	2.50	0.35	0.87	11.60	3.44	8.87
G232_01647	8.66	0.58	6.19	1.92	3.75	0.91	1.31	1.23	4.01	1.81	8.49	2.22	3.79	2.07	3.63	0.64	0.50	4.48	1.81	1.46	5.71	2.31	0.50	0.77	12.74	5.32	9.39
G232_01648	8.77	0.00	7.33	2.73	2.82	0.65	0.41	0.94	2.78	0.00	8.12	2.12	3.71	1.59	5.72	0.70	0.30	4.98	1.16	0.64	5.60	3.50	0.00	0.23	11.32	6.04	9.01
G232_01649	9.50	0.44	7.40	2.96	5.09	1.74	1.34	1.12	3.18	1.24	10.08	1.88	4.43	2.56	3.65	1.51	0.26	4.71	0.95	0.60	7.39	3.04	1.11	1.51	11.45	4.51	10.11
G232_01650	9.40	0.10	6.88	0.91	3.38	2.93	0.94	1.73	4.07	3.22	10.02	1.01	3.04	2.78	3.40	0.99	0.00	3.83	0.94	1.02	8.32	2.01	0.16	1.54	11.07	4.26	9.79
G232_01651	9.90	1.60	6.53	1.87	5.57	1.74	1.15	1.13	4.08	3.99	11.73	1.84	3.70	2.99	4.21	0.81	2.10	5.88	1.77	0.76	6.88	2.25	1.51	1.65	9.94	5.35	7.73
G232_01652	6.61	0.13	4.48	2.31	2.41	1.52	1.01	1.34	3.92	0.95	13.02	2.08	4.19	2.85	3.23	0.87	0.08	5.50	1.11	1.17	7.03	2.73	0.10	0.94	9.61	5.20	8.17
G232_01653	6.58	0.72	6.57	1.62	2.84	2.28	1.22	0.68	4.06	2.04	13.69	2.11	4.68	2.49	5.33	0.75	0.93	4.87	1.09	0.72	8.65	3.36	0.81	1.44	11.75	7.07	10.76
G232_01654	6.65	3.35	5.02	1.60	3.48	1.54	1.60	0.91	4.43	6.61	9.53	1.56	3.75	2.71	4.27	1.15	5.76	4.66	1.73	1.19	5.19	2.51	4.46	0.76	12.21	5.49	8.85
G232_01655	9.15	0.24	6.80	1.57	4.89	1.99	0.81	1.86	3.54	2.61	10.50	1.53	3.18	3.06	3.55	1.31	0.14	4.46	1.29	0.80	7.60	2.11	0.30	1.10	11.09	4.91	10.40
G232_01656	8.97	7.95	8.24	0.98	4.13	3.70	2.93	0.91	4.59	15.53	10.28	1.15	3.91	2.39	2.71	1.83	13.55	5.46	1.82	1.08	5.24	2.31	11.41	0.27	8.66	3.64	9.91
G232_01657	8.93	0.16	6.98	1.65	3.84	1.89	1.46	1.66	3.68	1.50	10.21	1.12	2.63	2.77	4.25	1.12	0.16	5.02	1.15	1.38	7.70	2.58	0.42	0.70	10.71	3.84	9.43
G232_01658	9.79	0.17	5.18	2.09	4.25	1.38	1.01	1.42	3.63	1.07	12.41	2.20	3.61	3.09	3.60	0.52	0.02	5.23	0.67	0.56	5.36	2.97	0.02	0.63	12.13	5.10	9.42
G232_01659	7.59	0.10	5.85	1.80	3.54	1.02	0.77	1.69	3.78	1.58	9.37	1.15	3.01	2.29	3.15	1.03	0.12	3.44	0.60	0.94	5.37	1.31	0.24	1.06	11.05	3.87	8.45
G232_01660	6.15	0.12	6.08	2.01	3.86	1.74	0.79	1.19	5.19	0.82	11.14	1.55	2.94	2.51	4.99	0.80	0.00	4.25	0.98	1.59	6.96	2.33	0.04	0.59	12.68	4.15	11.02
G232_01661	9.14	0.36	4.02	2.12	3.23	1.09	1.19	1.39	4.20	2.24	12.92	2.03	3.94	2.98	3.40	0.95	0.34	4.01	0.75	0.68	6.27	2.06	0.46	0.51	9.28	4.66	7.41
G232_01662	9.14	7.48	5.04	2.37	4.91	2.73	1.97	0.93	4.08	11.22	11.37	1.54	3.25	2.04	3.88	0.64	16.74	5.96	1.44	0.69	3.67	2.54	9.10	0.48	10.31	4.62	8.95
G232_01663	8.53	1.55	6.20	1.82	3.85	1.27	1.62	0.88	3.76	3.09	12.53	1.81	4.10	3.39	3.62	0.28	1.65	4.45	1.28	0.21	3.45	1.72	1.94	0.72	11.15	4.26	8.32
G232_01664	7.92	1.69	5.16	1.11	3.02	0.89	1.41	1.07	3.50	3.77	7.94	1.67	2.96	2.29	4.53	1.06	1.67	3.88	1.56	0.55	5.66	2.26	2.75	0.97	8.92	4.77	7.59
G232_01665	6.88	0.49	5.37	1.73	3.96	1.78	1.27	1.08	3.82	1.78	8.06	1.24	3.34	1.60	3.06	0.59	1.64	4.06	0.86	0.86	6.17	1.65	0.95	0.89	6.65	2.62	9.25
G232_01666	7.67	0.59	5.75	1.83	3.78	2.06	0.96	0.92	4.20	1.75	10.02	1.93	2.88	2.47	3.67	0.47	0.44	3.51	1.28	1.04	4.51	2.24	0.58	0.71	11.12	3.24	9.81
G232_01667	7.54	0.18	8.00	1.75	5.03	2.50	0.97	1.34	4.12	1.32	8.32	1.19	3.52	2.40	2.02	0.76	0.03	4.75	1.95	1.29	6.62	2.36	0.13	1.74	10.57	3.75	8.50
G232_01668	7.01	2.97	6.78	1.72	4.34	2.27	1.34	1.42	3.31	6.52	9.65	1.45	3.52	2.39	3.99	0.48	7.38	5.25	1.14	1.07	5.75	2.03	4.86	1.03	10.67	5.04	8.97
G232_01669	8.91	4.76	8.69	2.66	2.68	3.99	2.14	1.17	4.64	8.01	8.12	2.16	3.01	1.24	0.92	0.88	9.41	6.91	1.34	0.77	6.01	2.15	6.46	0.79	13.14	4.68	11.30
G232_01670	9.32	0.66	5.79	2.05	3.70	1.20	1.14	1.67	3.74	3.14	12.12	1.59	3.63	2.33	3.72	0.68	1.45	4.11	0.91	0.76	4.93	2.47	1.12	0.76	11.71	4.05	9.39
G232_01671	9.99	0.44	5.58	1.44	3.23	1.20	1.48	1.83	4.16	1.66	11.76	1.74	3.04	2.13	4.45	1.18	0.21	4.64	0.70	0.93	6.42	2.72	0.24	1.50	13.00	5.58	11.00
G232_01672	7.80	0.37	5.54	2.21	2.70	1.75	1.64	0.99	4.72	2.49	11.38	1.92	2.72	2.54	4.04	0.85	1.14	3.86	1.45	0.94	4.44	2.84	0.67	0.71	11.36	3.95	9.87
G232_01673	8.71	1.61	3.76	2.17	3.95	1.07	1.41	2.29	4.61	5.11	11.75	2.06	3.35	2.82	3.98	0.97	2.67	6.69	1.76	0.88	5.54	2.91	2.17	0.91	9.96	4.28	9.46
G232_01674	9.04	0.77	6.84	2.29	3.58	1.30	1.39	1.03	5.50	3.46	12.20	1.73	3.38	2.13	4.68	0.63	2.67	4.47	0.89	0.89	5.43	2.49	2.08	0.67	11.19	3.07	9.67
G232_01675	9.05	1.08	6.36	2.40	4.36	2.70	1.69	1.11	6.19	5.61	13.92	1.25	4.42	3.52	5.77	1.30	3.69	7.94	2.02	1.75	6.42	1.89	2.11	1.11	12.43	5.99	11.46
G232_01676	9.55	0.54	6.11	2.24	3.93	2.00	0.87	1.27	4.09	1.77	9.62	1.74	3.78	2.83	4.20	0.62	0.86	4.77	1.36	1.13	5.19	2.59	0.73	0.82	11.94	4.49	9.46
G232_01677	9.93	0.28	5.51	2.35	4.23	1.27	0.88	1.06	4.42	2.61	10.64	1.60	3.41	2.91	4.32	0.61	0.20	4.66	0.98	1.04	6.94	2.56	0.16	1.65	12.07	5.80	9.86
G232_01678	6.69	0.16	6.08	1.69	3.32	0.76	1.33	1.22	4.08	1.17	10.61	1.54	2.99	1.86	4.51	0.54	0.32	4.16	1.44	0.74	4.56	2.94	0.17	0.57	11.53	6.57	8.36
G232_01679	4.86	0.73	6.32	1.33	3.89	1.87	0.93	2.20	1.99	2.28	8.16	2.17	2.74	1.41	1.54	0.89	1.35	3.35	1.37	0.71	5.77	4.04	1.61	0.97	8.50	4.82	6.59
G232_01680	9.29	0.00	7.86	1.54	5.33	2.15	1.11	1.51	5.29	2.71	0.00	1.04	1.52	1.97	0.00	0.29	0.41	3.16	0.51	1.16	5.86	0.79	0.00	0.69	9.34	4.49	9.99
G232_01681	8.25	0.86	6.42	1.48	3.48	1.43	0.82	1.18	3.64	1.93	11.48	1.71	3.02	2.38	3.29	0.49	1.24	4.00	0.95	0.72	6.02	2.49	0.98	1.37	11.00	4.58	8.03
G232_01682	10.11	0.09	6.40	2.42	3.97	1.53	1.14	1.06	4.13	1.99	11.48	2.44	4.37	2.82	2.86	0.64	0.00	5.65	1.35	0.53	7.17	1.82	0.05	1.16	11.17	6.82	9.86
G232_01683	7.46	0.52	5.97	1.85	3.48	1.32	1.46	1.54	3.22	3.04	8.74	1.44	3.15	2.60	3.32	0.43	0.96	2.55	2.17	1.00	4.63	2.98	1.28	0.87	11.04	4.51	9.31
G232_01684	8.88	0.07	4.34	2.01	4.43	1.44	0.78	1.11	4.29	1.54	11.75	2.41	2.61	2.54	3.20	1.29	0.00	4.48	1.59	0.65	5.74	1.66	0.03	0.74	11.44	5.51	11.64
