GENE	COVERAGE	STRAIN	GROUP
G232_01505	0.8385	Rstd	R
G232_01505	1.8322	SM102	S
G232_01505	1.0981	SM104	S
G232_01505	1.2140	SM105	S
G232_01505	0.9378	SM108	S
G232_01505	1.4000	SM109	S
G232_01505	0.9337	SM11	S
G232_01505	0.6755	SM122	S
G232_01505	0.6913	SM13	S
G232_01505	1.4194	SM14	S
G232_01505	1.2533	SM18	S
G232_01505	1.1316	SM24	S
G232_01505	0.9299	SM27	S
G232_01505	0.7500	SM28	S
G232_01505	0.3421	SM29	S
G232_01505	1.4476	SM35	S
G232_01505	2.5447	SM36	S
G232_01505	0.7148	SM42	S
G232_01505	1.1091	SM48	S
G232_01505	0.8235	SM57	S
G232_01505	0.8026	SM66	S
G232_01505	1.0974	SM67	S
G232_01505	2.2857	SM72	S
G232_01505	0.6619	SM74	S
G232_01505	1.0595	SM84	S
G232_01505	0.9568	SM9	S
G232_01505	0.9894	SM91	S
G232_01506	1.0129	Rstd	R
G232_01506	5.1958	SM102	S
G232_01506	1.2056	SM104	S
G232_01506	1.4553	SM105	S
G232_01506	1.0207	SM108	S
G232_01506	1.8826	SM109	S
G232_01506	1.3795	SM11	S
G232_01506	1.1722	SM122	S
G232_01506	1.1437	SM13	S
G232_01506	3.1640	SM14	S
G232_01506	0.8989	SM18	S
G232_01506	1.0877	SM24	S
G232_01506	1.4161	SM27	S
G232_01506	1.0821	SM28	S
G232_01506	0.1871	SM29	S
G232_01506	1.2667	SM35	S
G232_01506	7.1556	SM36	S
G232_01506	1.8803	SM42	S
G232_01506	1.5697	SM48	S
G232_01506	0.7899	SM57	S
G232_01506	1.1303	SM66	S
G232_01506	1.1071	SM67	S
G232_01506	6.5616	SM72	S
G232_01506	1.3525	SM74	S
G232_01506	1.3509	SM84	S
G232_01506	1.6000	SM9	S
G232_01506	1.1081	SM91	S
G232_01507	0.8147	Rstd	R
G232_01507	1.6783	SM102	S
G232_01507	1.0390	SM104	S
G232_01507	0.7977	SM105	S
G232_01507	0.9959	SM108	S
G232_01507	1.1304	SM109	S
G232_01507	1.0060	SM11	S
G232_01507	1.0000	SM122	S
G232_01507	1.3476	SM13	S
G232_01507	1.2688	SM14	S
G232_01507	0.7284	SM18	S
G232_01507	1.0921	SM24	S
G232_01507	1.1125	SM27	S
G232_01507	1.1286	SM28	S
G232_01507	0.5292	SM29	S
G232_01507	0.7905	SM35	S
G232_01507	1.3813	SM36	S
G232_01507	1.2077	SM42	S
G232_01507	1.0909	SM48	S
G232_01507	1.0420	SM57	S
G232_01507	1.1265	SM66	S
G232_01507	1.1234	SM67	S
G232_01507	1.7340	SM72	S
G232_01507	0.8129	SM74	S
G232_01507	1.2090	SM84	S
G232_01507	1.1232	SM9	S
G232_01507	1.0416	SM91	S
G232_01508	0.6224	Rstd	R
G232_01508	2.4895	SM102	S
G232_01508	0.8481	SM104	S
G232_01508	0.9027	SM105	S
G232_01508	0.5913	SM108	S
G232_01508	0.9522	SM109	S
G232_01508	0.7229	SM11	S
G232_01508	0.8344	SM122	S
G232_01508	0.8932	SM13	S
G232_01508	1.9382	SM14	S
G232_01508	1.1340	SM18	S
G232_01508	0.7895	SM24	S
G232_01508	0.6412	SM27	S
G232_01508	0.9429	SM28	S
G232_01508	1.3538	SM29	S
G232_01508	0.5333	SM35	S
G232_01508	2.8249	SM36	S
G232_01508	0.9032	SM42	S
G232_01508	0.6970	SM48	S
G232_01508	0.4622	SM57	S
G232_01508	0.7032	SM66	S
G232_01508	1.0422	SM67	S
G232_01508	2.1429	SM72	S
G232_01508	0.7122	SM74	S
G232_01508	0.7635	SM84	S
G232_01508	0.8016	SM9	S
G232_01508	0.6634	SM91	S
G232_01509	0.7810	Rstd	R
G232_01509	0.5455	SM102	S
G232_01509	0.9462	SM104	S
G232_01509	0.7588	SM105	S
G232_01509	0.7884	SM108	S
G232_01509	1.0391	SM109	S
G232_01509	0.7651	SM11	S
G232_01509	1.0927	SM122	S
G232_01509	0.7437	SM13	S
G232_01509	0.7177	SM14	S
G232_01509	1.4141	SM18	S
G232_01509	0.8202	SM24	S
G232_01509	0.8429	SM27	S
G232_01509	0.8321	SM28	S
G232_01509	1.1667	SM29	S
G232_01509	1.3238	SM35	S
G232_01509	0.2023	SM36	S
G232_01509	0.6532	SM42	S
G232_01509	1.1152	SM48	S
G232_01509	0.8908	SM57	S
G232_01509	0.8606	SM66	S
G232_01509	1.4903	SM67	S
G232_01509	0.0739	SM72	S
G232_01509	1.0647	SM74	S
G232_01509	0.9268	SM84	S
G232_01509	0.7808	SM9	S
G232_01509	0.8565	SM91	S
G232_01510	0.9643	Rstd	R
G232_01510	0.0210	SM102	S
G232_01510	0.7809	SM104	S
G232_01510	0.8327	SM105	S
G232_01510	0.8734	SM108	S
G232_01510	0.4783	SM109	S
G232_01510	0.7229	SM11	S
G232_01510	1.2384	SM122	S
G232_01510	0.8757	SM13	S
G232_01510	0.7366	SM14	S
G232_01510	1.5286	SM18	S
G232_01510	0.6447	SM24	S
G232_01510	0.7919	SM27	S
G232_01510	0.5250	SM28	S
G232_01510	1.4474	SM29	S
G232_01510	0.4286	SM35	S
G232_01510	0.0000	SM36	S
G232_01510	0.8451	SM42	S
G232_01510	0.8727	SM48	S
G232_01510	1.0168	SM57	S
G232_01510	0.8852	SM66	S
G232_01510	1.0195	SM67	S
G232_01510	0.0345	SM72	S
G232_01510	0.9712	SM74	S
G232_01510	0.8063	SM84	S
G232_01510	1.0000	SM9	S
G232_01510	0.9725	SM91	S
G232_01511	1.0813	Rstd	R
G232_01511	1.1189	SM102	S
G232_01511	1.0995	SM104	S
G232_01511	0.6148	SM105	S
G232_01511	1.2365	SM108	S
G232_01511	0.4957	SM109	S
G232_01511	1.0181	SM11	S
G232_01511	1.2781	SM122	S
G232_01511	0.7767	SM13	S
G232_01511	1.1075	SM14	S
G232_01511	1.1279	SM18	S
G232_01511	0.9167	SM24	S
G232_01511	1.1465	SM27	S
G232_01511	1.0429	SM28	S
G232_01511	1.6608	SM29	S
G232_01511	0.8095	SM35	S
G232_01511	1.4319	SM36	S
G232_01511	0.7746	SM42	S
G232_01511	0.9879	SM48	S
G232_01511	0.4118	SM57	S
G232_01511	1.1884	SM66	S
G232_01511	0.9123	SM67	S
G232_01511	1.0000	SM72	S
G232_01511	0.9784	SM74	S
G232_01511	0.8139	SM84	S
G232_01511	1.0592	SM9	S
G232_01511	0.9477	SM91	S
G232_01512	0.7750	Rstd	R
G232_01512	0.2587	SM102	S
G232_01512	0.7285	SM104	S
G232_01512	0.7782	SM105	S
G232_01512	0.6971	SM108	S
G232_01512	0.8435	SM109	S
G232_01512	0.8976	SM11	S
G232_01512	0.6556	SM122	S
G232_01512	0.9087	SM13	S
G232_01512	0.3038	SM14	S
G232_01512	1.1303	SM18	S
G232_01512	0.7105	SM24	S
G232_01512	1.1741	SM27	S
G232_01512	1.1286	SM28	S
G232_01512	1.5409	SM29	S
G232_01512	1.1810	SM35	S
G232_01512	0.1518	SM36	S
G232_01512	1.0739	SM42	S
G232_01512	0.7818	SM48	S
G232_01512	0.6555	SM57	S
G232_01512	0.6297	SM66	S
G232_01512	0.6071	SM67	S
G232_01512	0.2611	SM72	S
G232_01512	0.5468	SM74	S
G232_01512	0.5889	SM84	S
G232_01512	0.8896	SM9	S
G232_01512	1.0416	SM91	S
G232_01513	1.0575	Rstd	R
G232_01513	1.2797	SM102	S
G232_01513	1.0067	SM104	S
G232_01513	0.7082	SM105	S
G232_01513	0.9938	SM108	S
G232_01513	0.8739	SM109	S
G232_01513	0.6506	SM11	S
G232_01513	0.6821	SM122	S
G232_01513	0.9029	SM13	S
G232_01513	1.5242	SM14	S
G232_01513	1.2046	SM18	S
G232_01513	0.7544	SM24	S
G232_01513	0.5924	SM27	S
G232_01513	0.7643	SM28	S
G232_01513	1.1140	SM29	S
G232_01513	0.6000	SM35	S
G232_01513	1.7626	SM36	S
G232_01513	0.8644	SM42	S
G232_01513	0.7333	SM48	S
G232_01513	1.1092	SM57	S
G232_01513	0.7987	SM66	S
G232_01513	1.2857	SM67	S
G232_01513	1.9704	SM72	S
G232_01513	0.6115	SM74	S
G232_01513	0.8040	SM84	S
G232_01513	0.7152	SM9	S
G232_01513	0.7981	SM91	S
G232_01514	1.0089	Rstd	R
G232_01514	1.1049	SM102	S
G232_01514	0.9099	SM104	S
G232_01514	0.8288	SM105	S
G232_01514	0.9398	SM108	S
G232_01514	0.8478	SM109	S
G232_01514	0.6145	SM11	S
G232_01514	0.8146	SM122	S
G232_01514	0.6544	SM13	S
G232_01514	1.0618	SM14	S
G232_01514	1.3362	SM18	S
G232_01514	0.5526	SM24	S
G232_01514	0.8365	SM27	S
G232_01514	1.0571	SM28	S
G232_01514	1.2018	SM29	S
G232_01514	0.6190	SM35	S
G232_01514	0.8444	SM36	S
G232_01514	0.5511	SM42	S
G232_01514	0.8485	SM48	S
G232_01514	1.0336	SM57	S
G232_01514	0.6052	SM66	S
G232_01514	0.8799	SM67	S
G232_01514	0.8128	SM72	S
G232_01514	0.3309	SM74	S
G232_01514	0.8619	SM84	S
G232_01514	0.7504	SM9	S
G232_01514	0.8875	SM91	S
G232_01515	0.8057	Rstd	R
G232_01515	2.0769	SM102	S
G232_01515	0.8347	SM104	S
G232_01515	0.7510	SM105	S
G232_01515	0.7261	SM108	S
G232_01515	1.2174	SM109	S
G232_01515	0.7229	SM11	S
G232_01515	1.2914	SM122	S
G232_01515	0.7126	SM13	S
G232_01515	1.6720	SM14	S
G232_01515	1.0219	SM18	S
G232_01515	0.6404	SM24	S
G232_01515	0.6285	SM27	S
G232_01515	0.8464	SM28	S
G232_01515	0.9240	SM29	S
G232_01515	0.7238	SM35	S
G232_01515	2.1206	SM36	S
G232_01515	0.8627	SM42	S
G232_01515	0.8000	SM48	S
G232_01515	0.3950	SM57	S
G232_01515	0.9213	SM66	S
G232_01515	0.8052	SM67	S
G232_01515	2.0000	SM72	S
G232_01515	0.9496	SM74	S
G232_01515	0.9108	SM84	S
G232_01515	0.6128	SM9	S
G232_01515	1.0461	SM91	S
G232_01516	1.1090	Rstd	R
G232_01516	3.1399	SM102	S
G232_01516	0.8911	SM104	S
G232_01516	0.8949	SM105	S
