GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_00915	9.60	0.23	8.63	1.69	4.20	1.98	1.34	2.87	4.26	0.99	7.20	2.20	3.35	1.97	0.26	1.16	0.00	4.20	1.99	0.42	6.70	2.70	0.11	0.61	12.68	4.78	11.40
G232_00916	9.12	0.11	6.70	1.68	4.27	1.05	1.11	1.86	3.38	1.63	1.37	1.23	3.78	1.46	0.69	1.03	0.00	5.68	1.50	0.93	5.41	2.47	0.12	0.51	10.51	3.56	10.03
G232_00917	8.80	0.58	5.90	2.76	2.85	1.42	1.21	1.54	4.24	2.45	13.33	1.48	2.97	3.00	4.15	0.77	1.11	4.07	0.57	0.93	5.57	2.40	1.30	1.15	13.17	4.45	9.30
G232_00918	8.31	0.94	6.39	2.17	4.23	1.37	0.92	1.40	4.37	3.27	10.79	1.42	3.83	2.78	3.97	0.69	2.08	5.43	1.49	0.97	5.25	2.50	1.30	0.70	10.79	4.73	9.86
G232_00919	7.25	0.09	6.91	1.96	3.49	0.83	0.80	1.18	4.14	1.72	11.21	1.76	3.91	2.20	4.25	0.74	0.28	4.15	1.40	0.85	5.76	3.39	0.24	0.57	10.99	5.05	9.06
G232_00920	10.00	0.00	12.25	2.05	3.29	0.59	2.24	1.35	5.22	1.89	6.43	2.66	3.18	4.24	2.91	0.93	0.00	5.20	1.69	1.85	7.34	2.96	0.00	0.66	9.82	4.96	8.74
G232_00921	7.13	4.93	5.46	2.19	3.79	2.01	1.43	1.48	3.99	10.96	10.07	1.46	3.58	2.21	3.72	0.72	9.50	5.47	2.14	0.54	5.60	2.02	6.08	0.90	11.32	3.69	9.83
G232_00922	10.50	2.42	7.60	1.71	3.67	2.33	1.25	1.17	4.14	7.87	10.22	1.57	3.13	3.13	3.19	0.55	6.26	4.12	1.18	0.92	7.15	3.64	3.94	2.03	11.51	6.82	9.06
G232_00923	8.66	0.20	4.88	2.41	3.62	1.43	0.92	1.07	2.54	3.35	9.29	1.85	3.44	1.93	4.10	1.00	0.73	5.12	2.07	1.38	6.91	4.31	0.95	1.46	10.84	5.12	10.19
G232_00924	8.78	3.04	6.93	1.44	3.98	1.15	1.82	1.49	3.56	3.25	12.21	2.63	4.04	2.20	3.64	1.11	5.27	5.44	0.99	0.86	5.69	2.84	5.72	0.92	11.83	4.79	7.23
G232_00925	10.03	0.86	5.24	2.25	2.51	2.04	1.47	1.07	4.43	2.78	12.38	1.59	4.13	2.88	2.88	0.81	1.88	3.75	2.72	0.68	6.31	2.51	1.55	1.40	12.75	3.85	10.41
