GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_02283	0.6224	0.1469	0.9798	0.6615	0.1888	0.7565	0.3976	1.3377	0.4738	0.5538	1.1328	0.8114	0.6900	0.9179	0.8450	0.5048	0.0506	0.6637	0.5576	0.1849	0.6542	0.3279	0.1921	0.6906	0.4005	0.4976	0.9362
G232_02284	0.8355	6.6923	0.6452	0.8132	0.5913	1.9957	1.7530	0.7550	0.8563	4.2661	1.6504	0.5833	0.5711	0.7321	1.1374	0.4762	8.0428	0.8011	0.7091	1.4034	0.7935	0.6786	8.2808	1.2302	0.8520	0.5200	0.4951
G232_02285	0.7661	7.6364	1.3091	0.3502	0.6992	2.2261	1.9699	0.5629	0.4214	4.9409	1.4872	0.5921	0.2187	0.6571	0.8333	1.1238	6.4553	0.8345	0.4424	1.1933	0.8942	0.5617	10.6552	0.5252	0.9108	0.5024	0.5881
G232_02286	0.7255	1.8042	0.8091	0.8833	0.9461	1.0739	0.6867	0.9007	0.8330	1.1882	0.8611	0.8158	0.8301	0.8357	0.7836	1.1143	1.8755	0.7958	1.0061	0.8235	0.8710	0.8474	1.7635	0.7194	0.7895	0.7920	0.7945
G232_02287	0.5956	0.0280	0.8185	1.0039	0.7697	0.6913	0.5602	0.9272	0.7417	0.3118	1.5030	0.7851	0.6327	0.6643	1.0994	0.4000	0.1323	0.6989	0.5091	1.4202	1.0335	1.1071	0.0542	0.3813	0.7429	0.5472	0.8175
G232_02288	0.8484	0.6364	0.7836	0.8210	0.6349	0.6913	0.6687	0.6093	0.6990	0.6398	1.2570	0.5307	0.6752	0.6786	0.9883	0.8190	0.8249	0.7729	0.7152	0.4874	0.6581	0.7435	0.5616	0.6115	0.8131	0.6576	0.7954
G232_02289	0.7047	0.6014	0.7527	0.8521	0.7407	0.6348	0.7229	0.7815	0.8291	0.4973	1.2911	0.7632	0.7707	0.7500	1.1842	0.9905	0.2335	0.9947	0.6909	0.7563	0.5923	0.8864	0.3892	0.4532	0.8116	0.8416	0.9911
G232_02290	0.7502	0.1329	0.7177	0.8911	0.7095	0.6957	0.6386	1.2715	0.6117	0.4570	0.9708	0.6360	0.8280	0.6071	1.0263	0.8095	0.1167	0.9208	0.6303	0.9076	0.7806	0.8344	0.1527	0.6475	0.7246	0.5536	0.7989
G232_02291	0.7869	0.6014	0.7554	0.6265	0.6577	0.5043	0.6566	0.4834	0.6738	0.7312	1.4665	0.8816	0.6709	0.8964	1.3275	0.6571	0.2802	0.7623	0.6182	0.6218	0.7781	0.7695	0.4335	0.4317	0.8741	0.7808	0.7830
G232_02292	0.5966	2.6154	0.5672	0.6420	0.9357	1.4174	1.3795	0.5497	0.5748	1.6398	1.0560	0.6404	0.7028	0.7214	1.1637	0.6286	2.8638	0.7518	0.9697	0.9664	0.8168	0.5844	2.3941	0.6259	0.6766	0.7520	0.8530
G232_02293	0.7116	0.5035	0.7527	1.0233	0.6909	0.8696	1.1446	0.9536	1.1845	0.7688	1.2034	0.9430	0.6752	0.8250	1.0146	0.6667	0.3852	0.9067	0.3030	0.5630	0.7135	0.5909	0.5419	0.5540	0.9108	0.9920	1.0443
