GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_02747	0.8285	0.0000	0.9449	0.5914	0.5602	0.2130	0.6205	0.7285	0.5942	0.2204	1.2972	0.4167	0.7155	1.0321	0.9386	0.4095	0.0000	0.6743	0.9394	0.7731	0.4555	0.6526	0.0394	0.3741	0.9092	0.5312	0.6953
G232_02748	0.8295	0.9860	0.8535	0.4942	0.7012	0.8913	0.9096	0.7881	0.8913	0.6694	1.2217	0.7719	0.5393	0.7321	1.0468	0.8095	0.8327	0.9278	0.6727	0.8151	0.7948	0.7240	1.0443	0.9928	0.7979	0.6000	0.7281
G232_02749	1.1606	1.4266	0.7688	0.4864	0.9544	0.9826	0.4157	1.4305	0.6738	1.9328	1.5688	0.6711	0.6285	1.2500	0.7427	0.8762	1.9572	1.0053	0.9758	0.5546	0.9290	1.2305	1.8916	0.8417	0.8917	0.6912	0.7316
G232_02750	0.8087	0.7273	0.8199	0.3580	0.9834	1.0478	0.8735	0.5828	0.6990	0.7715	1.3995	0.6886	0.5180	0.7357	1.3626	0.6000	0.9922	0.8151	0.5455	0.8487	0.8297	1.1364	1.0690	0.7698	0.7056	1.0192	0.8450
G232_02751	1.0922	0.9930	0.6331	0.5486	0.8485	1.0609	0.5783	0.9801	0.6330	1.1532	1.0633	0.8070	0.4798	0.9429	1.2339	0.5333	0.9844	0.6796	0.4242	0.7395	0.6323	0.6299	1.1576	0.7194	0.6575	0.5744	0.7467
G232_02752	0.8979	2.1678	0.8589	0.7393	0.6826	1.1174	0.6627	0.7020	0.7126	1.2446	1.2339	0.4912	0.4522	0.7071	1.0468	0.7810	0.9027	0.8151	0.7879	1.0336	0.6826	0.5519	1.5468	0.6115	0.7338	0.7920	0.7458
G232_02753	0.8642	5.7483	0.6868	0.6342	0.9813	1.6087	1.3193	0.5563	0.7087	3.2366	1.3374	0.9518	0.4735	0.9607	0.9152	0.9429	5.9455	1.1761	0.8667	0.5462	0.7845	1.0909	5.5369	0.4388	0.6842	0.6000	1.0204
G232_02754	0.7384	2.0699	0.9583	0.4319	0.8008	0.7130	0.7289	2.2318	0.7612	1.3602	1.7418	0.9956	0.7197	0.9393	1.2719	0.7905	2.6148	0.8310	0.8606	0.7143	0.6374	0.8344	1.7980	0.9137	0.7376	0.8400	1.1187
G232_02755	1.2646	0.0420	0.8347	0.7198	0.6598	0.7000	0.5422	0.7616	1.0155	0.3817	1.0670	0.5351	0.9108	0.9071	1.0819	0.6381	0.0739	0.7007	1.0909	0.6050	0.7510	0.9968	0.2906	0.3381	0.8589	0.7024	0.8981
G232_02756	0.8573	2.4685	0.9073	0.5058	0.7490	1.0696	1.0000	0.5960	0.4544	2.3817	1.0694	1.0044	0.5945	0.5893	1.0146	0.5238	3.3619	0.7324	0.6909	0.9748	0.7742	0.6331	3.6059	0.7482	0.6468	0.8672	0.7954
G232_02757	0.8563	3.2937	0.7836	0.6926	0.6971	1.3174	1.1928	0.6093	1.0000	1.8575	1.2619	1.1053	0.8280	0.9357	0.8947	0.7333	3.2335	0.9085	0.7455	1.2101	0.8865	0.7175	2.7143	1.0719	0.7422	0.8832	0.8388
G232_02758	0.6105	1.2517	0.5484	0.4319	0.9191	1.1000	0.7711	2.3775	0.5709	0.7608	0.1717	1.3509	0.5350	0.7893	0.0205	1.1619	1.0311	1.1602	0.5333	1.2017	0.8542	0.9091	0.9409	0.9281	0.7590	0.5216	0.8654
G232_02759	0.8523	1.0769	0.9583	0.8093	0.8050	0.9304	0.8434	1.0530	0.8233	0.7473	1.2351	0.8860	0.7813	0.8500	1.3333	0.8762	0.8638	0.6954	0.8061	0.8824	0.7935	0.7565	0.9113	0.6691	0.8642	0.8304	0.8831
