GENE	COVERAGE	STRAIN	GROUP
G232_00558	0.4153	Rstd	R
G232_00558	0.0000	SM102	S
G232_00558	0.3212	SM104	S
G232_00558	0.7237	SM105	S
G232_00558	0.4149	SM108	S
G232_00558	0.3609	SM109	S
G232_00558	0.6265	SM11	S
G232_00558	0.0000	SM122	S
G232_00558	0.3049	SM13	S
G232_00558	0.0296	SM14	S
G232_00558	0.7247	SM18	S
G232_00558	0.4386	SM24	S
G232_00558	0.5966	SM27	S
G232_00558	0.3821	SM28	S
G232_00558	1.0058	SM29	S
G232_00558	1.6381	SM35	S
G232_00558	0.0000	SM36	S
G232_00558	0.1866	SM42	S
G232_00558	0.9515	SM48	S
G232_00558	0.0000	SM57	S
G232_00558	0.3884	SM66	S
G232_00558	0.6494	SM67	S
G232_00558	0.0000	SM72	S
G232_00558	1.0144	SM74	S
G232_00558	0.5568	SM84	S
G232_00558	0.1680	SM9	S
G232_00558	0.4163	SM91	S
G232_00559	1.0050	Rstd	R
G232_00559	0.0559	SM102	S
G232_00559	0.8414	SM104	S
G232_00559	0.7471	SM105	S
G232_00559	0.7469	SM108	S
G232_00559	0.4957	SM109	S
G232_00559	0.4398	SM11	S
G232_00559	0.9338	SM122	S
G232_00559	0.6660	SM13	S
G232_00559	0.5134	SM14	S
G232_00559	1.2741	SM18	S
G232_00559	0.8289	SM24	S
G232_00559	0.8408	SM27	S
G232_00559	0.7179	SM28	S
G232_00559	1.3070	SM29	S
G232_00559	0.6667	SM35	S
G232_00559	0.0389	SM36	S
G232_00559	0.7289	SM42	S
G232_00559	0.9818	SM48	S
G232_00559	0.5462	SM57	S
G232_00559	0.6206	SM66	S
G232_00559	0.9351	SM67	S
G232_00559	0.0345	SM72	S
G232_00559	0.5324	SM74	S
G232_00559	0.9291	SM84	S
G232_00559	0.7408	SM9	S
G232_00559	0.7724	SM91	S
G232_00560	1.0823	Rstd	R
G232_00560	0.1189	SM102	S
G232_00560	0.8172	SM104	S
G232_00560	0.5447	SM105	S
G232_00560	0.7427	SM108	S
G232_00560	0.6522	SM109	S
G232_00560	0.4157	SM11	S
G232_00560	0.7417	SM122	S
G232_00560	0.7903	SM13	S
G232_00560	0.5188	SM14	S
G232_00560	1.2375	SM18	S
G232_00560	0.7105	SM24	S
G232_00560	0.8429	SM27	S
G232_00560	0.8429	SM28	S
G232_00560	1.2135	SM29	S
G232_00560	0.5429	SM35	S
G232_00560	0.1245	SM36	S
G232_00560	0.7606	SM42	S
G232_00560	0.6848	SM48	S
G232_00560	0.5378	SM57	S
G232_00560	0.6929	SM66	S
G232_00560	1.1364	SM67	S
G232_00560	0.1034	SM72	S
G232_00560	0.5468	SM74	S
G232_00560	0.9436	SM84	S
G232_00560	0.9088	SM9	S
G232_00560	0.9141	SM91	S
G232_00561	1.0624	Rstd	R
G232_00561	0.9860	SM102	S
G232_00561	0.7056	SM104	S
G232_00561	0.9144	SM105	S
G232_00561	0.8029	SM108	S
G232_00561	0.8652	SM109	S
G232_00561	0.9578	SM11	S
