GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_10456	6.07	1.44	5.54	1.11	5.22	2.11	1.31	1.10	3.72	2.48	8.75	2.10	2.26	1.56	2.29	0.68	1.89	3.13	0.76	1.30	5.48	2.36	1.68	1.54	8.78	3.63	8.40
G232_10457	9.26	0.34	6.05	2.21	4.74	2.37	1.40	1.57	4.44	1.75	9.32	1.92	3.42	2.09	2.55	0.90	0.93	4.67	0.89	0.64	5.04	2.41	0.65	1.38	9.56	5.30	8.48
G232_10458	7.02	0.85	6.11	2.06	3.22	2.49	0.90	0.89	3.64	1.76	8.87	1.88	2.18	1.87	3.52	0.51	0.80	3.76	1.27	1.49	5.32	2.73	1.37	2.15	9.17	3.94	9.44
G232_10459	5.35	3.08	4.93	2.33	3.67	3.02	2.50	0.94	3.16	6.97	5.52	1.28	2.65	3.05	1.81	0.52	6.39	3.61	1.61	1.41	7.05	1.65	4.30	1.75	8.89	2.36	7.14
G232_10460	8.40	0.99	5.85	1.75	3.70	1.80	1.08	1.52	5.61	1.33	8.38	2.23	3.81	2.56	2.12	0.42	1.04	5.63	1.42	0.66	5.80	2.74	1.15	1.14	11.92	5.97	10.57
G232_10461	8.03	0.15	6.13	2.22	4.79	1.96	0.65	1.57	4.11	1.98	8.70	1.70	3.69	1.08	1.41	0.52	0.00	6.51	1.38	0.54	5.73	3.31	0.18	1.22	11.43	4.25	11.78
G232_10462	7.61	0.10	7.90	1.22	4.35	1.40	1.22	0.91	2.87	1.28	8.67	1.39	3.23	2.31	3.63	0.75	0.19	3.42	0.60	0.83	5.45	2.11	0.22	0.59	9.51	4.54	7.38
G232_10463	8.50	1.81	4.89	2.20	3.92	2.60	1.93	0.80	5.57	7.34	9.57	1.78	3.19	2.70	4.42	0.79	5.47	4.42	1.40	0.83	6.46	1.89	3.46	0.75	9.04	3.87	9.14
G232_10464	9.04	0.25	6.13	1.81	3.76	1.15	0.94	1.40	3.43	1.44	10.66	1.51	3.35	2.30	3.43	0.52	0.29	4.99	1.22	0.58	5.52	2.10	0.20	0.74	10.75	4.52	8.96
G232_10465	8.05	0.01	4.00	1.91	2.81	0.80	0.26	0.74	4.37	1.19	11.52	1.57	4.19	2.93	4.07	0.54	0.10	5.80	0.88	0.64	3.42	1.75	0.07	0.44	10.61	4.80	11.44
