GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_02896	0.8424	0.0839	0.9543	0.4825	0.8361	0.6130	1.9940	1.2318	0.7243	0.4435	1.2071	0.7895	0.7389	0.7607	0.9269	1.8952	0.0000	0.2060	0.5030	1.2521	0.8542	1.3377	0.0000	0.5468	0.6834	0.5776	0.5704
G232_02897	0.9722	0.4056	0.8293	0.6693	0.6556	0.6913	0.5663	0.8742	0.6660	0.7876	1.2923	0.8114	0.8089	0.7643	1.2573	0.6857	0.2879	0.7025	0.3818	0.7059	0.6129	0.8474	0.3793	0.4388	0.7620	0.7504	0.8149
G232_02898	0.9118	0.8462	0.8871	0.9339	0.8631	0.8783	0.8253	0.9868	0.5845	0.9355	1.4762	1.1930	0.8493	1.1250	1.4795	0.6667	0.8677	0.9754	0.5091	0.4034	0.7613	1.0032	0.5567	0.6619	1.0046	0.8400	0.8237
G232_02899	0.9078	0.6434	0.7715	0.9572	0.6929	0.8783	0.8795	1.2185	0.6388	0.9140	1.2643	0.8246	0.7134	0.8464	0.9415	0.6762	0.5564	0.7694	0.8606	0.6134	0.7252	0.7857	0.4187	0.4604	0.9489	0.7264	0.8742
G232_02900	0.8870	7.8671	0.9301	1.1128	1.0373	1.3522	1.9036	0.8278	0.7204	5.9866	1.3630	0.6798	0.9448	0.8571	1.4912	0.8857	9.1518	1.2007	1.3212	0.5294	0.7561	1.0487	8.4729	0.1511	0.7445	0.7024	1.1267
G232_02901	0.7770	0.1958	0.6169	0.7899	0.8485	0.5043	0.8675	0.4570	0.5379	0.5457	1.0171	0.5263	0.7134	1.0429	1.1491	0.7905	0.1128	0.7377	0.5455	0.8571	0.7355	0.7760	0.1970	0.4173	0.7590	0.7376	0.8051
G232_02902	0.9792	0.5944	0.8763	0.7743	0.9087	0.9000	0.9398	0.8940	0.7631	0.9328	1.1693	0.6842	0.8408	0.9643	1.2398	0.6667	0.8716	0.8979	0.9697	0.7395	0.7123	0.8409	0.8719	0.6475	0.9687	0.7968	0.8928
G232_02903	0.6967	3.6224	0.7997	0.6265	0.5477	1.6043	1.6566	0.9536	0.8272	3.4301	1.1815	0.6447	0.7282	0.7464	1.1901	0.9238	4.3619	0.7254	0.4970	1.3361	0.6735	1.2857	4.9015	1.4173	0.7941	0.5712	0.6422
G232_02904	0.9128	0.6923	0.8629	0.6537	0.8527	0.7522	0.6627	0.5298	1.1165	0.9247	1.6236	1.0921	0.9278	1.0179	1.4708	0.8381	0.8872	1.2342	1.0485	0.5126	0.7819	0.8766	0.6897	0.7698	0.9405	0.7920	0.8831
G232_02905	1.0159	0.0000	0.8602	0.8249	0.8340	1.0261	0.6867	1.0927	1.0874	0.4059	1.5530	1.0921	1.0594	1.0643	0.8187	0.4000	0.0000	1.1813	1.1212	0.2269	0.8052	0.8019	0.0640	0.6115	0.9771	0.9920	1.0044
