GENE	COVERAGE	STRAIN	GROUP
G232_04936	1.0951	Rstd	R
G232_04936	0.0140	SM102	S
G232_04936	1.0605	SM104	S
G232_04936	0.3852	SM105	S
G232_04936	0.8589	SM108	S
G232_04936	1.1217	SM109	S
G232_04936	1.3434	SM11	S
G232_04936	1.4570	SM122	S
G232_04936	0.9282	SM13	S
G232_04936	0.4839	SM14	S
G232_04936	0.9099	SM18	S
G232_04936	0.6754	SM24	S
G232_04936	0.8896	SM27	S
G232_04936	0.6750	SM28	S
G232_04936	0.3187	SM29	S
G232_04936	1.1429	SM35	S
G232_04936	0.0000	SM36	S
G232_04936	0.6778	SM42	S
G232_04936	0.7333	SM48	S
G232_04936	0.5882	SM57	S
G232_04936	1.0065	SM66	S
G232_04936	1.4026	SM67	S
G232_04936	0.0000	SM72	S
G232_04936	0.8489	SM74	S
G232_04936	0.9733	SM84	S
G232_04936	0.5232	SM9	S
G232_04936	0.8299	SM91	S
G232_04937	0.8692	Rstd	R
G232_04937	1.7622	SM102	S
G232_04937	0.9019	SM104	S
G232_04937	0.8132	SM105	S
G232_04937	0.7199	SM108	S
G232_04937	0.7913	SM109	S
G232_04937	1.1747	SM11	S
G232_04937	0.5033	SM122	S
G232_04937	0.9165	SM13	S
G232_04937	1.2124	SM14	S
G232_04937	1.1961	SM18	S
G232_04937	0.9737	SM24	S
G232_04937	0.7389	SM27	S
G232_04937	0.7893	SM28	S
G232_04937	0.5585	SM29	S
G232_04937	1.0381	SM35	S
G232_04937	1.4786	SM36	S
G232_04937	0.9190	SM42	S
G232_04937	1.0848	SM48	S
G232_04937	0.9580	SM57	S
G232_04937	0.8645	SM66	S
G232_04937	0.9091	SM67	S
G232_04937	2.1872	SM72	S
G232_04937	0.7842	SM74	S
G232_04937	0.8314	SM84	S
G232_04937	0.5968	SM9	S
G232_04937	1.0354	SM91	S
G232_04938	0.7423	Rstd	R
G232_04938	5.7483	SM102	S
G232_04938	0.5430	SM104	S
G232_04938	1.0661	SM105	S
G232_04938	0.5685	SM108	S
G232_04938	1.5870	SM109	S
G232_04938	2.2711	SM11	S
G232_04938	0.7086	SM122	S
G232_04938	0.6913	SM13	S
