GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_02707	8.21	0.78	5.20	1.67	4.33	1.67	0.65	1.57	4.53	1.67	9.14	1.27	3.36	2.55	3.79	0.47	1.66	2.94	1.78	0.85	6.59	2.94	1.64	1.12	9.94	5.80	10.41
G232_02708	10.18	0.42	6.09	2.00	4.53	0.86	0.32	0.26	2.25	1.93	9.20	1.97	2.83	2.25	2.97	1.15	0.00	4.61	2.26	1.45	5.24	2.60	0.00	2.52	8.50	5.37	8.21
G232_02709	7.60	2.24	5.75	1.90	3.33	2.76	1.46	0.99	4.06	2.89	10.52	1.67	3.18	1.74	5.31	0.84	2.34	4.19	1.89	0.94	5.72	1.66	2.27	1.71	9.70	4.13	8.72
G232_02710	8.94	0.00	5.77	1.30	3.17	1.23	0.54	2.14	4.28	1.86	6.83	0.98	2.18	1.98	2.50	0.26	0.00	4.67	0.49	0.43	7.25	1.77	0.00	0.41	10.79	3.77	9.69
G232_02711	7.74	0.22	6.40	1.85	4.67	1.91	1.52	1.23	2.54	2.05	11.00	2.08	3.59	1.92	3.80	0.94	0.09	4.72	1.38	1.40	5.90	2.46	0.11	0.62	12.40	4.89	9.62
G232_02712	9.32	0.55	6.42	1.63	4.36	2.25	1.34	1.72	4.93	2.28	11.37	1.69	3.73	2.58	2.77	0.72	0.56	5.99	0.90	1.10	6.95	2.87	0.53	1.24	10.48	4.99	10.27
G232_02713	9.34	1.50	6.20	2.97	4.07	1.66	1.44	2.12	3.99	3.43	10.12	1.43	3.66	2.37	2.83	1.13	2.45	3.47	1.54	1.21	5.81	2.07	2.34	1.50	10.59	4.61	9.21
G232_02714	7.57	4.09	5.01	1.93	2.32	1.73	1.40	1.22	4.98	5.95	9.97	2.27	3.44	3.07	4.45	1.07	7.68	6.09	2.06	1.15	7.26	2.62	5.46	0.73	9.09	4.10	9.57
G232_02715	8.75	1.44	4.08	1.11	2.64	1.67	1.41	0.83	3.68	4.29	7.91	1.49	3.02	2.18	4.21	0.72	1.91	5.10	1.43	0.51	6.61	3.66	1.86	0.63	10.97	4.77	8.86
G232_02716	6.64	3.53	8.26	2.00	3.08	2.85	1.86	0.90	3.62	6.84	7.60	1.85	2.57	3.26	2.82	0.77	7.25	4.97	1.05	0.75	6.14	3.45	4.19	1.72	10.78	4.78	8.89
