GENE	COVERAGE	STRAIN	GROUP
G232_07174	0.6095	Rstd	R
G232_07174	0.0979	SM102	S
G232_07174	0.3777	SM104	S
G232_07174	1.1128	SM105	S
G232_07174	0.6452	SM108	S
G232_07174	0.8913	SM109	S
G232_07174	0.8313	SM11	S
G232_07174	0.0000	SM122	S
G232_07174	1.1515	SM13	S
G232_07174	0.6559	SM14	S
G232_07174	1.0828	SM18	S
G232_07174	1.5132	SM24	S
G232_07174	0.7134	SM27	S
G232_07174	0.7857	SM28	S
G232_07174	0.8509	SM29	S
G232_07174	0.7714	SM35	S
G232_07174	0.1829	SM36	S
G232_07174	0.8768	SM42	S
G232_07174	0.8303	SM48	S
G232_07174	0.3529	SM57	S
G232_07174	0.8723	SM66	S
G232_07174	0.2403	SM67	S
G232_07174	0.2660	SM72	S
G232_07174	0.5612	SM74	S
G232_07174	0.7353	SM84	S
G232_07174	1.0528	SM9	S
G232_07174	0.9043	SM91	S
G232_07175	0.7810	Rstd	R
G232_07175	0.1119	SM102	S
G232_07175	0.6599	SM104	S
G232_07175	0.7860	SM105	S
G232_07175	0.5270	SM108	S
G232_07175	0.7870	SM109	S
G232_07175	0.7530	SM11	S
G232_07175	1.0397	SM122	S
G232_07175	1.1359	SM13	S
G232_07175	0.4005	SM14	S
G232_07175	1.3666	SM18	S
G232_07175	1.3070	SM24	S
G232_07175	0.7473	SM27	S
G232_07175	0.9750	SM28	S
G232_07175	1.4240	SM29	S
G232_07175	1.1905	SM35	S
G232_07175	0.2607	SM36	S
G232_07175	1.2535	SM42	S
G232_07175	0.8121	SM48	S
G232_07175	0.6639	SM57	S
G232_07175	0.8271	SM66	S
G232_07175	0.8377	SM67	S
G232_07175	0.2217	SM72	S
G232_07175	0.3741	SM74	S
G232_07175	0.8490	SM84	S
G232_07175	0.9728	SM9	S
G232_07175	0.8707	SM91	S
G232_07176	0.8593	Rstd	R
G232_07176	0.0210	SM102	S
G232_07176	0.6169	SM104	S
G232_07176	0.6926	SM105	S
G232_07176	0.6722	SM108	S
G232_07176	0.4348	SM109	S
G232_07176	0.1928	SM11	S
G232_07176	0.5364	SM122	S
G232_07176	1.2621	SM13	S
G232_07176	0.2312	SM14	S
G232_07176	1.7905	SM18	S
G232_07176	1.6404	SM24	S
G232_07176	1.2909	SM27	S
G232_07176	1.9321	SM28	S
G232_07176	1.3801	SM29	S
G232_07176	0.8095	SM35	S
G232_07176	0.0000	SM36	S
G232_07176	1.2148	SM42	S
G232_07176	0.9636	SM48	S
G232_07176	0.7983	SM57	S
G232_07176	1.0774	SM66	S
G232_07176	0.9286	SM67	S
G232_07176	0.0296	SM72	S
G232_07176	0.5252	SM74	S
G232_07176	0.9527	SM84	S
G232_07176	0.9328	SM9	S
G232_07176	1.1940	SM91	S
G232_07177	0.7314	Rstd	R
G232_07177	0.0000	SM102	S
G232_07177	1.0242	SM104	S
G232_07177	0.9455	SM105	S
G232_07177	0.7054	SM108	S
G232_07177	0.6652	SM109	S
G232_07177	0.7169	SM11	S
G232_07177	0.7881	SM122	S
G232_07177	0.7845	SM13	S
