GENE	COVERAGE	STRAIN	GROUP
G232_01394	0.7879	Rstd	R
G232_01394	0.0000	SM102	S
G232_01394	0.8495	SM104	S
G232_01394	0.7782	SM105	S
G232_01394	0.9212	SM108	S
G232_01394	0.8348	SM109	S
G232_01394	0.4518	SM11	S
G232_01394	1.0927	SM122	S
G232_01394	1.1379	SM13	S
G232_01394	0.3871	SM14	S
G232_01394	0.9269	SM18	S
G232_01394	0.8816	SM24	S
G232_01394	0.4395	SM27	S
G232_01394	0.8214	SM28	S
G232_01394	0.0000	SM29	S
G232_01394	0.6286	SM35	S
G232_01394	0.0000	SM36	S
G232_01394	0.8979	SM42	S
G232_01394	0.8727	SM48	S
G232_01394	0.5630	SM57	S
G232_01394	0.8090	SM66	S
G232_01394	1.0260	SM67	S
G232_01394	0.0000	SM72	S
G232_01394	0.5827	SM74	S
G232_01394	0.8513	SM84	S
G232_01394	0.7568	SM9	S
G232_01394	0.7821	SM91	S
G232_01395	0.7889	Rstd	R
G232_01395	0.7692	SM102	S
G232_01395	0.7702	SM104	S
G232_01395	0.8677	SM105	S
G232_01395	0.8278	SM108	S
G232_01395	0.7957	SM109	S
G232_01395	0.6265	SM11	S
G232_01395	0.8411	SM122	S
G232_01395	0.7437	SM13	S
G232_01395	0.8817	SM14	S
G232_01395	1.4446	SM18	S
G232_01395	0.6447	SM24	S
G232_01395	0.9406	SM27	S
G232_01395	0.9286	SM28	S
G232_01395	1.2924	SM29	S
G232_01395	0.4857	SM35	S
G232_01395	0.7899	SM36	S
G232_01395	0.8187	SM42	S
G232_01395	0.6061	SM48	S
G232_01395	0.8487	SM57	S
G232_01395	0.6877	SM66	S
G232_01395	1.0195	SM67	S
G232_01395	0.8916	SM72	S
G232_01395	0.4964	SM74	S
G232_01395	0.8688	SM84	S
G232_01395	0.6608	SM9	S
G232_01395	0.8220	SM91	S
G232_01396	0.8057	Rstd	R
G232_01396	0.4336	SM102	S
G232_01396	0.9005	SM104	S
G232_01396	0.8093	SM105	S
G232_01396	0.6660	SM108	S
G232_01396	0.1957	SM109	S
G232_01396	0.3675	SM11	S
G232_01396	0.8146	SM122	S
