GENE	COVERAGE	STRAIN	GROUP
G232_01020	1.1695	Rstd	R
G232_01020	1.2238	SM102	S
G232_01020	1.0632	SM104	S
G232_01020	0.4319	SM105	S
G232_01020	0.7261	SM108	S
G232_01020	0.9174	SM109	S
G232_01020	0.6386	SM11	S
G232_01020	0.7417	SM122	S
G232_01020	0.6214	SM13	S
G232_01020	1.2124	SM14	S
G232_01020	0.9744	SM18	S
G232_01020	0.3553	SM24	S
G232_01020	0.9193	SM27	S
G232_01020	0.7786	SM28	S
G232_01020	1.0877	SM29	S
G232_01020	0.6667	SM35	S
G232_01020	1.1984	SM36	S
G232_01020	0.8239	SM42	S
G232_01020	0.4061	SM48	S
G232_01020	0.3361	SM57	S
G232_01020	0.7639	SM66	S
G232_01020	0.6039	SM67	S
G232_01020	1.0542	SM72	S
G232_01020	0.5036	SM74	S
G232_01020	0.7422	SM84	S
G232_01020	0.6832	SM9	S
G232_01020	0.7458	SM91	S
G232_01021	0.8404	Rstd	R
G232_01021	0.6014	SM102	S
G232_01021	0.6505	SM104	S
G232_01021	1.0661	SM105	S
G232_01021	0.8693	SM108	S
G232_01021	0.6391	SM109	S
G232_01021	0.6747	SM11	S
G232_01021	0.7020	SM122	S
G232_01021	0.9165	SM13	S
G232_01021	0.6774	SM14	S
G232_01021	1.3252	SM18	S
G232_01021	0.6184	SM24	S
G232_01021	0.8323	SM27	S
G232_01021	0.8857	SM28	S
G232_01021	0.9240	SM29	S
G232_01021	0.8095	SM35	S
G232_01021	0.4553	SM36	S
G232_01021	0.9067	SM42	S
G232_01021	0.6909	SM48	S
G232_01021	1.0252	SM57	S
G232_01021	0.7406	SM66	S
G232_01021	0.9481	SM67	S
G232_01021	0.5517	SM72	S
G232_01021	0.4748	SM74	S
G232_01021	0.7971	SM84	S
G232_01021	0.6768	SM9	S
G232_01021	1.0071	SM91	S
G232_01022	0.6313	Rstd	R
G232_01022	0.2098	SM102	S
G232_01022	0.9234	SM104	S
G232_01022	0.8911	SM105	S
G232_01022	0.4481	SM108	S
G232_01022	0.5696	SM109	S
G232_01022	0.5000	SM11	S
G232_01022	0.9338	SM122	S
G232_01022	0.9495	SM13	S
G232_01022	0.5726	SM14	S
G232_01022	1.4507	SM18	S
G232_01022	0.9298	SM24	S
G232_01022	0.7919	SM27	S
G232_01022	0.8786	SM28	S
G232_01022	1.2719	SM29	S
G232_01022	0.9048	SM35	S
G232_01022	0.0156	SM36	S
G232_01022	0.9736	SM42	S
G232_01022	0.4424	SM48	S
G232_01022	0.4538	SM57	S
G232_01022	0.7123	SM66	S
G232_01022	0.9481	SM67	S
G232_01022	0.0197	SM72	S
G232_01022	0.5036	SM74	S
G232_01022	0.8162	SM84	S
G232_01022	0.9008	SM9	S
G232_01022	1.0275	SM91	S
G232_01023	0.9019	Rstd	R
G232_01023	0.3636	SM102	S
G232_01023	0.8454	SM104	S
G232_01023	0.7510	SM105	S
G232_01023	0.6971	SM108	S
G232_01023	0.6652	SM109	S
G232_01023	0.9639	SM11	S
G232_01023	1.1523	SM122	S
G232_01023	0.6874	SM13	S
G232_01023	0.3844	SM14	S
G232_01023	1.0572	SM18	S
G232_01023	0.6930	SM24	S
G232_01023	0.7495	SM27	S
G232_01023	0.9786	SM28	S
G232_01023	1.0088	SM29	S
G232_01023	0.7524	SM35	S
G232_01023	0.1790	SM36	S
G232_01023	0.6338	SM42	S
G232_01023	0.9515	SM48	S
G232_01023	0.7731	SM57	S
G232_01023	0.7445	SM66	S
G232_01023	1.0909	SM67	S
G232_01023	0.1773	SM72	S
G232_01023	0.7986	SM74	S
G232_01023	0.7300	SM84	S
G232_01023	0.9760	SM9	S
G232_01023	0.8769	SM91	S
G232_01024	0.9395	Rstd	R
G232_01024	0.1329	SM102	S
G232_01024	0.9583	SM104	S
G232_01024	1.0039	SM105	S
G232_01024	1.0041	SM108	S
G232_01024	0.6261	SM109	S
G232_01024	1.0241	SM11	S
G232_01024	0.8146	SM122	S
G232_01024	1.1029	SM13	S
G232_01024	0.3790	SM14	S
G232_01024	1.6382	SM18	S
G232_01024	0.8640	SM24	S
G232_01024	0.8960	SM27	S
G232_01024	0.9821	SM28	S
G232_01024	1.2573	SM29	S
G232_01024	1.4000	SM35	S
G232_01024	0.0000	SM36	S
G232_01024	0.8662	SM42	S
G232_01024	0.8667	SM48	S
G232_01024	0.6639	SM57	S
G232_01024	0.9665	SM66	S
G232_01024	0.8636	SM67	S
G232_01024	0.0640	SM72	S
G232_01024	0.5827	SM74	S
G232_01024	1.0122	SM84	S
G232_01024	0.9744	SM9	S
G232_01024	0.9973	SM91	S
