GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_10350	10.24	1.45	5.27	0.83	4.73	1.03	1.30	0.95	2.84	2.57	11.07	1.39	2.16	2.69	3.67	0.35	1.74	5.44	0.66	0.55	5.56	2.07	1.55	0.28	5.59	1.80	10.86
G232_10351	11.16	0.27	5.60	1.52	3.78	2.10	1.24	1.14	4.63	1.85	9.54	1.56	4.22	3.75	3.08	1.23	0.48	4.65	1.80	1.12	7.51	2.35	0.36	1.15	12.34	5.67	11.08
G232_10352	11.26	1.20	4.83	1.49	4.45	1.80	1.66	2.07	4.80	4.47	12.17	1.60	2.64	2.68	5.01	0.93	2.67	5.69	1.12	0.92	7.27	2.36	2.41	1.18	12.60	3.84	10.60
G232_10353	8.80	3.34	5.93	2.45	4.38	2.93	1.74	0.93	3.42	6.78	12.13	0.96	4.49	2.32	5.16	1.48	4.81	5.54	1.31	0.72	5.26	2.98	5.03	1.40	10.02	4.86	10.01
G232_10354	9.25	0.20	6.29	1.90	4.66	1.86	0.74	1.70	3.62	1.60	10.85	2.37	3.94	3.07	3.98	0.70	0.12	4.33	1.51	0.88	7.48	2.51	0.16	1.67	11.89	5.23	13.30
G232_10355	10.74	2.40	7.57	2.80	3.71	1.80	1.82	1.08	3.23	5.53	11.95	1.50	2.93	2.26	3.81	0.90	5.46	5.11	0.92	1.04	4.86	2.57	3.43	1.41	10.17	4.27	9.36
G232_10356	11.26	0.00	6.07	1.65	3.88	1.95	1.12	1.30	3.58	1.69	9.30	1.58	2.78	2.44	2.38	0.94	0.00	3.67	0.92	1.14	8.13	2.08	0.25	1.09	11.98	4.51	10.09
G232_10357	11.03	0.22	7.55	1.01	5.60	1.94	1.45	1.93	4.09	1.91	9.84	2.18	3.34	2.80	0.22	0.91	0.00	3.72	1.51	0.45	11.18	2.91	0.00	1.75	13.05	4.55	6.79
G232_10358	9.91	2.27	7.59	1.47	3.13	3.60	1.28	1.18	5.39	4.56	9.88	1.96	3.45	1.96	3.52	1.30	5.07	5.31	1.33	1.80	5.35	2.54	3.05	1.53	7.60	4.27	10.93
G232_10359	7.97	7.35	5.41	1.84	3.45	4.82	3.57	1.24	3.98	24.97	12.44	2.45	3.11	2.31	4.46	0.76	15.84	7.11	2.00	1.54	4.03	3.62	13.39	0.79	11.56	5.07	12.64
G232_10360	9.10	0.39	7.09	1.87	3.87	2.15	0.84	0.36	4.70	1.19	10.96	1.50	3.94	2.41	2.91	0.43	0.82	4.61	1.01	1.62	4.96	2.38	0.68	0.84	10.05	5.39	7.31
G232_10361	9.73	1.62	6.21	2.13	3.46	1.63	1.45	1.12	4.63	4.60	9.58	2.34	4.71	1.91	3.24	0.83	2.95	7.01	0.88	1.06	5.72	2.50	2.58	1.21	11.75	5.87	9.20
G232_10362	8.02	2.46	5.35	1.89	3.62	1.71	1.40	1.24	4.37	5.28	11.57	2.06	3.70	3.05	4.61	0.67	5.05	5.66	1.04	1.01	5.53	2.29	3.77	1.00	10.89	5.30	10.46
G232_10363	8.13	0.61	6.48	2.04	3.05	2.13	1.23	1.19	3.80	2.46	10.12	2.01	3.75	2.37	4.02	1.02	1.21	5.30	1.10	1.07	6.77	2.93	0.95	1.31	12.45	5.03	9.91
G232_10364	8.87	0.57	5.18	2.09	4.31	2.23	0.83	1.47	3.65	2.28	10.02	1.32	3.45	2.59	2.87	1.16	1.39	4.21	1.29	0.52	6.53	2.26	0.76	1.03	10.69	4.97	8.82
G232_10365	10.39	1.26	5.20	2.00	3.66	2.11	1.02	1.82	4.47	3.96	11.42	1.68	3.60	1.97	4.25	1.09	1.83	5.85	1.15	0.88	6.05	2.39	1.90	0.80	12.67	5.98	10.69
G232_10366	10.33	4.55	5.93	1.32	3.51	2.54	2.04	1.02	4.72	7.79	11.03	1.50	4.52	3.10	3.15	0.97	8.64	5.13	1.77	1.20	6.03	2.17	5.80	0.79	12.12	4.81	9.95
G232_10367	8.02	3.06	6.62	1.72	3.27	2.15	1.97	1.16	4.26	6.68	9.51	1.58	2.19	2.49	3.34	0.76	7.98	4.20	1.54	1.08	6.20	1.89	6.19	1.41	10.81	3.99	7.47
G232_10368	7.75	3.12	7.35	1.25	6.37	1.98	2.12	2.87	2.19	4.53	10.90	1.18	3.37	1.50	4.12	1.16	6.49	3.83	1.19	0.48	7.28	3.02	4.80	1.72	10.03	3.98	9.53
G232_10369	7.33	0.91	7.20	1.54	3.29	1.51	1.43	1.10	3.14	1.62	10.30	1.37	3.06	1.85	3.23	0.88	1.63	3.62	0.63	0.67	5.31	2.85	1.38	1.05	8.45	2.97	8.72
G232_10370	9.73	0.07	8.08	2.81	3.85	1.21	0.82	0.63	3.85	1.59	10.80	1.38	2.28	2.35	3.56	0.81	0.00	5.53	1.89	0.95	5.68	1.73	0.00	1.97	13.02	5.25	9.52
G232_10371	6.30	2.63	6.26	1.20	4.00	1.87	1.06	1.03	4.57	7.63	10.58	1.18	3.84	2.34	3.68	0.60	5.13	5.22	1.54	0.53	4.53	2.29	3.39	0.91	10.09	4.46	9.70
G232_10372	7.78	2.00	6.27	1.55	4.56	2.58	1.21	1.01	5.93	2.68	7.83	2.73	4.83	5.07	4.92	0.51	3.53	6.57	1.69	1.14	6.76	1.99	5.46	1.74	10.43	5.13	10.86
G232_10373	9.35	1.04	7.29	3.04	3.93	1.40	1.66	1.33	4.82	2.39	13.36	2.71	3.82	2.73	5.38	0.57	2.28	5.62	2.00	1.14	5.33	1.89	1.62	0.80	11.97	5.51	10.80
