GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_10303	0.8256	1.4545	0.9624	0.8872	0.8859	0.8609	0.8434	0.7417	0.6990	1.2473	0.8185	0.7500	0.7176	0.8821	1.4737	0.9333	1.7977	0.8891	0.7212	0.8992	0.7561	0.7857	1.7192	0.7698	0.8253	0.6512	0.9247
G232_10304	0.7849	1.0000	0.5685	0.7082	1.2739	0.6261	0.2771	0.6225	1.0621	1.0242	1.3946	1.0351	1.1592	0.7750	1.3713	0.9714	0.2568	0.8961	0.6182	0.9412	0.9316	0.7630	0.4138	0.7770	0.7246	0.7840	0.8707
G232_10305	0.8632	0.2867	1.1169	0.9416	0.7344	0.6739	0.6807	0.9205	0.6777	0.5780	1.2582	0.7895	0.7601	0.7643	0.8655	0.8190	0.1673	0.7658	1.1273	1.2857	0.8181	0.9286	0.3153	0.7626	0.9199	0.7424	0.9017
G232_10306	0.9425	1.0070	0.7876	0.8288	0.7842	1.2652	0.8072	0.7616	0.9107	1.4059	1.6857	0.7325	0.5924	1.0107	1.0439	1.0286	1.6070	1.0282	0.4000	0.9160	0.9200	0.7532	1.2512	1.2734	1.0374	0.7744	0.8751
G232_10307	0.6729	2.1608	1.1183	1.0195	1.1971	1.7043	1.1747	1.0265	1.0621	1.4462	1.2667	0.7368	0.6412	1.0321	1.3392	1.0286	1.8405	1.0000	1.2727	0.7815	0.7213	1.1169	1.7192	0.6547	1.0801	0.9216	0.8556
G232_10308	0.7393	7.3147	0.7218	0.5992	0.7158	1.3652	1.3735	0.7351	0.6602	6.3602	1.7065	0.6535	0.5563	0.8464	2.1023	0.8381	9.8988	1.2835	1.7212	1.2353	0.4658	0.9351	8.3399	0.4388	0.8924	0.7424	0.9265
G232_10309	0.9376	0.6923	1.0444	0.6887	0.8340	0.9217	0.6084	1.2185	0.7301	0.9059	1.4458	0.8509	0.8132	0.7607	0.9503	0.7238	0.7082	0.6937	0.6788	0.7731	0.8684	0.8831	0.6305	0.8633	0.8978	0.7088	0.7874
G232_10310	0.7602	0.1189	1.0363	0.9144	0.6349	0.7435	1.2410	0.6291	0.9087	0.4167	1.1851	1.1096	0.9639	0.9821	1.1257	0.9714	0.1051	0.6338	1.1758	0.8908	0.7187	0.7955	0.1970	0.5540	0.8863	0.9024	0.8964
G232_10311	0.9405	0.0490	0.8159	0.3735	0.9046	0.6783	0.6205	0.8212	0.5903	0.1720	1.3593	0.8596	0.4989	0.5893	1.1287	0.9619	0.0195	0.7958	0.7636	1.2185	1.0219	1.0584	0.0246	0.8705	0.7567	0.5824	0.8406
G232_10312	0.6373	0.3706	0.6680	0.7198	1.0394	0.4391	1.1084	1.1921	0.4214	0.4274	1.1291	0.8158	0.3567	0.7143	1.1608	0.6190	0.1556	0.6725	0.8909	0.9916	0.9032	0.8474	0.3498	1.2662	0.7323	0.6160	0.7821
