GENE	COVERAGE	STRAIN	GROUP
G232_10790	1.1308	Rstd	R
G232_10790	0.1748	SM102	S
G232_10790	0.5605	SM104	S
G232_10790	1.0389	SM105	S
G232_10790	0.9647	SM108	S
G232_10790	0.7957	SM109	S
G232_10790	0.4819	SM11	S
G232_10790	1.3709	SM122	S
G232_10790	1.6874	SM13	S
G232_10790	0.2419	SM14	S
G232_10790	0.4799	SM18	S
G232_10790	1.7237	SM24	S
G232_10790	1.3057	SM27	S
G232_10790	1.1571	SM28	S
G232_10790	1.0585	SM29	S
G232_10790	1.2381	SM35	S
G232_10790	0.0000	SM36	S
G232_10790	0.9243	SM42	S
G232_10790	0.4788	SM48	S
G232_10790	0.4454	SM57	S
G232_10790	0.8168	SM66	S
G232_10790	0.5682	SM67	S
G232_10790	0.0000	SM72	S
G232_10790	1.6547	SM74	S
G232_10790	0.7414	SM84	S
G232_10790	1.2528	SM9	S
G232_10790	0.9699	SM91	S
