GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_00931	1.0505	0.6993	0.9126	1.0428	0.9689	0.9870	0.7108	0.9470	0.9340	0.7366	1.5713	0.8553	1.0064	1.2286	0.9181	1.2571	0.7665	0.8099	0.7030	1.2437	0.6877	1.0909	0.5172	0.5396	0.8299	0.8144	0.9841
G232_00932	0.9802	1.9091	0.6747	0.7549	0.8589	0.8478	0.6747	0.8344	0.8641	1.6586	1.3228	0.8640	0.7495	0.9357	1.3977	0.9714	1.8755	0.9789	1.2303	0.6639	0.8297	0.7760	1.8867	0.8489	0.7826	0.8320	0.8423
G232_00933	0.5907	0.1259	0.7567	1.1790	0.9585	0.6565	1.0060	0.8212	0.8097	0.3737	1.4896	0.9298	0.7728	1.0321	1.4591	1.1048	0.1012	0.8451	1.4848	0.7059	0.8826	0.9870	0.0591	0.5683	1.0755	0.8704	1.0213
G232_00934	0.5639	0.7273	0.7446	0.5642	0.6058	0.8087	0.3976	0.9139	0.6039	0.9785	1.4641	0.9605	0.9745	1.1679	1.6696	0.6095	0.7588	0.9982	1.2727	0.8739	0.7523	1.0909	0.5271	0.9568	0.8253	0.7232	0.9415
G232_00935	0.7294	0.3357	0.8401	0.8210	0.6992	0.8652	0.7470	0.8477	0.9437	0.7527	1.3691	0.8202	0.7707	0.9143	1.1111	0.9619	0.3696	0.8856	0.9758	0.7395	1.0052	0.9123	0.3596	0.5324	0.9237	0.7776	0.8503
G232_00936	0.7195	1.3357	0.7823	1.0934	0.7448	0.4696	0.8253	0.5430	0.9942	2.2446	1.9050	0.8246	0.9639	1.1071	1.1988	0.8190	2.8444	1.5775	0.7879	0.2101	0.7394	0.7955	2.3941	0.8489	1.0519	0.9968	0.8388
G232_00937	0.8186	0.4685	0.8105	0.7276	0.7241	0.8826	0.6566	0.9735	0.9282	0.8145	1.5274	0.9254	0.9172	0.9714	1.2076	0.7524	0.4864	0.9401	0.5333	0.5714	0.7626	0.7695	0.5911	0.5755	0.8726	0.9744	0.8361
G232_00938	0.7423	0.8392	0.8925	0.8132	0.7842	0.5696	0.4337	1.0861	0.7379	1.1694	1.4762	0.7632	1.0403	1.3036	1.4357	0.3333	1.2257	1.0792	0.8121	1.1849	0.7187	0.7532	0.8670	0.5108	1.0351	0.8976	0.9088
G232_00939	0.8236	0.5524	0.6667	0.7082	0.6826	0.6826	0.5241	0.7815	0.7223	0.6747	0.9294	0.6711	0.5584	0.6607	0.8538	0.6476	0.4708	0.6989	0.6061	0.6303	0.6774	0.5942	0.3892	0.6115	0.6918	0.5840	0.6572
G232_00940	0.4866	1.6993	0.4624	0.3969	0.3091	0.5478	0.3494	0.3377	0.4641	1.5027	1.0037	0.5877	0.4119	0.6250	0.7836	0.4857	2.2568	0.7289	0.5030	0.3782	0.3806	0.3799	1.6010	0.4460	0.4584	0.7936	0.5828
G232_00941	0.4836	0.0629	0.3602	0.3502	0.4066	0.3652	0.2229	0.3775	0.2796	0.1882	0.5457	0.2412	0.3567	0.5893	0.5556	0.4571	0.0545	0.4366	0.3758	0.2521	0.4026	0.3636	0.0591	0.4676	0.5072	0.3216	0.5013
