GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_06133	7.32	0.34	7.31	1.90	4.25	1.66	1.40	1.06	4.71	2.86	13.53	1.43	4.90	2.46	4.03	1.08	0.35	4.84	1.16	0.91	7.04	2.40	0.56	1.16	12.07	5.16	9.32
G232_06134	8.94	0.64	6.21	2.84	4.88	1.54	1.34	2.07	4.96	2.11	11.89	2.25	3.96	2.91	4.93	0.88	1.39	5.25	1.28	0.75	7.27	2.96	1.23	1.04	12.01	5.80	10.55
G232_06135	12.22	3.37	6.17	2.04	3.87	2.19	1.98	1.35	5.33	9.45	11.37	2.01	3.39	2.69	4.05	0.70	8.72	6.54	1.68	1.12	6.68	3.09	6.42	0.85	10.87	5.82	11.16
G232_06136	8.59	0.48	6.67	2.29	3.59	1.80	1.40	1.58	4.60	2.33	11.10	1.67	4.01	2.87	7.73	0.88	0.93	4.66	1.61	0.98	6.57	2.72	0.93	0.94	12.44	4.85	9.68
G232_06137	7.59	0.32	5.90	1.93	4.04	1.75	1.09	1.62	4.26	2.71	9.35	2.15	4.05	2.33	3.84	0.98	0.03	4.49	1.51	1.13	6.54	2.88	0.14	1.31	11.16	5.46	10.94
G232_06138	7.63	0.69	6.53	2.70	4.32	2.10	1.83	2.64	4.91	2.02	0.49	2.36	3.65	1.02	0.87	1.33	0.00	5.01	3.07	0.81	8.34	3.61	0.25	1.83	11.38	6.09	9.16
G232_06139	6.50	1.10	5.80	3.05	1.95	3.47	1.13	1.86	3.89	2.26	0.00	1.56	3.56	1.21	0.00	0.00	1.57	5.08	1.67	0.97	8.29	2.32	2.16	1.61	10.31	3.41	11.68
G232_06140	10.92	0.68	7.12	2.22	3.15	1.89	1.05	1.06	3.63	3.00	11.51	1.64	2.75	2.25	4.86	0.76	2.16	4.65	1.25	0.93	5.72	3.03	1.17	0.87	11.33	5.33	10.91
G232_06141	8.26	14.47	6.74	2.43	3.79	5.32	3.52	1.98	4.34	22.58	10.83	1.98	3.00	2.77	2.67	0.94	29.68	5.69	2.20	1.44	5.34	2.94	23.00	1.41	14.13	5.49	8.49
G232_06142	6.17	1.32	5.09	1.24	3.38	1.57	1.06	1.54	3.01	2.68	7.80	1.17	2.99	1.57	1.69	0.56	2.11	2.82	0.97	0.84	4.60	1.82	2.06	0.72	8.88	3.87	6.97
G232_06143	7.65	0.32	4.63	1.40	2.82	1.86	0.83	1.04	3.60	1.44	6.93	1.61	2.27	1.88	2.60	0.90	0.23	3.59	1.20	1.08	5.02	1.98	0.12	0.68	7.01	3.37	7.26
G232_06144	7.78	0.37	5.97	2.01	4.11	1.42	1.37	1.22	3.71	4.33	10.04	1.97	3.17	2.31	3.00	1.06	0.62	5.13	3.16	0.83	5.96	2.29	0.49	0.93	11.07	4.84	10.67
