GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_06871	6.97	0.30	3.77	2.02	3.22	1.18	1.01	1.88	3.00	1.84	8.96	2.17	3.62	1.89	3.58	0.48	0.21	3.95	0.43	0.35	3.97	2.76	0.51	0.61	10.63	4.03	9.25
G232_06872	9.59	0.32	5.89	1.54	3.26	1.96	1.27	1.11	3.96	1.60	9.41	1.41	3.02	2.07	4.46	0.81	0.09	4.41	1.00	1.11	6.96	2.97	0.29	0.72	10.42	4.42	9.32
G232_06873	8.03	0.42	6.68	1.82	3.85	1.91	1.66	0.94	4.30	2.32	10.40	1.91	3.71	2.23	3.87	0.85	0.53	4.12	1.25	0.97	6.33	2.53	0.31	1.22	10.56	4.09	9.29
G232_06874	5.54	3.41	3.37	2.14	2.43	1.89	1.46	1.31	4.41	7.28	10.15	1.43	3.04	2.47	4.43	0.54	6.00	4.03	1.80	0.34	4.90	1.61	5.64	1.21	8.53	3.38	8.89
G232_06875	6.57	4.66	4.81	2.41	4.24	2.32	2.00	0.87	5.52	10.02	11.89	1.55	3.37	2.58	4.28	1.39	10.79	4.93	1.51	1.05	6.95	1.00	6.72	1.19	10.73	5.56	8.23
G232_06876	7.54	0.00	7.35	2.11	3.66	1.17	1.37	1.75	4.69	2.28	10.85	1.87	3.41	2.46	4.14	0.90	0.09	5.36	1.29	0.97	6.50	2.08	0.04	1.57	10.88	4.83	9.80
G232_06877	5.96	1.47	6.37	1.30	3.50	1.29	0.91	0.90	4.62	2.74	11.61	1.84	3.79	2.09	4.11	0.92	2.07	5.54	0.76	0.67	4.16	1.49	1.65	0.47	9.82	3.45	9.48
G232_06878	6.57	0.83	5.90	1.89	3.40	1.87	1.34	1.30	3.83	2.72	9.34	1.64	3.01	2.46	4.01	0.84	1.29	4.19	1.57	0.66	5.29	2.65	1.16	1.20	9.50	4.35	9.01
G232_06879	9.23	0.00	4.42	2.61	5.47	0.66	2.32	0.45	4.76	0.93	7.96	2.29	4.12	3.99	2.92	0.25	0.00	4.81	0.49	0.18	5.99	1.74	0.52	1.71	12.11	6.83	11.03
G232_06880	6.02	1.40	6.88	1.90	4.44	2.57	1.87	0.71	3.04	4.30	8.64	0.89	3.43	2.38	4.09	0.92	2.41	4.21	1.61	1.11	6.53	2.64	1.50	0.97	10.18	4.33	8.24
G232_06881	6.35	5.88	3.72	2.68	3.29	3.54	2.47	0.99	4.23	13.96	1.47	2.20	3.02	1.85	0.00	0.77	13.01	5.52	1.28	0.00	3.79	3.31	10.31	1.46	14.62	5.88	8.39
G232_06882	7.30	2.21	5.38	1.82	3.98	1.92	1.45	0.98	3.68	5.35	12.67	1.80	5.99	2.80	4.66	1.08	3.78	5.12	0.85	1.42	6.20	2.25	3.06	1.08	11.40	7.78	6.96
G232_06883	6.87	2.10	4.95	2.28	2.58	1.96	1.74	1.00	4.48	6.04	14.46	2.45	5.28	1.84	4.02	0.76	4.36	7.01	0.67	0.92	6.52	2.58	2.78	2.06	10.27	5.29	9.49
G232_06884	8.92	1.21	5.47	2.43	5.19	2.10	1.73	1.32	3.79	3.46	8.87	1.77	3.28	1.99	4.29	0.68	2.15	3.45	1.59	0.63	5.55	2.11	1.60	1.07	10.22	4.86	9.91
G232_06885	7.28	0.41	5.65	1.66	3.71	1.41	1.06	1.22	3.91	2.44	9.90	1.76	3.13	2.19	3.83	0.85	0.53	4.26	1.25	0.76	4.88	2.02	0.61	0.58	10.65	4.59	8.71
G232_06886	6.31	0.54	4.35	1.02	4.86	2.16	0.96	1.12	2.99	2.97	8.87	1.21	2.59	0.91	2.91	1.20	1.36	2.98	1.12	1.60	5.86	2.98	1.56	0.79	9.91	4.56	9.33
G232_06887	9.35	0.90	6.77	2.16	4.48	2.11	1.20	1.56	4.39	3.05	10.06	1.80	3.68	2.67	1.07	0.71	1.24	5.02	1.19	0.84	6.21	3.06	1.36	1.59	10.48	4.46	8.40
G232_06888	8.69	0.54	5.78	2.57	3.85	1.70	1.08	1.60	3.67	4.20	11.35	1.86	3.39	2.87	4.36	0.74	2.47	5.67	1.05	0.73	5.89	2.47	1.99	1.59	9.92	5.68	12.36
G232_06889	7.15	0.08	6.05	1.97	3.91	2.58	1.43	1.36	2.92	2.04	10.54	1.92	3.35	2.37	3.76	0.63	0.04	4.11	1.04	1.06	6.41	2.53	0.24	0.80	11.55	4.50	8.39
