GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_03716	9.91	8.78	6.13	2.08	3.82	3.81	2.11	1.62	4.55	15.06	11.49	2.67	3.15	2.36	3.93	1.01	17.41	7.14	2.61	1.14	5.69	2.74	10.76	0.81	13.46	6.99	11.48
G232_03717	9.26	0.22	6.73	1.36	4.41	1.95	0.83	1.46	3.54	1.78	10.55	1.35	2.93	3.09	3.30	0.88	0.00	5.51	1.12	0.56	5.65	2.85	0.06	0.85	11.10	4.23	9.42
G232_03718	8.41	0.79	5.97	2.03	3.17	1.14	0.61	0.60	2.96	1.89	10.99	1.55	3.07	2.31	4.53	0.76	0.73	4.04	1.03	0.91	4.56	2.12	0.65	0.83	10.71	4.46	8.70
G232_03719	7.28	0.42	6.80	2.22	4.37	2.58	1.43	1.56	3.84	1.63	8.32	1.26	3.59	2.96	3.95	0.99	0.46	5.33	1.15	0.99	6.99	2.29	0.67	1.69	10.88	4.98	10.45
G232_03720	7.43	1.86	5.60	1.68	3.47	1.64	1.23	0.97	2.93	3.71	9.68	2.05	3.56	2.81	3.67	0.81	2.89	4.53	1.67	1.05	6.15	2.16	2.22	1.12	9.45	4.50	7.97
G232_03721	8.82	1.41	5.45	2.07	4.24	1.57	1.03	1.66	4.24	2.72	9.57	1.26	3.80	2.55	3.90	0.25	2.29	3.18	1.25	0.78	5.61	2.11	1.75	0.73	12.04	6.06	8.60
G232_03722	7.35	0.23	5.66	1.87	3.33	1.10	1.07	1.50	4.71	1.55	9.79	1.63	3.69	1.97	4.21	0.88	0.03	4.29	1.51	1.31	6.28	2.03	0.15	0.65	9.86	4.15	9.48
G232_03723	9.68	1.23	5.85	2.71	3.47	1.55	1.06	0.93	4.57	4.47	10.01	1.93	4.52	2.50	3.39	1.07	2.70	3.88	1.20	0.94	4.95	3.08	1.61	0.57	10.10	4.50	9.78
G232_03724	7.83	0.47	4.55	1.70	4.36	2.50	1.71	0.89	4.12	2.67	11.43	1.66	3.01	2.54	3.38	0.93	1.42	5.19	0.41	0.36	5.96	2.32	0.75	0.63	10.58	6.27	8.12
G232_03725	4.69	0.08	6.54	1.92	4.16	1.56	0.84	0.74	3.91	1.43	9.33	2.09	3.07	3.18	3.89	1.10	0.02	4.34	0.64	0.81	4.39	2.41	0.09	1.01	9.88	5.23	9.27
