GENE	COVERAGE	STRAIN	GROUP
G232_09644	1.4004	Rstd	R
G232_09644	0.0000	SM102	S
G232_09644	1.3535	SM104	S
G232_09644	1.3580	SM105	S
G232_09644	1.0892	SM108	S
G232_09644	2.2174	SM109	S
G232_09644	1.3554	SM11	S
G232_09644	0.8675	SM122	S
G232_09644	1.3107	SM13	S
G232_09644	0.2634	SM14	S
G232_09644	0.0085	SM18	S
G232_09644	1.4737	SM24	S
G232_09644	0.8641	SM27	S
G232_09644	1.4679	SM28	S
G232_09644	0.5760	SM29	S
G232_09644	1.9714	SM35	S
G232_09644	0.0000	SM36	S
G232_09644	1.3504	SM42	S
G232_09644	2.0364	SM48	S
G232_09644	1.1261	SM57	S
G232_09644	1.4271	SM66	S
G232_09644	2.2273	SM67	S
G232_09644	0.0591	SM72	S
G232_09644	1.5468	SM74	S
G232_09644	1.7857	SM84	S
G232_09644	1.4032	SM9	S
G232_09644	1.2205	SM91	S
