GENE	COVERAGE	STRAIN	GROUP
G232_10687	0.9673	Rstd	R
G232_10687	0.6014	SM102	S
G232_10687	0.7312	SM104	S
G232_10687	0.7860	SM105	S
G232_10687	0.5685	SM108	S
G232_10687	0.2652	SM109	S
G232_10687	1.0482	SM11	S
G232_10687	1.0132	SM122	S
G232_10687	1.0117	SM13	S
G232_10687	0.4543	SM14	S
G232_10687	0.8465	SM18	S
G232_10687	0.5789	SM24	S
G232_10687	0.4989	SM27	S
G232_10687	0.6750	SM28	S
G232_10687	1.2105	SM29	S
G232_10687	1.0381	SM35	S
G232_10687	0.0000	SM36	S
G232_10687	0.6866	SM42	S
G232_10687	0.7394	SM48	S
G232_10687	0.7815	SM57	S
G232_10687	0.7071	SM66	S
G232_10687	0.8701	SM67	S
G232_10687	0.3202	SM72	S
G232_10687	0.7338	SM74	S
G232_10687	0.9207	SM84	S
G232_10687	0.8000	SM9	S
G232_10687	0.7511	SM91	S
G232_10688	0.6065	Rstd	R
G232_10688	0.3007	SM102	S
G232_10688	0.8710	SM104	S
G232_10688	0.5914	SM105	S
G232_10688	0.7614	SM108	S
G232_10688	0.7913	SM109	S
G232_10688	0.7410	SM11	S
G232_10688	0.6358	SM122	S
G232_10688	0.6913	SM13	S
G232_10688	0.3978	SM14	S
G232_10688	1.1206	SM18	S
G232_10688	0.8202	SM24	S
G232_10688	0.6454	SM27	S
G232_10688	0.8250	SM28	S
G232_10688	1.0936	SM29	S
G232_10688	0.7143	SM35	S
G232_10688	0.1051	SM36	S
G232_10688	0.7782	SM42	S
G232_10688	0.7333	SM48	S
G232_10688	0.8571	SM57	S
G232_10688	0.8413	SM66	S
G232_10688	0.7792	SM67	S
G232_10688	0.3448	SM72	S
G232_10688	0.7842	SM74	S
G232_10688	0.6911	SM84	S
G232_10688	0.7936	SM9	S
G232_10688	0.7883	SM91	S
