GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_01001	9.31	2.52	5.92	2.32	4.14	2.97	2.07	1.42	3.77	7.36	11.43	2.22	4.17	2.90	4.23	1.61	7.61	5.07	2.35	0.64	7.01	2.74	5.14	0.75	9.89	4.30	10.89
G232_01002	7.65	0.07	6.55	2.84	3.91	1.81	0.96	1.01	3.65	1.19	9.70	1.78	3.94	3.05	4.25	0.73	0.02	5.69	1.26	0.94	7.82	2.39	0.11	1.37	12.13	5.16	9.97
G232_01003	8.29	0.27	6.12	2.45	3.64	1.91	1.13	1.23	5.63	1.49	12.76	2.06	5.08	3.32	4.15	0.86	0.34	5.76	1.59	1.06	6.69	2.60	0.41	1.44	11.88	5.78	10.25
G232_01004	7.07	0.72	8.99	2.18	3.16	1.79	1.05	0.92	4.80	2.62	11.47	1.70	4.42	2.00	4.02	0.64	1.55	4.16	1.86	0.97	7.24	2.77	1.47	0.65	9.77	5.13	10.07
G232_01005	9.30	0.13	5.94	1.59	3.36	1.16	1.53	1.51	5.04	1.54	10.74	1.81	4.50	2.01	3.98	0.72	0.48	5.43	1.30	0.42	5.20	2.89	0.58	0.86	11.57	4.10	9.54
G232_01006	9.42	6.81	6.00	2.07	3.78	2.51	2.17	1.81	4.02	11.84	10.74	1.25	3.01	2.75	3.88	1.16	14.65	6.62	1.58	1.23	5.41	2.70	10.00	0.39	11.72	4.68	7.28
G232_01007	9.81	2.50	7.08	2.01	3.87	2.55	1.54	1.14	4.05	4.65	9.67	1.21	2.92	2.26	3.95	1.03	4.66	5.29	1.46	1.03	7.00	2.31	3.85	0.93	10.75	4.89	9.25
G232_01008	7.27	0.88	5.48	2.26	3.75	1.68	0.84	1.28	3.90	2.52	10.84	1.84	3.44	1.84	4.16	0.90	0.78	4.98	1.21	0.86	7.09	2.84	0.95	1.01	10.86	5.27	9.17
G232_01009	5.48	0.93	7.23	1.97	3.55	1.82	2.18	0.83	3.77	1.17	0.23	1.39	3.78	2.15	2.78	0.76	1.64	4.02	1.90	0.82	6.75	2.39	1.52	0.55	8.40	5.87	9.37
G232_01010	7.71	0.28	5.65	2.46	3.95	1.47	0.64	0.95	3.54	2.36	10.00	2.26	3.09	2.22	3.52	0.94	0.21	4.64	1.33	0.56	8.14	1.38	0.20	0.59	10.20	4.76	10.24
G232_01011	6.59	0.55	5.91	1.55	3.89	2.35	1.42	1.17	5.07	2.99	10.22	2.10	3.99	2.54	4.05	0.81	0.77	5.26	1.74	0.95	6.31	4.04	0.84	0.72	9.39	4.55	9.20
G232_01012	6.14	0.25	6.62	1.55	3.25	1.14	1.25	0.99	4.46	1.15	10.37	2.80	4.39	3.43	6.65	1.20	0.00	4.95	1.82	0.55	7.63	3.26	0.00	1.37	9.58	5.10	13.08
G232_01013	8.13	0.00	6.38	2.48	3.67	2.86	1.45	3.18	5.04	0.00	0.00	1.89	4.32	2.08	0.29	1.00	0.00	3.46	0.39	0.50	8.28	2.57	0.34	2.24	10.15	4.53	11.59
G232_01014	8.80	0.00	7.43	2.30	3.11	0.56	0.18	1.51	6.34	1.83	10.25	1.72	3.78	3.05	4.65	0.71	0.00	3.36	1.79	1.24	4.74	2.77	0.00	1.42	12.79	3.92	8.21
G232_01015	10.79	0.17	8.75	2.21	3.45	1.24	1.37	1.09	3.99	2.25	12.82	1.25	3.21	2.33	3.05	0.57	0.07	5.05	1.46	0.73	6.33	2.59	0.15	0.98	11.69	5.60	9.64
G232_01016	9.18	0.08	5.47	1.26	2.64	1.54	0.75	0.99	5.22	2.00	12.92	1.98	4.84	2.51	4.38	0.87	0.01	4.93	1.05	0.46	4.73	1.48	0.21	0.55	11.22	4.14	9.73
G232_01017	9.86	0.04	5.74	3.01	2.94	1.56	1.00	0.50	4.27	3.14	9.26	2.00	4.68	2.54	3.90	0.80	0.02	4.09	1.01	0.91	6.91	3.01	0.03	1.50	12.34	5.12	8.62
